 ,Ctrl+ nuclei,Ctrl- nuclei,Ctrl+ membranes,Ctrl- membranes,Channel #2 in nuclei,Channel #2 in membranes,Channel #4 in nuclei,Channel #4 in membranes
1,4470.681,6560.760,4425.211,595.575,142.045,822.662,188.727,1114.763
2,16377.052,7315.405,4483.925,1815.657,363.284,826.134,604.809,1049.880
3,24004.187,6708.152,4448.916,1575.623,418.547,817.002,719.985,915.869
4,26509.468,6278.171,4051.618,1780.252,483.606,785.642,672.786,883.102
5,37472.187,5303.265,3663.593,2327.787,667.678,805.652,760.737,719.487
6,40230.456,4423.995,3591.576,2288.913,692.335,766.963,686.129,635.688
7,44814.503,5185.558,3549.666,2601.497,707.624,759.873,756.711,595.372
8,37160.416,5355.403,3605.238,2076.226,532.685,787.895,579.206,585.372
9,24393.315,5343.297,3879.627,1592.721,317.710,797.991,422.950,663.161
10,20410.605,6908.393,4288.912,1700.946,496.155,787.867,432.477,737.346
11,10471.751,9364.949,4867.960,729.253,269.177,838.284,170.544,964.525
12,9386.875,11492.759,5525.507,805.211,151.273,878.612,120.277,1105.910
13,23745.627,11310.848,5534.305,1429.676,376.809,939.722,412.622,1214.050
14,32599.438,10978.009,5397.594,1849.644,534.117,947.622,544.243,1156.080
15,31022.898,10153.072,5136.195,2023.323,470.722,899.432,492.167,1066.378
16,33396.119,8609.640,4505.551,1747.734,416.838,868.855,514.116,851.837
17,41816.117,6566.857,3952.938,2532.262,560.992,889.535,778.664,749.031
18,33904.007,6440.194,4004.199,2071.854,481.562,878.437,615.312,728.220
19,37041.954,6947.446,4036.035,1999.982,488.785,839.253,600.633,705.107
20,34302.097,6873.150,4365.901,1865.990,443.750,851.201,575.212,769.231
21,42326.994,5545.816,4086.660,2395.617,626.559,828.521,748.310,710.238
22,37618.437,6408.448,4211.027,2212.507,583.161,839.639,651.539,744.813
23,37852.582,7124.446,4324.443,2309.093,563.636,836.029,696.390,793.544
24,35588.550,8479.754,4310.915,2107.152,519.842,848.593,609.577,890.635
25,37645.279,9407.438,4552.850,2149.963,571.642,865.842,688.208,902.199
26,32540.968,8933.269,4368.340,1885.138,460.997,866.498,628.673,844.851
27,36342.641,9209.436,4570.084,2135.223,482.443,846.279,669.580,850.952
28,33645.482,9569.774,4854.067,1982.135,461.920,836.878,569.640,865.963
29,27984.839,10542.454,5057.190,1607.248,413.407,871.630,394.700,1002.533
30,36325.110,11677.153,5153.511,2158.768,471.980,877.660,528.092,951.516
31,42720.621,12730.869,5532.368,2405.924,582.284,883.422,575.019,1088.207
32,40026.238,12662.560,5372.762,2576.570,553.089,886.407,586.481,1127.144
33,39941.228,10826.701,5122.366,2132.538,511.237,945.860,465.541,1077.149
34,37519.539,9476.581,4651.521,1917.120,476.917,935.293,460.447,930.701
35,33836.604,9776.799,4694.179,1759.845,436.144,877.601,497.964,821.123
36,33643.778,10834.638,4831.886,1912.056,512.930,901.388,566.255,876.770
37,37290.842,9642.006,4705.977,2166.078,591.518,908.540,623.468,830.900
38,33078.913,9184.220,4558.290,1988.937,689.580,830.532,522.658,852.643
39,26807.313,9215.844,4943.823,1630.943,490.365,832.184,423.934,910.439
40,30560.322,9800.402,5357.530,1670.768,454.363,864.341,417.323,895.601
41,32326.894,9346.642,5405.266,1751.827,390.309,910.201,457.835,873.226
42,19644.519,9951.416,5265.859,1012.108,258.148,880.329,362.583,1003.214
43,30766.209,9470.399,5116.893,1920.686,479.923,898.170,468.848,970.872
44,33547.685,9025.764,4891.057,2148.794,557.791,840.738,490.451,912.291
45,34165.926,8048.435,4661.792,1985.056,506.278,855.730,467.463,815.211
46,51941.635,7793.972,4510.229,2817.635,736.339,878.898,663.668,817.917
47,48665.784,8576.494,4449.832,2479.772,654.980,861.667,677.841,889.666
48,44381.440,9020.109,4624.330,2320.075,592.557,870.561,599.637,908.558
49,32307.719,9443.963,4499.124,1870.190,443.721,882.555,490.420,862.965
50,31963.208,10340.394,5222.404,1872.281,415.747,944.286,451.733,908.655
51,30112.552,10900.188,5618.707,1765.650,395.650,924.403,421.307,981.878
52,28007.800,11262.767,5218.167,1653.316,417.229,925.763,404.595,989.842
53,36792.486,12103.861,5362.395,2130.121,515.635,906.528,576.123,936.117
54,38568.166,11320.077,5383.442,2185.761,465.944,878.874,601.335,883.859
55,45884.729,11234.189,5226.319,2764.866,476.932,923.869,704.083,842.006
56,47272.650,9400.416,4924.323,2509.379,606.550,887.753,682.279,811.866
57,45060.770,8849.215,4698.742,2293.586,548.034,843.471,627.096,877.245
58,37192.984,9869.385,4852.375,2144.846,453.116,858.782,592.998,943.261
59,35016.908,11395.447,5045.783,2072.851,454.922,951.476,561.436,1011.649
60,26626.805,10021.880,4990.884,1529.884,350.378,932.963,398.127,1084.901
61,40431.426,9907.355,4877.520,2279.634,498.301,890.463,625.876,990.314
62,46698.834,10138.834,5187.171,2374.188,592.599,869.171,578.512,900.422
63,34897.375,10580.053,5194.153,1824.055,429.112,881.980,385.448,918.974
64,46648.331,9556.760,4647.494,2397.247,505.460,867.904,535.650,780.739
65,48749.007,8372.918,4522.563,2409.567,544.660,805.088,571.278,774.423
66,48804.179,7672.319,4503.260,2472.178,560.515,834.133,664.385,795.487
67,44356.823,8609.651,4903.501,2326.857,497.892,841.681,594.338,848.798
68,40911.154,8742.381,5010.487,2186.608,350.129,878.952,526.579,839.653
69,37230.934,10054.968,5570.073,2144.161,385.345,907.005,447.861,1058.640
70,43226.661,11328.922,5728.373,2476.458,648.452,922.127,514.678,1192.350
71,37364.531,12450.608,5522.999,2183.488,510.770,932.470,564.989,964.676
72,45107.010,10358.919,4901.162,2572.392,664.967,863.481,638.663,889.165
73,48331.130,9795.569,4438.644,2748.213,679.901,881.000,664.015,783.515
