 ,Ctrl+ nuclei,Ctrl- nuclei,Ctrl+ membranes,Ctrl- membranes,Channel #2 in nuclei,Channel #2 in membranes,Channel #4 in nuclei,Channel #4 in membranes
1,31148.076,1900.779,2905.927,1024.863,3331.737,1550.197,983.556,650.005
2,32864.609,1820.175,2830.429,1078.838,3563.066,1590.226,1016.926,683.568
3,34546.811,2270.425,2767.633,1121.067,3806.552,1842.821,1020.751,665.181
4,30829.291,3562.006,2983.279,1015.554,3352.235,2706.528,971.247,823.236
5,15499.833,4326.748,2920.844,526.246,1604.919,3490.797,469.740,972.853
6,13141.556,4813.786,2925.675,527.646,1342.303,3879.975,431.476,1179.000
7,23430.617,4399.252,2931.952,959.287,2373.262,3857.979,737.686,1148.012
8,18586.834,4933.465,2905.951,582.094,2262.798,4615.581,539.924,1289.032
9,34525.631,5793.304,2912.379,952.722,3244.144,5025.368,896.260,1346.095
10,42412.103,6089.167,3005.355,1011.647,4036.392,4812.611,1087.963,1330.302
11,29174.715,5107.049,3142.687,834.844,2941.684,4552.021,835.757,1281.900
12,14218.799,4866.447,2980.325,485.093,1745.740,4485.221,593.152,1169.282
13,17831.204,5144.637,3183.890,543.975,2487.296,4899.622,611.625,1282.049
14,33829.833,4580.253,3013.707,909.637,3390.007,4648.639,818.081,1335.846
15,44194.574,3596.272,2861.839,1238.813,4693.844,2983.665,1165.276,975.160
16,43494.806,2943.548,2829.371,1213.595,4346.770,2013.172,1182.424,785.683
17,36203.083,3252.523,2613.292,955.791,3890.685,2165.603,1035.642,766.780
18,37170.937,3210.752,2808.194,870.083,3748.634,2114.270,1044.324,803.750
19,33648.434,3854.630,2895.308,942.972,3542.300,2405.040,1047.937,800.607
20,39254.229,4500.012,2911.716,1125.406,4082.072,2974.670,1247.390,924.216
21,36819.831,4220.648,2942.170,1024.926,3824.278,3128.118,1090.568,856.703
22,34986.533,4823.127,2898.920,1005.572,3870.907,3363.629,1119.972,989.072
23,34202.954,5043.511,2938.755,947.538,4050.456,3598.031,1147.269,1125.314
24,37497.534,4768.202,2965.233,1048.799,5023.537,3739.775,1299.338,1098.282
25,41602.011,4838.793,3006.674,1132.700,5351.966,4067.571,1328.998,1210.791
26,52184.183,5220.277,2995.422,1422.273,5295.937,4170.684,1499.472,1275.959
27,46304.895,5339.151,3179.033,1215.588,3868.935,3632.566,1235.124,1150.822
28,35445.134,4752.699,3129.158,993.061,3401.857,2933.138,1123.733,987.628
29,31127.793,4025.518,3078.645,935.619,3380.900,2387.408,1073.632,832.491
30,34753.083,4455.184,3110.643,1017.092,3926.607,2390.699,1156.234,867.288
31,42013.105,4796.851,2997.771,1215.957,4351.761,2538.907,1190.743,966.082
