 ,Ctrl+ nuclei,Ctrl- nuclei,Ctrl+ membranes,Ctrl- membranes,Channel #2 in nuclei,Channel #2 in membranes,Channel #4 in nuclei,Channel #4 in membranes
1,18819.704,5125.949,5555.278,792.560,3861.866,7618.621,709.446,1478.441
2,29685.099,4754.628,5476.068,1158.706,7110.720,6427.434,1188.412,1282.538
3,36130.652,4469.000,5487.784,1405.686,8160.495,6039.027,1517.871,1286.133
4,37229.055,5778.181,5586.615,1532.572,8514.534,7424.068,1708.155,1509.298
5,41752.257,6317.711,5551.900,1770.660,10420.018,9011.400,2009.261,1696.515
6,46856.593,6011.069,5633.121,1917.765,12177.745,9522.009,2118.303,1683.088
7,49442.328,6623.429,5537.678,2102.257,11928.485,11097.156,2085.599,1902.224
8,43320.101,6143.886,5600.030,1624.852,9418.383,10270.603,1713.580,1753.810
9,35927.310,7321.198,5523.666,1285.071,7493.017,11510.150,1390.547,1949.174
10,27458.920,8673.373,5707.594,993.355,5245.823,13938.012,1037.690,2326.915
11,23106.038,9939.829,5433.852,852.847,5131.349,15704.761,887.785,2611.355
12,52712.720,9766.969,5420.774,2036.991,12909.285,16132.469,1970.798,2618.560
13,36167.325,9784.063,5636.204,1460.925,8201.219,14521.168,1574.305,2462.230
14,38003.017,7876.918,5594.372,1420.291,7892.212,11385.060,1541.267,1963.929
15,44909.146,6312.658,5562.080,1809.074,10346.358,9641.685,1968.407,1798.114
16,40372.180,5577.839,5696.673,1602.408,8602.807,8638.570,1662.127,1609.936
17,40102.334,6629.232,5625.034,1726.049,8925.733,9184.588,1741.094,1829.551
18,43823.454,6906.544,5589.054,1875.302,10492.783,8881.210,2111.982,1854.599
19,38511.792,6591.355,5659.597,1572.630,8358.365,8904.022,1684.938,1804.020
20,39223.286,6405.166,5542.822,1499.068,8576.106,9143.838,1642.768,1849.627
21,34607.544,6420.101,5651.325,1458.853,9153.393,9789.144,1613.318,1811.125
22,41180.630,6809.919,5717.189,1767.101,11673.097,9515.541,1917.708,1823.911
23,46612.884,7328.873,5754.007,1799.678,12024.524,11327.891,2011.615,1992.234
24,48310.294,7783.447,5534.724,1817.290,10530.855,12152.641,1856.977,2088.660
