 ,Ctrl+ nuclei,Ctrl- nuclei,Ctrl+ membranes,Ctrl- membranes,Channel #2 in nuclei,Channel #2 in membranes,Channel #4 in nuclei,Channel #4 in membranes
1,30399.985,2540.635,3107.722,1363.921,3199.649,1836.564,1483.672,831.728
2,34259.912,1331.183,2994.001,1617.827,3229.363,1323.206,1518.314,633.510
3,39638.064,1992.269,2985.911,1951.166,3784.819,1624.244,1811.872,707.633
4,40787.942,1791.786,3073.379,1893.284,3797.100,1571.479,1752.311,701.503
5,36435.355,1613.953,3126.273,1664.607,3378.131,1404.761,1569.081,698.900
6,29104.885,2313.945,3173.409,1355.619,3023.604,1805.208,1399.599,914.553
7,27659.628,2782.865,3171.297,1314.550,3067.756,2009.667,1385.184,891.757
8,25547.882,2636.941,3218.713,1183.856,2495.105,2005.874,1117.797,839.891
9,20198.879,2444.794,3373.225,863.940,1903.371,1931.390,871.286,844.599
10,29814.002,2401.111,3282.015,1344.533,2732.228,1955.647,1326.586,851.676
11,35465.252,2400.123,3062.609,1564.829,3117.262,2097.676,1522.830,908.564
12,29846.010,2882.159,3153.987,1112.454,2440.802,2368.903,1162.176,1027.092
13,20444.274,2989.772,3163.804,898.798,1928.401,2443.233,878.924,1017.053
14,23450.151,3169.711,3398.186,1191.026,2114.596,2280.128,945.290,950.475
15,39163.021,3664.667,3427.047,1838.175,3334.187,2567.418,1460.838,1093.693
16,46438.851,3632.830,3203.243,2124.767,3642.902,2336.473,1791.512,935.839
17,44549.738,3270.399,3346.544,2043.293,3589.897,2061.637,1710.344,878.283
18,40538.296,3341.446,3396.896,1810.291,3278.139,2200.052,1613.142,960.147
19,39720.229,3514.830,3423.321,1754.468,3311.152,2258.085,1540.085,953.305
20,37721.675,3583.106,3401.744,1614.331,3199.458,2594.180,1445.968,1078.229
21,33763.895,4089.253,3530.119,1628.424,3001.720,3265.876,1302.375,1293.153
22,32025.273,3800.564,3459.084,1917.667,3221.534,3199.389,1306.075,1301.403
23,28645.815,4078.661,3490.333,1594.450,2850.561,3201.207,1289.587,1367.041
24,36901.146,3947.531,3602.195,1708.871,2941.490,3221.557,1338.338,1310.862
25,46110.933,4619.260,3531.577,1868.648,3364.936,3543.606,1485.615,1386.096
26,37698.904,4591.807,3700.050,1495.936,2772.646,3765.335,1273.374,1444.425
27,36177.082,5126.331,4055.082,1667.092,2968.813,3748.303,1260.240,1623.465
28,27844.060,5298.827,3936.570,1332.193,2294.175,3284.818,1007.746,1493.062
29,28484.840,5158.141,3732.723,1307.096,2473.415,3132.247,1058.903,1414.474
30,27247.592,5635.976,3891.206,1240.994,2559.464,3620.552,1166.702,1607.179
31,33475.477,4899.003,3772.505,1519.453,2983.397,3399.293,1423.503,1382.468
32,41779.062,5069.629,3695.320,1931.750,3299.373,3148.015,1528.778,1285.565
33,44216.469,4721.819,3566.509,2260.766,3983.421,3010.894,1720.575,1283.705
34,42917.253,4192.544,3544.792,2266.784,3848.303,2720.769,1664.634,1196.151
35,38706.116,4295.759,3551.343,2123.263,3448.037,2720.508,1532.540,1233.724
36,37463.079,4232.147,3434.249,2082.383,3485.292,2832.757,1629.953,1192.059
37,30513.581,5036.685,3490.342,1584.350,2872.753,3060.443,1378.055,1283.781
38,26512.186,4714.707,3702.443,1359.858,2647.120,2809.513,1186.583,1162.772
39,28534.571,4457.769,3611.562,1314.638,2750.829,2607.655,1151.028,1127.310
40,33902.724,5012.308,3538.252,1650.499,2942.277,2743.429,1339.292,1150.759
41,44803.116,5310.094,3751.055,2064.162,3446.600,3000.150,1504.666,1301.127
42,43234.348,5956.591,4104.993,2062.863,3252.905,3472.807,1547.928,1372.236
43,46920.334,5946.072,4074.391,2133.316,3544.922,3687.467,1640.688,1406.830
44,35852.301,5512.498,3749.089,1781.769,3265.784,3396.001,1375.734,1333.951
45,19122.205,5966.208,3814.308,961.841,1948.653,3480.763,879.677,1461.119
46,18900.366,6296.465,4137.156,1086.135,1700.200,4014.580,732.684,1638.422
47,18263.834,6288.026,4643.772,972.723,1780.056,4371.246,701.572,1850.309
48,19978.835,6635.785,4736.640,1103.229,1758.788,4379.447,818.342,1876.908
49,32034.768,6365.120,4270.613,1751.003,2697.768,3689.544,1237.633,1509.604
50,37617.171,5162.161,3830.388,1906.242,3062.057,3039.457,1319.669,1252.334
51,36285.888,5038.296,3775.531,1797.126,2943.276,2857.781,1318.994,1159.677
52,39449.190,5363.659,3658.272,2105.363,3202.507,2982.854,1378.418,1176.150
53,34497.529,5228.293,3618.113,1895.561,2658.232,2930.275,1139.897,1183.685
54,33135.350,4885.208,3616.925,1791.359,2410.848,2846.789,1043.911,1221.781
55,24516.152,5076.224,3835.023,1433.010,2090.821,3075.532,882.345,1267.216
56,31997.096,5584.115,3999.209,1759.025,3262.303,3467.700,1245.760,1465.140
57,26860.933,5834.306,4203.435,1394.965,2337.352,3918.525,974.485,1689.938
58,28141.673,5819.694,4285.008,1498.762,2565.844,3911.943,1106.278,1627.673
59,23067.223,5773.063,4143.810,1225.932,2015.305,3688.579,759.645,1490.511
60,38221.631,5443.418,3921.378,1941.108,2832.746,3212.259,1209.242,1291.612
61,40292.798,5139.184,3954.961,2117.594,2826.240,3219.674,1259.531,1297.716
62,45606.719,6402.708,4261.470,2384.229,3176.648,3847.949,1426.812,1503.569
63,35502.178,6634.068,4332.330,2064.638,2946.852,4068.197,1341.989,1612.889
64,32916.939,7649.449,4549.948,2033.021,2855.779,4231.891,1208.172,1780.502
65,33033.702,7266.868,4347.154,1858.250,2940.415,4012.874,1263.726,1630.816
66,42658.949,6461.578,4146.378,2338.475,3669.421,3543.698,1536.829,1388.695
67,45684.325,6476.503,4290.425,2353.775,3861.939,3568.583,1702.872,1416.368
68,45059.184,6895.362,4329.737,2433.362,3904.902,3827.822,1531.868,1432.167
69,42435.023,7152.927,4337.646,2373.062,3627.326,3968.518,1498.357,1534.406
70,46271.028,7637.587,4419.103,2396.403,3843.003,4278.394,1665.929,1699.903
71,29233.295,8354.932,4769.048,1667.890,2715.618,4711.172,1192.136,1795.905
72,21303.010,8998.364,5200.185,1162.538,1907.666,5104.666,796.452,2027.456
73,29789.425,9357.682,5272.391,1591.621,2538.408,5197.283,945.974,1971.549
74,36002.576,9742.381,5116.237,1856.088,2969.327,5178.199,1149.114,2064.163
75,40246.754,10277.835,5343.839,2057.710,3194.941,5788.048,1271.929,2258.997
76,45415.601,10693.491,5329.703,2358.044,3693.991,5736.551,1440.134,2147.705
77,41452.967,9202.714,4811.779,2246.966,3161.730,4685.406,1360.079,1858.342
78,35189.814,7783.893,4536.366,1986.764,3026.152,4295.630,1231.188,1693.533
79,32624.459,7965.452,4543.822,1854.977,2971.416,4731.938,1158.457,1727.102
80,32100.291,8498.820,4709.075,1937.491,2816.663,4800.317,1057.190,1837.578
81,18313.266,9254.807,4901.240,1082.566,1568.682,4873.077,572.461,1847.133
82,10459.298,10713.363,5084.418,577.016,859.348,5464.622,377.411,2013.211
83,22726.867,9896.023,5209.569,1256.611,1853.136,6226.132,737.730,2225.405
84,23307.366,10370.330,5277.983,1449.064,2173.690,6237.711,841.473,2296.565
85,19688.798,9977.530,5178.178,1316.989,1884.607,5720.273,762.509,2131.612
86,22677.831,9544.031,5165.109,1392.062,2421.255,5191.090,973.366,2017.209
87,29470.219,9577.076,5036.921,1798.198,3076.966,5428.247,1182.227,2036.574
88,36590.942,9838.683,4660.894,2093.663,3534.798,5375.330,1392.963,2059.358
89,29987.030,11034.257,4903.755,1568.671,2627.017,5451.316,1084.613,2140.181
