 ,Ctrl+ nuclei,Ctrl- nuclei,Ctrl+ membranes,Ctrl- membranes,Channel #2 in nuclei,Channel #2 in membranes,Channel #4 in nuclei,Channel #4 in membranes
1,16848.685,5940.289,1782.177,675.126,982.623,2426.781,568.958,982.192
2,20504.719,5411.469,1763.672,707.501,1350.900,2243.487,957.806,976.859
3,22263.550,4700.722,1664.605,650.302,1508.916,1863.720,860.872,826.876
4,22382.184,4479.730,1669.518,684.721,1285.393,1828.172,763.922,802.381
5,19938.269,6341.341,1816.936,745.109,1104.124,2377.784,645.218,1047.646
6,8776.786,7759.307,1804.899,472.016,553.812,3417.817,354.364,1443.975
7,2929.226,8463.388,1910.128,141.191,280.353,3961.690,186.945,1578.220
8,10390.952,8294.138,1922.402,382.350,418.156,4015.114,332.627,1605.218
9,18901.058,8169.327,1859.388,489.103,1025.521,3481.220,625.432,1301.566
10,30967.791,7132.728,1861.000,915.393,1815.410,3274.327,931.639,1309.829
11,22843.714,8792.185,2034.050,659.135,1306.180,3588.419,638.094,1481.984
12,10427.615,8411.967,1920.343,333.895,733.737,3626.960,368.414,1552.085
13,11218.434,8024.317,1935.258,396.128,793.225,3906.863,397.425,1776.587
14,9838.592,9520.180,2021.820,302.898,563.456,4448.761,468.545,1962.770
15,13452.772,10584.654,2052.206,386.662,683.814,4627.674,555.851,1943.076
16,39462.785,9475.077,2115.056,782.920,1783.107,3958.550,1027.646,1742.175
17,48435.334,7524.266,1889.297,796.666,2231.923,2998.477,1058.976,1403.110
18,36885.790,7575.023,2015.467,593.197,1937.385,3050.984,892.042,1292.465
19,38919.399,7988.395,2144.532,697.519,2189.465,3238.048,1085.987,1375.870
20,31611.331,9272.056,2269.089,603.672,1834.157,3659.774,902.039,1570.686
21,27542.518,10447.175,2488.049,449.240,1972.381,4188.382,1024.212,1887.609
22,24818.281,10059.247,2268.751,371.928,1810.988,4069.945,945.595,1801.951
23,31759.224,8533.861,2020.526,539.609,1869.561,3439.775,998.349,1587.633
24,41739.632,8415.859,1824.600,734.739,2024.289,2935.639,1160.392,1399.642
25,45215.287,8399.962,1817.098,662.544,2193.635,2699.839,1109.194,1359.869
26,39263.046,7203.615,1616.937,602.570,1886.129,2266.570,869.238,1219.526
27,45473.807,7060.559,1620.790,775.786,2366.337,2145.970,1309.282,1152.504
28,60132.879,6604.526,1632.836,920.671,2875.561,2165.709,1706.345,1077.952
29,44861.739,8270.668,1789.925,723.504,2294.269,2481.994,1328.357,1284.586
30,45024.096,10149.948,1901.630,750.230,2586.662,2985.816,1411.205,1527.489
31,34675.162,12881.432,2287.649,579.981,2155.257,4098.509,1193.023,1922.846
32,33485.241,16389.212,2680.815,603.833,2216.636,5690.053,1193.581,2675.531
33,25973.883,16009.291,2684.410,481.354,1656.699,5709.465,963.213,2710.381
34,26129.108,16426.137,2640.792,502.532,1492.900,5022.126,893.831,2457.653
35,28940.160,13544.793,2253.111,497.714,1844.067,4110.582,1013.059,1906.563
36,36645.376,11050.578,2080.128,536.405,2198.559,3468.383,1141.959,1574.520
37,38981.991,10861.308,2110.840,563.306,2335.939,2976.265,1160.226,1479.743
38,50392.426,11269.589,2206.814,817.176,2800.392,3245.230,1540.127,1540.228
39,59212.509,11394.937,2309.786,901.053,2725.146,3658.100,1587.615,1719.200
40,50570.377,10132.959,2346.324,813.097,2449.415,3274.461,1398.445,1635.495
41,54364.598,9076.615,2118.660,915.370,2747.689,2687.787,1526.691,1393.754
42,49169.608,10447.477,2291.569,812.341,2352.053,2896.290,1367.268,1579.891
43,45196.242,10540.912,2463.948,688.608,2102.715,3047.568,1118.290,1614.317
44,49331.802,10548.894,2303.185,713.707,2230.995,3582.777,1227.110,1825.235
45,54572.597,8771.841,2288.153,790.032,2542.646,3824.074,1399.063,1890.044
46,64327.683,7848.712,2162.908,976.711,3010.921,3408.750,1511.072,1720.574
47,56096.585,8250.293,2048.041,849.364,2195.474,2851.127,1356.468,1499.492
48,55675.544,9614.497,2072.949,930.140,2135.871,2575.773,1314.934,1548.358
49,58162.143,9775.668,2133.787,926.616,2258.987,2424.923,1591.251,1508.629
50,49253.252,9257.720,2042.115,725.658,1982.470,2448.213,1230.580,1448.594
51,46523.924,9201.447,2111.951,681.335,1760.664,2512.702,1112.755,1499.775
52,55070.295,9882.172,2157.155,796.012,2091.322,3055.593,1402.252,1685.524
53,51077.091,8644.315,2067.952,750.769,1849.121,2790.451,1084.904,1516.066
54,49921.749,9694.814,1988.027,645.026,1854.898,2592.015,1068.146,1468.143
55,62006.307,9073.695,1979.546,818.824,2390.975,2379.615,1511.327,1377.069
56,60759.048,8701.114,2052.646,867.261,2304.642,2394.225,1442.648,1320.425
57,60885.766,9188.648,2049.077,913.880,2463.464,2417.306,1346.250,1306.231
58,40970.484,9785.949,2105.568,573.954,1844.692,2420.390,935.062,1322.457
59,46319.393,8586.942,2075.263,680.133,1898.151,2328.118,1125.254,1260.984
60,39739.245,8328.138,2000.508,643.658,1604.632,2248.680,1047.578,1267.540
61,49443.330,8317.215,2022.971,743.707,1907.841,2170.955,1272.866,1215.913
62,61005.299,7517.422,1904.149,873.981,2357.068,1952.122,1561.412,1101.091
63,51030.675,7760.534,1940.016,791.044,2237.596,1974.734,1400.420,1159.594
64,43446.768,8878.735,2006.789,712.722,1842.987,2307.987,1284.543,1495.632
65,35339.541,8896.977,1977.283,562.345,1691.584,2267.906,1160.387,1431.114
66,34052.061,9584.615,2172.969,556.457,1632.129,2410.110,1164.835,1485.101
67,35224.469,10901.384,2389.437,572.183,1506.833,2701.631,966.655,1650.619
68,41563.187,10111.184,2235.890,618.146,1672.629,2585.393,1000.865,1682.131
69,39259.037,7783.466,1993.574,648.758,1578.641,2130.427,1131.547,1408.272
70,32881.972,7567.352,1987.200,537.566,1454.037,2062.458,961.521,1298.029
71,40898.066,7573.478,1997.167,650.136,1919.191,1987.988,1176.857,1312.428
72,48359.089,7849.335,2117.676,727.499,2024.172,2002.826,1279.561,1359.369
73,48293.641,8475.149,2024.128,703.031,1818.185,2164.420,1205.506,1396.969
74,58317.524,8982.875,1948.985,895.181,2117.000,2329.775,1438.894,1425.357
75,55106.785,9186.094,2046.667,940.636,2006.216,2340.466,1347.740,1495.259
76,44534.041,8664.576,2017.429,706.457,1744.336,2304.604,1103.266,1444.616
77,58422.174,9753.930,2056.848,935.234,2298.615,2496.529,1425.242,1653.774
78,51584.451,11363.658,2131.380,839.786,2078.811,2962.551,1297.943,1857.221
79,47708.243,11330.062,2215.756,709.913,1862.467,2863.111,1181.081,2037.808
80,45361.374,10793.547,2203.282,713.855,1727.813,2741.130,1169.958,1788.768
81,42081.690,9823.518,2188.821,661.959,1687.198,2469.845,1116.872,1643.019
82,46297.621,9940.673,2221.166,639.491,1688.703,2454.198,1068.007,1548.639
83,53106.569,10274.548,2141.140,755.036,1904.887,2351.576,1196.000,1509.602
84,52329.468,9369.066,2030.150,713.161,1992.427,2232.286,1219.599,1415.608
85,49417.495,8744.891,1993.662,757.274,2023.230,1998.676,1287.735,1381.795
86,60098.215,8641.502,2039.284,887.443,2207.848,1894.409,1407.623,1289.797
87,55646.602,8906.856,2042.808,773.035,2127.237,2113.403,1434.702,1359.568
88,46960.349,9042.891,2135.242,686.870,1834.918,2354.996,1198.203,1473.017
89,54736.473,9497.983,2039.338,764.629,2008.005,2234.036,1356.040,1444.349
90,54458.543,10075.823,2058.366,703.670,1845.286,2489.505,1229.550,1557.694
91,57044.510,9663.716,2095.740,777.592,1945.429,2497.038,1286.378,1463.649
92,63760.641,9596.524,2136.031,973.409,2277.933,2480.018,1529.187,1453.626
93,57492.223,8660.650,2169.858,827.127,1990.192,2228.591,1291.055,1320.212
94,52265.314,9004.908,2081.445,800.704,1944.609,2187.173,1320.225,1283.140
95,60864.996,7516.085,2000.947,890.800,2420.504,2000.893,1577.942,1181.684
96,59112.608,8597.778,2136.984,934.202,2517.576,2362.573,1562.346,1413.953
97,46557.500,9165.235,2054.392,790.485,2177.817,2494.122,1341.071,1448.063
98,38320.736,9577.453,2142.055,589.738,1681.668,2644.468,1063.137,1556.822
99,47983.602,9619.115,2192.799,700.414,1921.467,2526.990,1150.055,1484.875
100,50328.370,9123.935,2277.587,766.597,1807.434,2516.801,1168.241,1621.562
101,46156.281,10302.480,2345.287,751.594,1667.198,2543.270,1063.593,1760.752
102,42446.164,11958.200,2348.014,658.301,1558.018,2992.566,932.208,1936.860
103,34100.886,12090.440,2214.261,459.664,1218.283,3042.604,799.801,1916.744
104,39325.106,12288.113,2292.363,517.011,1156.798,2802.663,782.797,1921.694
105,34805.275,10945.737,2167.659,456.838,1267.130,2425.458,781.055,1689.984
106,40255.255,8970.736,2102.870,626.356,1451.071,1967.360,1075.737,1349.686
107,40466.847,8774.462,2100.887,621.131,1317.414,1940.694,991.946,1314.289
108,49050.608,8763.998,2220.974,756.590,1649.843,2009.092,1158.371,1317.025
109,48139.367,9712.270,2349.183,765.689,1591.804,2029.000,1112.740,1370.517
110,48141.624,10651.259,2196.376,755.267,1680.689,2220.720,1083.239,1448.406
111,45615.292,11089.585,2134.763,633.077,1582.137,2290.807,1095.651,1468.907
112,46279.648,11163.489,2214.518,664.049,1600.526,2263.133,1099.656,1603.972
113,44615.754,10253.235,2131.327,735.027,1546.715,2212.779,1041.817,1551.442
114,44754.172,9628.489,2119.599,676.199,1497.109,2142.707,1065.106,1480.704
115,27814.602,9860.152,2215.681,380.016,929.207,2421.964,652.473,1545.616
116,54694.063,11053.290,2330.082,816.334,1966.322,2589.542,1285.430,1610.525
117,53079.383,12383.808,2527.755,815.276,1862.540,2925.853,1207.047,1932.938
118,60435.298,12647.386,2689.203,979.477,1956.384,3036.606,1289.687,2042.765
119,59109.579,12368.460,2416.696,984.458,1981.743,3047.446,1327.819,1929.168
120,58026.181,11895.346,2265.744,952.239,1967.896,3148.812,1326.014,1773.866
121,59373.795,11647.386,2253.034,880.517,2001.069,3037.038,1339.532,1743.094
122,60344.330,12267.705,2357.225,869.717,2106.317,3030.003,1344.437,1789.393
123,56697.852,11925.595,2341.628,899.406,1847.188,3032.396,1199.966,1789.927
124,53445.591,12034.338,2439.491,850.207,1683.461,3080.740,1165.692,1782.003
125,52651.866,11401.145,2421.284,768.392,1812.558,2862.317,1155.909,1713.984
126,42610.846,11357.034,2517.411,649.803,1301.735,2526.637,973.790,1727.144
127,47998.240,11217.134,2495.890,798.402,1437.440,2441.063,1013.975,1660.639
128,38363.457,10924.094,2382.250,658.494,1387.198,2480.792,979.313,1578.920
129,40767.426,8671.518,2322.949,695.154,1513.788,2052.196,1001.109,1294.802
130,39298.085,8392.257,2271.282,671.326,1509.948,1874.604,947.202,1189.734
131,39913.626,8759.432,2320.029,661.406,1528.731,1916.426,986.694,1145.901
132,57364.144,9501.908,2330.892,885.742,1906.714,1931.110,1268.950,1120.744
133,56313.279,10824.771,2332.845,954.211,1960.226,2127.685,1336.056,1351.139
134,57453.351,10578.419,2276.516,979.307,2025.914,2334.224,1497.975,1456.020
135,55137.380,9887.667,2213.403,951.458,2062.424,2358.773,1483.250,1433.499
136,42446.131,10137.390,2146.676,732.453,1511.179,2559.602,1078.770,1533.973
137,46814.837,10861.427,2313.286,692.219,1694.996,2614.082,1251.255,1582.400
138,48478.669,11303.083,2377.922,733.639,1672.434,2732.440,1245.791,1713.344
139,58701.526,11432.796,2438.507,894.485,2090.386,3057.914,1469.649,1876.567
140,48573.950,11316.795,2417.834,717.996,1675.780,3040.440,1126.944,1982.766
141,51538.172,12103.660,2443.879,725.373,1630.179,2955.471,1187.992,1939.731
142,52579.463,12748.576,2496.036,647.911,1451.127,2807.588,1113.831,1845.576
143,39559.616,12387.774,2533.407,670.985,1457.822,2900.266,885.811,1934.197
144,36576.277,11585.871,2534.477,646.997,1381.211,2855.676,911.213,1859.394
145,24457.877,11946.183,2435.578,477.543,839.740,2559.812,545.339,1668.042
146,38402.743,11463.524,2529.295,545.548,1270.758,2230.196,791.438,1441.096
147,34542.382,10328.507,2463.129,520.573,1270.046,2100.446,807.812,1254.492
148,37909.364,10396.887,2361.288,652.921,1223.683,2133.678,829.460,1334.962
149,45920.812,10889.372,2489.865,809.670,1678.793,2186.443,1162.295,1469.456
150,39136.970,10690.450,2578.642,602.191,1407.922,2180.458,878.366,1507.955
151,40554.354,9525.923,2413.574,644.509,1510.495,1857.610,898.104,1265.705
152,35860.448,8671.955,2296.272,608.008,1409.185,1889.088,865.996,1128.210
153,59872.663,9676.964,2355.006,925.406,2294.422,2131.426,1481.876,1313.928
154,65431.875,11322.062,2402.089,952.675,2148.541,2360.910,1434.373,1481.005
155,65050.753,11307.777,2473.008,991.253,2319.505,2378.647,1386.050,1404.809
156,60236.386,10322.647,2388.882,946.740,2108.875,2207.349,1379.499,1400.204
157,46867.802,12007.549,2382.836,777.540,1700.725,2280.721,1044.604,1499.932
158,67738.753,12422.061,2329.973,1109.548,2347.093,2360.745,1469.068,1582.120
159,51904.706,10524.011,2244.967,888.487,1660.708,2321.992,1120.939,1485.015
160,55787.833,11686.142,2386.484,935.620,1861.276,2414.481,1368.014,1696.033
161,39734.946,11355.736,2374.572,712.240,1634.291,2472.494,1034.627,1701.498
162,32577.646,13063.823,2410.419,534.265,1245.383,2582.404,807.008,1759.462
163,41604.530,13495.844,2525.638,715.362,1403.925,2615.168,1010.051,1813.878
164,55998.802,13553.399,2524.663,945.199,2017.352,2694.182,1431.936,1883.661
165,54684.340,12954.962,2537.548,958.390,2132.431,2597.581,1526.659,1742.421
166,47272.561,10345.985,2482.516,775.411,1558.677,2435.517,1034.662,1450.492
167,55546.659,9249.486,2418.930,912.232,1734.779,2139.419,1140.720,1318.511
168,33899.339,9601.302,2334.072,570.599,1014.318,2147.803,756.733,1312.382
169,60581.906,11405.085,2443.502,953.211,2072.435,2557.357,1459.964,1654.251
170,41407.466,12734.272,2568.937,592.824,1480.892,2697.346,1011.801,1697.812
171,34971.858,13440.573,2643.945,476.487,1167.756,2619.369,739.680,1760.988
172,51211.959,10655.689,2458.923,775.723,1842.917,2436.847,1328.835,1479.005
173,74110.588,11071.221,2517.961,1100.195,2415.775,2438.620,1597.356,1484.625
174,68190.949,11575.068,2418.873,1075.220,2218.569,2589.603,1477.744,1584.027
175,60827.496,11377.451,2518.779,1043.425,1953.754,3013.569,1424.414,1598.284
176,44638.200,11175.329,2515.475,826.529,1627.979,2664.446,1145.888,1548.066
177,22942.303,11830.492,2521.074,429.123,790.420,2679.882,520.743,1613.751
178,40460.468,13269.452,2484.341,693.967,1381.370,2727.677,1154.667,1777.085
179,42759.180,13445.007,2495.205,696.860,1549.237,2633.496,1085.300,1638.059
180,31868.260,12540.799,2489.458,506.026,1148.887,2537.293,763.431,1594.841
181,44670.845,12024.609,2413.523,786.911,1664.380,2557.161,1018.081,1634.154
182,41956.739,11589.842,2366.150,689.779,1543.865,2596.983,957.698,1649.365
183,50050.622,11008.584,2403.421,791.126,1758.492,2499.002,1106.554,1523.777
184,55936.875,11563.570,2499.514,885.665,2044.277,2405.806,1144.961,1514.364
185,38106.568,11718.009,2586.250,595.221,1595.901,2352.098,960.036,1552.838
186,48490.586,12824.681,2671.629,812.740,2027.082,2677.707,1290.350,1728.605
