 ,Ctrl+ nuclei,Ctrl- nuclei,Ctrl+ membranes,Ctrl- membranes,Channel #2 in nuclei,Channel #2 in membranes,Channel #4 in nuclei,Channel #4 in membranes
1,27517.909,5078.617,4900.582,1485.358,383.180,804.476,314.453,642.027
2,37172.314,4045.788,4707.507,1861.085,426.012,834.242,366.113,591.966
3,48332.764,3930.447,4634.982,2282.008,521.626,829.335,367.929,576.947
4,47664.432,4417.612,4873.382,2454.609,599.057,837.977,453.911,554.136
5,50729.593,5891.875,5388.162,2625.526,561.897,824.736,480.100,615.429
6,40959.427,7737.020,5890.511,2172.756,460.888,870.633,381.883,629.144
7,40661.691,8152.215,6459.731,2090.811,490.013,847.902,427.403,637.569
8,32945.294,9569.051,6561.634,1658.188,376.869,844.719,318.520,702.557
9,23355.525,9642.131,6511.378,1292.599,200.671,866.386,217.054,735.665
10,42060.906,8731.565,5944.592,2237.669,399.238,850.416,374.489,637.347
11,45694.023,7752.608,5590.786,2250.707,442.746,839.249,440.286,634.128
12,47331.290,6975.802,5839.274,2243.475,545.657,865.795,519.938,648.088
13,54039.572,6518.440,5566.266,2755.644,666.456,797.978,593.700,660.270
14,46423.782,5513.049,5421.909,2448.779,523.641,838.464,538.207,699.123
15,48515.338,5768.469,5373.640,2441.941,529.840,854.593,482.271,695.796
16,45965.542,7146.370,5275.364,2306.228,474.238,842.990,435.433,690.167
17,42140.796,10084.493,5843.173,2138.351,486.848,868.207,369.234,738.463
18,21614.976,12645.000,6338.958,1158.271,235.896,905.792,217.023,754.022
19,27658.874,11269.107,6316.957,1553.027,335.421,862.802,303.339,712.781
20,43510.085,12921.005,6277.301,2548.640,510.617,891.930,418.643,703.427
21,41182.388,14134.465,6271.314,2295.856,442.266,883.081,426.321,662.007
22,40713.253,13577.965,6256.126,2281.805,452.553,911.560,403.561,729.847
23,37857.494,12093.998,6110.343,2148.662,402.526,885.268,303.494,756.925
24,33634.504,11716.202,6306.009,2028.962,374.405,939.604,327.188,774.397
25,31518.315,12220.693,6936.200,1778.105,357.947,938.152,288.821,840.546
26,28960.624,13990.593,7322.098,1694.960,349.420,922.186,306.401,854.358
27,37893.928,14427.112,7109.880,2102.953,511.779,881.320,451.071,815.294
28,40381.922,12107.579,6747.983,2195.471,397.075,924.432,423.622,752.338
29,52852.134,10794.707,6351.434,2895.049,586.605,932.879,543.598,760.378
