 ,Ctrl+ nuclei,Ctrl- nuclei,Ctrl+ membranes,Ctrl- membranes,Channel #2 in nuclei,Channel #2 in membranes,Channel #4 in nuclei,Channel #4 in membranes
1,22692.162,8667.531,6069.431,1579.994,397.297,793.777,371.773,812.422
2,13025.181,10494.333,6203.004,1041.439,275.808,849.200,212.590,797.931
3,8786.385,11276.516,6249.485,1033.075,146.050,853.374,323.208,831.061
4,11641.598,11820.924,6178.756,1634.853,443.434,852.878,468.587,805.291
5,19817.336,12519.841,6306.109,1454.824,439.257,845.796,197.615,782.746
6,20067.391,12813.453,5913.404,1261.402,215.497,845.415,217.848,723.837
7,19424.318,11150.926,5548.776,1306.302,221.134,800.907,257.890,729.473
8,21489.049,9648.346,5545.159,1610.865,329.459,847.429,410.884,694.992
9,20418.710,10906.817,5843.960,1409.465,263.246,833.590,290.110,739.187
10,27566.971,11319.071,6023.426,1625.715,357.964,813.165,387.644,748.060
11,27966.465,11973.076,6030.565,1371.370,396.291,838.223,403.626,759.630
12,31321.605,12440.069,6467.818,1547.359,408.544,841.372,432.356,883.921
13,40280.338,12027.639,6300.834,1956.295,479.531,786.263,406.533,848.155
14,36770.613,10762.400,6138.660,1685.944,414.170,813.975,455.341,779.974
15,45649.524,11705.684,6646.704,2186.215,470.707,888.954,503.863,787.941
16,48025.971,12749.355,7279.441,2129.398,594.769,852.204,477.122,865.853
17,34442.548,12162.186,6953.405,1555.620,441.736,867.812,326.453,933.615
18,51456.278,12428.009,6543.017,2553.169,522.865,829.863,531.873,878.315
19,32943.408,12156.359,6138.836,1557.243,362.457,880.441,369.980,755.596
20,48550.513,10429.093,5548.578,2412.052,561.800,810.898,508.101,697.444
21,47335.436,9722.887,5414.078,2150.011,501.341,791.139,566.108,666.004
22,42541.962,10067.455,5250.521,1905.342,469.988,780.459,534.368,663.560
23,46995.032,10745.502,5529.647,2211.528,513.282,830.472,549.733,740.860
24,35901.070,11487.144,6166.954,1712.166,439.569,874.573,432.064,767.586
25,35793.147,12601.593,6882.106,1798.905,445.030,845.581,433.444,915.470
26,43510.367,14351.786,7060.596,2306.153,636.524,868.874,503.014,1023.415
27,46676.794,15489.672,7021.286,2469.609,713.440,903.754,542.735,1093.877
28,61709.832,15370.326,6805.711,3033.663,615.952,936.280,677.604,1060.734
29,49015.067,16406.386,6833.938,2320.408,558.882,948.899,544.644,1001.826
30,46655.053,14705.198,6717.568,2183.986,555.318,896.307,502.832,882.702
31,48278.713,14528.614,6525.598,2105.875,476.300,966.509,542.651,842.672
32,50557.469,14129.348,6589.068,2169.862,521.939,882.311,599.563,839.928
33,49359.656,13523.552,6215.785,2173.839,472.817,824.833,537.462,824.767
34,45155.313,13413.746,6317.062,1999.453,490.903,871.205,530.948,802.728
35,48410.440,12969.358,6159.146,2010.585,494.851,876.132,552.616,765.118
36,48863.872,12316.161,6055.819,2151.306,504.109,856.231,559.747,845.441
37,35840.538,13790.804,6289.719,1731.002,302.391,844.547,401.392,820.310
38,35279.932,13878.414,6272.219,1895.843,387.072,915.312,333.542,856.763
39,50937.142,15232.952,6720.231,2510.697,587.515,933.292,519.637,933.675
40,40832.561,15885.405,6860.235,1972.401,428.606,918.624,407.959,967.586
41,44416.595,15816.861,6506.584,2265.425,479.857,927.977,475.516,888.620
42,55613.726,15336.242,6452.694,2564.769,581.702,908.002,496.905,837.676
43,53775.598,14094.194,6238.681,2466.872,617.847,937.279,554.899,831.591
44,61354.876,13984.423,6435.314,2952.822,711.533,958.390,720.664,864.800
45,60650.311,12733.977,6190.668,2750.601,636.109,903.432,629.137,780.628
46,67654.199,12659.832,6024.093,3383.307,791.022,899.841,643.312,788.100
47,55556.251,13002.771,6186.711,2632.915,592.500,935.067,585.204,803.256
48,44856.325,12983.272,6594.345,2104.374,427.762,928.489,434.375,811.777
49,40011.009,13058.159,6203.363,2143.952,420.656,908.111,444.952,787.975
50,44981.102,16503.771,6290.053,2304.776,595.881,949.657,479.935,856.660
51,51308.338,16086.292,6362.017,2755.877,558.087,901.433,549.047,875.185
52,42443.547,16874.742,6629.003,2050.302,506.741,967.682,444.679,885.983
53,36696.732,16234.856,6585.865,1848.940,453.405,977.416,400.784,866.989
54,45113.905,15356.650,6285.387,2255.351,490.796,970.263,462.927,869.790
55,41983.862,15431.927,6422.968,2019.083,452.806,947.640,424.044,860.977
56,40437.546,15733.114,6657.106,1877.392,482.650,891.754,386.308,835.970
57,46026.980,15977.420,6821.050,2274.811,506.391,954.433,407.813,903.946
58,37134.577,18132.827,7062.777,1858.495,438.892,1007.544,367.446,959.010
59,53138.313,18297.848,7581.018,2698.828,685.377,989.983,602.946,969.353
60,59979.659,18261.681,7981.935,2728.066,739.385,959.833,625.150,982.954
61,61282.558,18585.457,7477.666,2889.578,739.923,969.875,567.049,993.376
62,46553.394,18773.167,7674.139,2257.010,597.618,1018.494,387.834,1044.385
63,36619.585,16178.139,6918.494,1815.074,387.798,946.683,322.915,960.597
64,38674.156,14856.770,6356.510,1618.336,435.052,910.863,316.316,866.300
65,50861.337,15708.795,6582.510,2221.912,572.377,1033.024,515.335,896.370
66,49707.690,16856.517,6959.789,2301.535,457.519,1042.874,484.007,893.297
67,36810.586,16081.150,7089.767,1829.412,404.817,985.668,434.530,902.888
68,43601.619,16336.393,7021.927,2068.950,501.236,914.194,432.687,824.896
69,47516.745,17110.961,7141.265,2362.044,532.014,972.511,474.457,921.077
70,30938.031,16027.549,6565.996,1391.265,332.916,934.839,263.069,962.957
71,33098.423,16504.825,6482.635,1605.669,329.550,911.583,313.987,1015.724
72,12734.486,18060.746,6685.325,631.344,147.428,936.753,135.530,980.707
73,45141.807,15915.032,6531.005,2193.126,499.914,908.714,572.466,943.342
74,38511.541,15790.845,6632.650,1797.519,457.423,890.158,406.111,961.799
75,53437.982,16526.944,6795.526,2572.314,537.900,902.175,502.081,1001.776
76,59440.414,16932.436,6779.625,2845.961,584.859,956.079,547.070,996.666
77,44736.994,17913.998,7034.939,2295.967,446.283,930.532,449.233,1029.291
78,42411.740,17574.613,7347.213,2100.476,471.921,959.829,485.580,980.427
79,39501.205,17966.237,7484.420,2011.133,411.983,990.149,428.575,1020.056
80,57867.258,19039.179,8063.714,2955.262,603.150,1028.169,622.506,1024.683
81,35826.120,20053.421,8611.786,2133.564,402.960,971.749,414.770,1089.671
82,37199.530,18901.443,8644.629,1937.669,385.471,954.500,475.042,1094.423
83,54306.950,18715.699,8762.796,2627.323,567.794,979.789,606.447,1069.976
84,50257.063,18834.203,8181.268,2419.133,555.552,946.458,482.561,975.845
85,51845.625,16411.686,7139.026,2450.934,614.107,885.185,508.486,904.010
86,43383.019,16643.275,6559.702,2198.927,573.304,878.473,537.548,803.484
87,51321.763,17439.284,6915.465,2570.192,589.110,912.171,637.817,810.705
88,61170.218,16858.991,7072.965,2946.123,670.278,938.668,598.751,787.620
89,48743.451,17234.116,6511.249,2239.412,570.916,928.024,442.353,786.498
90,54021.741,16691.600,6888.087,2564.839,629.576,918.526,534.401,778.905
91,55474.520,16360.113,6984.935,2708.936,614.489,901.219,556.209,859.177
92,46349.078,16392.947,6864.715,2178.504,515.862,932.567,450.689,806.231
93,54110.787,13996.762,6538.365,2709.926,508.291,950.969,521.755,766.224
94,41811.113,14267.597,6942.110,2097.987,393.812,934.226,417.566,825.000
95,42859.190,16595.677,7588.602,2237.870,493.310,973.761,418.955,908.973
96,52115.480,17682.997,8146.942,2660.655,565.834,897.537,489.210,964.764
97,50843.423,17090.352,7771.217,2368.681,580.786,902.009,481.429,944.562
98,57697.512,17292.174,7415.491,2814.103,665.005,914.845,520.383,834.435
99,56813.274,17839.084,6820.139,2650.994,632.038,875.421,552.962,855.190
100,61116.135,18191.449,7261.257,2940.852,676.032,929.752,548.945,849.590
101,57530.815,17105.633,7033.143,2778.983,603.826,912.287,613.796,877.886
102,56701.859,16601.745,6435.375,3000.845,613.273,885.357,621.748,814.782
103,55295.192,16617.288,6212.547,2872.561,585.961,889.935,600.259,824.695
104,47306.857,15756.875,6515.070,2363.391,489.821,875.356,493.534,886.399
105,44402.244,16440.141,6772.261,2203.122,460.710,903.353,474.282,902.062
106,47875.832,16410.831,6737.759,2509.443,545.924,948.090,541.209,887.253
107,47388.452,17405.122,7313.501,2158.153,458.624,962.153,468.344,938.180
108,43229.743,18599.050,7988.112,2028.116,390.185,987.720,421.155,946.308
109,41711.206,18690.822,8290.727,2080.366,435.518,999.834,390.386,1042.089
110,22211.499,18981.153,8450.172,1180.648,254.662,1022.280,262.268,1049.552
111,47033.473,21138.926,8758.985,2561.717,426.578,1058.079,369.599,1128.297
112,49863.511,20490.553,8721.131,2216.622,556.640,1043.811,355.577,1046.262
113,43271.899,20817.575,7844.422,2017.682,427.251,995.415,325.681,957.961
114,36154.202,17535.424,7251.800,1874.822,346.131,994.994,333.965,880.471
115,47681.654,14693.892,6555.151,2559.329,440.118,932.482,414.875,800.254
116,59107.523,12259.210,6180.459,2681.916,661.792,925.689,470.561,792.344
117,48690.153,13153.451,6094.858,2256.937,557.280,996.802,451.597,827.830
118,46400.184,13864.487,6235.596,2170.308,502.838,941.647,400.814,844.512
119,49411.390,16704.097,6717.785,2368.148,506.282,979.406,408.306,899.379
120,44799.375,18325.903,7463.130,2240.217,479.202,1005.725,426.786,940.876
121,44995.499,19643.212,7784.377,2270.877,515.486,992.251,422.114,987.940
122,42624.157,20909.079,8339.013,2376.367,546.684,982.810,501.440,1003.998
123,38117.764,20006.292,8340.598,2052.017,483.100,977.531,369.078,1049.353
124,38844.134,19601.413,8422.402,1893.940,473.916,925.271,447.823,1004.637
125,49453.801,20026.479,8010.627,2223.974,586.827,901.565,484.347,945.890
126,50809.877,21521.500,8280.283,2411.676,504.082,977.073,525.511,928.874
127,50441.773,21151.676,8440.882,2367.672,531.971,974.275,453.022,862.052
128,49840.648,19268.891,8136.815,2135.104,541.939,932.655,457.131,837.376
129,47690.165,19461.844,8103.975,2389.530,497.530,984.328,489.336,847.977
130,52134.383,20830.029,8324.040,2524.813,591.138,1045.224,554.925,909.288
131,52891.169,20066.795,8496.927,2420.441,611.545,983.455,505.099,949.682
132,53378.089,17821.978,7546.426,2423.026,594.152,953.407,473.119,940.126
133,56004.786,17570.255,7466.360,2593.770,676.291,948.737,532.758,925.384
134,38014.043,17608.930,7832.653,1935.617,425.241,933.913,426.556,882.470
135,51991.560,18410.891,8393.761,2782.251,523.483,935.105,515.443,907.226
136,54585.823,18794.796,8952.106,2802.040,595.378,908.412,475.563,958.911
137,71202.845,18849.993,8209.279,3699.006,884.604,934.227,621.304,957.080
138,48491.120,17101.528,7112.172,2343.206,657.725,935.215,442.286,835.527
139,47680.345,16313.630,6944.719,2546.984,618.136,925.604,475.855,806.187
140,53592.973,17015.350,7121.344,2683.209,624.938,938.709,591.896,841.516
141,52907.665,16146.163,7129.667,2616.339,598.077,900.384,569.150,784.296
142,46557.155,16623.609,7288.410,2477.677,624.029,969.443,483.564,859.595
