 ,Ctrl+ nuclei,Ctrl- nuclei,Ctrl+ membranes,Ctrl- membranes,Channel #2 in nuclei,Channel #2 in membranes,Channel #4 in nuclei,Channel #4 in membranes
1,43266.972,12149.273,7645.623,3353.728,12617.400,18939.927,1862.715,2926.332
2,50845.479,11661.039,7485.773,4052.143,13085.918,16387.234,2021.820,2483.123
3,50648.238,11686.543,7258.553,3651.141,12232.388,15145.857,1904.247,2284.644
4,31627.321,11489.027,8184.618,2181.016,7668.233,15315.177,1182.759,2391.055
5,33376.558,11531.088,8099.219,2542.978,7942.889,16024.802,1348.194,2450.739
6,36980.974,11157.681,8271.579,2873.868,8410.717,14922.842,1515.848,2399.734
7,25898.857,10647.526,7832.120,1811.224,6353.832,14957.351,1070.297,2441.073
8,31012.571,10014.990,7535.184,2085.799,8365.626,14075.769,1232.566,2232.157
9,34311.425,9723.265,7673.958,2406.929,8110.160,13949.549,1407.894,2294.425
10,39857.357,11269.608,8030.261,2979.501,9551.572,16059.690,1620.272,2510.654
11,20769.487,12094.503,8545.756,1527.166,5138.192,16654.978,730.957,2503.480
12,20559.159,11749.917,8066.559,1572.484,5730.327,15463.463,804.559,2524.463
13,35153.496,11377.091,7356.429,2319.712,7421.318,14181.367,1330.062,2356.634
14,43673.441,9838.300,7113.643,2927.463,8259.188,12812.763,1640.200,2083.734
15,38662.263,10641.163,7621.102,2962.649,7458.990,13251.521,1346.992,2237.400
16,35887.781,9883.404,7410.680,2612.896,8257.459,13722.423,1235.107,2237.941
17,39162.497,11211.999,7864.308,2560.092,8526.150,15256.605,1334.443,2480.929
18,50286.029,11178.604,7690.630,3457.752,10613.173,15574.923,1605.958,2491.612
19,43653.462,10318.313,7460.398,3026.470,9470.248,15512.697,1449.585,2478.993
20,36685.822,11016.653,7877.710,2610.434,9714.838,16489.386,1421.760,2562.074
21,29223.421,12739.311,8009.332,2039.379,8201.478,18284.992,1154.043,2889.308
22,35229.459,12030.900,8012.990,2676.455,12732.011,17876.179,1395.608,2668.577
23,22771.581,11533.504,7805.192,1693.644,8400.201,16413.556,943.404,2519.342
