 ,Ctrl+ nuclei,Ctrl- nuclei,Ctrl+ membranes,Ctrl- membranes,Channel #2 in nuclei,Channel #2 in membranes,Channel #4 in nuclei,Channel #4 in membranes
1,892.250,10346.321,9353.941,95.560,160.866,6236.519,10.340,1923.870
2,27469.751,11452.469,9646.233,2002.957,2176.256,6177.526,630.516,2133.216
3,39031.726,12188.703,9842.043,2576.394,2477.888,6622.773,785.453,2403.584
4,355.796,12299.399,9742.838,62.885,59.024,7150.908,19.858,2614.443
5,58.030,12334.945,9864.170,0.000,58.030,7965.222,0.000,2770.207
6,73.753,10389.645,9182.118,0.000,73.753,7911.068,0.000,2541.090
7,0.000,10268.492,8857.231,0.000,0.000,7883.343,0.000,2250.160
8,4183.479,10868.067,8030.801,345.303,371.865,7582.654,79.685,2049.192
9,41784.242,11354.357,7955.511,3473.858,4499.113,7501.915,1203.577,2037.852
10,39582.841,11452.711,7512.305,3143.723,4212.196,7149.399,1107.644,1954.054
11,27133.771,11732.133,7766.569,2059.343,2370.350,7633.127,730.608,2017.919
12,15998.862,12711.172,8495.487,1237.538,1297.433,8880.444,378.771,2252.744
13,12679.787,12946.584,9092.066,1409.604,2148.925,9497.705,618.263,2523.595
14,27650.289,12179.017,9231.348,2458.312,4389.742,8901.778,863.188,2447.085
15,21893.845,11918.519,8620.444,2048.551,3581.390,8716.675,683.796,2350.277
16,16357.871,10357.767,7826.999,1610.272,2108.413,7952.331,571.170,2090.688
17,31972.011,9300.961,7489.936,2617.597,3992.896,7441.632,1017.131,1976.381
18,37976.656,9641.188,7648.123,3196.690,4621.227,7683.901,1176.264,2022.501
19,36748.841,9870.670,8410.406,2992.723,4119.425,8018.182,1196.263,2183.098
20,48828.262,9492.939,8854.703,3871.953,4980.963,8334.607,1619.872,2154.674
21,41166.136,9720.565,8098.817,2983.177,3992.813,8191.312,1276.806,1954.623
22,30362.484,9757.143,7844.586,2376.517,2903.724,8308.948,900.578,2145.851
23,29678.468,10746.237,8189.726,2273.585,2693.730,9350.485,750.128,2373.115
24,35149.840,11742.012,8655.016,2645.885,3632.828,10107.831,964.822,2633.782
25,43732.904,13289.427,8604.886,3314.006,4795.183,10586.559,1301.853,2859.525
26,24881.378,12910.230,8524.933,1936.218,2960.451,10516.177,795.432,2719.888
27,26702.358,12914.630,8364.115,1758.468,2929.350,10197.229,877.217,2780.191
28,30212.714,13573.818,8715.747,2447.716,3610.433,10389.037,969.334,2891.067
29,37764.617,12953.007,8721.405,2761.419,4193.387,10214.168,1129.589,2879.403
30,35802.912,11893.178,8678.997,2779.523,3938.207,9635.318,1162.203,2685.410
31,30008.676,11100.776,8390.553,2384.893,3853.163,8893.011,983.252,2440.659
32,42989.540,11043.680,7835.022,3015.747,4565.488,8158.423,1297.364,2381.945
33,44998.060,13060.607,8576.467,3457.665,5073.298,8839.744,1385.931,2515.085
34,34561.165,12625.971,7949.538,2741.276,4009.260,8727.501,1082.134,2399.233
35,50668.331,12279.077,8386.543,4048.086,5841.753,9304.234,1693.193,2610.358
36,56036.863,12839.486,8676.195,4332.005,6551.068,9917.421,1863.732,2721.299
37,43572.888,13718.344,9227.738,3164.335,4992.845,10505.462,1405.524,2835.062
38,47021.993,13716.513,9064.077,3400.362,5460.413,10404.886,1540.997,2851.736
39,34211.223,13136.214,8723.757,2645.496,3905.735,9654.470,1086.161,2639.667
40,40753.854,12525.845,8280.261,2952.375,3792.778,9118.900,1094.490,2491.011
41,38821.230,12124.213,7985.634,2759.595,3786.604,8016.306,966.448,2291.945
42,24951.937,11763.715,7751.248,2027.070,2582.502,7673.881,775.484,2165.762
43,30618.578,12125.024,7979.974,2955.116,3562.804,8006.141,1063.483,2281.662
44,35049.348,13086.094,8160.688,3087.837,3464.318,8765.889,1270.061,2513.783
45,30688.209,13890.086,8265.860,2491.849,3028.431,8506.429,1086.114,2474.639
46,33731.477,14740.682,8921.826,2684.731,3435.690,8372.948,1154.696,2485.572
47,37664.960,13131.266,8226.952,2847.835,3648.095,7733.768,1232.216,2391.150
48,55852.975,13463.376,8309.372,3994.044,4905.316,7931.772,1743.064,2468.000
49,64344.416,13456.822,8628.586,4787.862,5626.486,7968.360,2042.557,2476.537
50,59570.903,13740.672,9085.727,4840.464,5365.371,8738.114,1799.247,2438.398
51,43755.000,14918.681,9394.483,3531.224,3796.332,8657.806,1189.543,2608.364
52,44862.091,14579.196,9454.827,3650.281,3560.115,8265.205,1282.143,2539.394
53,32006.269,13332.765,8497.023,2556.715,2796.446,7394.022,885.183,2305.360
54,23750.030,14317.960,9027.984,1848.687,2352.494,7723.051,723.661,2368.080
55,26870.644,16072.481,10284.141,2144.589,2345.776,9560.311,760.123,2726.902
56,30358.759,16526.589,9972.058,2462.102,2624.482,10050.872,842.264,2883.147
57,22010.460,15589.931,9787.812,1901.002,2710.840,9184.102,657.001,2894.392
58,28648.276,16552.688,10205.253,2370.085,3377.774,8923.969,748.598,2885.711
59,20675.720,15098.807,9509.217,1860.047,2123.023,8341.330,583.340,2692.404
60,39017.180,13785.622,9300.876,3316.704,3088.981,7677.398,981.237,2512.784
61,66576.185,14150.065,9204.439,5004.107,5388.870,7482.370,1835.609,2412.241
62,48672.075,16571.624,9335.921,3640.598,3716.456,7697.644,1253.305,2517.122
63,46400.604,15814.654,8784.504,3762.302,3569.500,7537.990,1467.226,2439.844
64,32230.673,14558.240,8844.622,2499.424,2361.934,7620.715,1003.342,2504.177
65,29079.305,14695.673,9311.558,2581.156,2720.246,7851.005,856.508,2556.240
66,40836.155,15930.541,10131.756,3818.115,3969.986,8454.678,1439.793,2661.203
67,28911.633,16428.739,10042.622,2892.476,3215.470,8569.883,1020.674,2821.872
68,41262.558,15650.751,9874.340,4233.572,4745.011,9219.154,1307.769,2822.227
69,49462.334,13962.743,9357.547,4321.107,4936.067,8560.935,1406.442,2771.854
70,52020.495,14269.766,9722.082,3887.218,4373.002,7909.040,1331.761,2737.245
71,47044.670,15111.480,9458.760,3628.212,3714.077,7569.489,1325.965,2632.292
72,54636.066,13666.342,9193.221,4510.873,4719.456,7033.835,1677.047,2435.876
73,60434.286,12909.706,9083.990,4913.657,4849.439,6775.649,1875.483,2310.944
74,54639.386,12638.388,8795.130,4189.683,4448.387,6765.280,1503.708,2317.003
75,48466.993,14765.700,9169.794,4033.245,4231.869,7140.665,1488.400,2418.530
