 ,Ctrl+ nuclei,Ctrl- nuclei,Ctrl+ membranes,Ctrl- membranes,Channel #2 in nuclei,Channel #2 in membranes,Channel #4 in nuclei,Channel #4 in membranes
1,30364.659,5218.657,4602.218,2373.079,7608.054,9579.882,1412.117,1738.607
2,31014.815,5494.165,4453.418,2207.316,8006.728,10587.498,1607.831,1802.544
3,34882.634,5223.502,4333.629,2781.717,9501.665,9724.191,1830.726,1786.282
4,33004.819,3522.318,2920.628,2757.989,8959.658,6220.624,1800.918,1169.127
5,26145.112,3100.717,2452.179,2109.719,6652.441,5291.410,1378.864,1121.599
6,27525.448,4462.170,3214.906,2302.974,7498.173,6721.350,1592.724,1507.731
7,28905.592,5715.973,3919.081,2458.136,7571.907,9696.599,1585.167,1851.877
8,37032.061,6280.021,5456.471,3342.998,9380.406,11040.014,1949.879,1998.717
9,36785.837,8379.354,7988.377,3136.585,8906.235,15427.504,1949.682,2748.285
10,37722.050,9429.919,8657.083,3216.005,9413.725,17436.526,1825.760,2981.917
11,31778.497,7912.637,6876.106,2422.021,8276.598,14354.142,1564.377,2436.845
12,29209.921,6562.479,5716.837,2580.481,8568.656,12549.500,1539.740,1942.139
13,28490.612,5962.601,4852.354,2520.843,8315.053,9290.671,1536.894,1569.845
14,33149.670,6814.766,5316.687,2872.511,9045.627,9894.897,1851.932,1828.599
15,34267.816,6290.813,4570.919,2964.789,9430.520,9733.895,2026.809,1907.080
16,28510.185,6853.413,5169.339,2471.887,7888.163,10709.048,1513.532,2114.401
17,27087.923,7857.860,6789.125,2308.280,6984.871,12843.467,1510.068,2499.279
18,31732.353,7453.760,6757.668,2533.877,7618.539,12899.405,1700.992,2588.014
19,39538.594,6661.572,5829.065,3281.322,10425.214,11628.427,2242.220,2238.525
20,35185.884,6855.018,5659.010,2873.446,8420.857,11647.644,1805.243,2219.372
21,34840.350,5489.546,4588.756,2923.364,8616.990,9123.087,1907.617,1836.097
22,30154.330,5269.649,3806.059,2481.918,7235.020,7737.095,1625.576,1737.520
23,28920.283,5167.762,4188.979,2532.099,7227.730,8525.299,1495.840,1747.686
24,30520.944,7259.550,6700.274,2814.526,7966.261,13589.782,1498.132,2428.994
25,26920.093,8129.146,7073.009,2419.887,6240.755,14849.274,1281.290,2670.536
26,27136.228,7798.029,6472.142,2192.216,5902.077,13147.718,1289.887,2407.789
27,40518.929,8040.101,6436.175,2969.362,8247.035,12683.008,1776.749,2256.404
28,48280.453,7409.600,5606.891,3503.652,9754.197,11653.784,1989.601,2095.971
29,47004.950,7665.180,5065.242,3392.612,9962.572,12090.716,1956.791,1991.060
30,49323.998,7692.659,5106.232,3725.488,10422.932,12861.170,2219.597,2109.412
31,49965.311,6661.919,5379.687,3805.391,10864.980,12721.278,2206.688,2080.510
32,38492.230,7940.850,5807.340,3068.863,8754.250,13818.840,1895.021,2349.129
33,31674.320,7354.756,5978.714,2598.848,7959.506,13406.618,1775.497,2374.327
34,29181.714,6810.621,5812.235,2572.137,6793.120,12750.343,1613.796,2216.366
35,34982.066,6707.575,5364.443,2842.383,7166.939,12302.794,1785.848,2199.050
36,37969.701,6241.290,5258.901,3071.363,7661.516,10782.708,1830.105,2104.827
37,49914.741,5234.515,4224.163,3898.942,9328.123,8090.275,2250.161,1904.999
38,50503.693,4285.938,3417.916,3904.441,9052.682,5912.548,2190.577,1327.801
39,49959.108,5379.349,4003.642,3823.907,8821.936,6704.201,2088.817,1525.562
40,51099.910,6259.169,4569.552,4015.665,9517.420,8154.235,2131.717,1817.621
41,45365.421,6328.208,4633.495,3433.698,8544.639,9018.722,1927.035,1905.384
42,43222.962,7839.046,5553.080,3459.209,8290.081,10975.004,1910.823,2140.814
43,34261.546,6546.950,4636.138,2749.439,7276.718,8886.804,1630.165,1784.779
44,37152.785,6505.971,4806.171,3085.856,8132.265,8891.126,1766.218,1904.467
45,34109.173,5254.183,3516.764,2839.321,7232.107,6677.894,1663.244,1512.785
46,37282.237,5985.762,4056.100,3013.582,7172.927,7693.020,1673.320,1708.715
47,42135.423,6948.528,4728.287,3381.512,7251.116,9244.232,1740.992,2033.782
48,39462.969,7470.590,5053.118,3157.394,6890.085,8880.816,1539.738,1981.591
49,34135.221,8712.441,5760.724,2718.838,5968.583,9901.867,1390.877,2527.435
50,39136.599,8026.406,5576.630,3154.093,6539.122,10059.985,1708.935,2318.479
51,43168.335,7137.190,4960.085,3504.479,7513.381,8647.874,1873.753,1930.082
52,44094.461,7794.134,5394.085,3374.324,7339.350,8985.746,1937.892,2136.286
53,41617.542,7474.603,5445.765,3302.711,7073.832,9339.538,1872.333,2236.812
54,38520.559,6678.600,4748.745,3389.733,6795.848,8388.428,1755.061,1985.366
55,42667.816,6208.108,3742.678,3755.486,7719.468,6772.515,1984.208,1515.030
56,37531.099,6074.770,3235.919,3203.060,6828.752,6418.477,1736.314,1438.963
57,41375.896,6422.137,3940.826,3367.349,6923.091,7002.524,1848.160,1564.561
58,50706.900,7472.269,5108.184,4077.728,8276.024,8674.916,2306.186,2099.660
59,51061.536,5715.571,3981.776,3997.749,8065.415,7181.335,2349.741,1605.313
60,50403.721,6920.341,4513.568,4204.767,8357.976,8629.632,2317.597,2133.307
61,45946.264,6359.508,4421.772,3748.738,8065.074,7998.190,2153.151,2083.634
62,24913.623,7512.758,5186.486,2142.728,4783.666,8793.748,1203.447,2277.323
63,29277.380,6613.136,4452.355,2247.778,5106.088,7948.219,1163.763,1826.173
64,32285.071,6554.550,3913.193,2542.154,4988.049,7134.649,1296.978,1687.406
65,42669.130,6429.905,3893.002,2952.385,5268.492,6431.537,1608.795,1635.560
66,49350.516,7811.952,4556.064,3531.271,6336.958,7101.647,1827.188,1889.510
67,51836.896,8596.126,5111.979,3702.584,6657.562,7530.246,1936.331,2117.947
68,52217.400,6760.868,4096.451,3897.616,7219.583,5948.983,2015.483,1735.051
69,49417.093,7810.066,4569.946,3872.151,7064.801,7008.637,2075.321,1860.443
70,42060.795,6878.242,4088.639,3458.880,6416.835,6555.991,1788.404,1831.345
71,40792.531,6175.484,4444.227,3510.478,6496.245,5990.665,1922.330,1723.237
72,42044.272,6587.401,5253.297,3518.550,6474.345,6347.653,1889.322,1860.245
73,41154.009,5666.142,4360.199,3259.407,6248.558,6431.697,1748.266,1777.131
74,44197.466,6600.104,5092.379,3705.198,6573.632,7121.756,1909.004,1923.604
75,28742.079,8747.937,6456.501,3086.234,5027.529,8196.010,1517.964,2192.852
76,25310.889,9975.487,7130.611,2437.286,3724.121,9229.080,1143.579,2521.821
77,48586.734,8705.029,6323.233,4150.076,6670.177,8298.427,2196.401,2222.853
78,62001.371,10223.823,7471.601,4828.974,7346.886,9376.748,2483.270,2531.099
79,52776.403,9439.254,6880.547,3959.207,5850.130,8528.040,1959.278,2510.237
80,45949.506,9430.480,6439.297,3962.424,5599.029,8016.690,1756.790,2531.125
81,47713.146,8984.604,5807.521,3886.353,5480.425,7404.130,1895.377,2230.611
82,44484.731,7394.772,4559.259,3626.073,5266.110,5953.147,1845.296,1766.477
83,50262.999,7680.998,4461.535,4096.638,6382.292,6156.564,2245.382,1736.237
84,44644.119,8440.780,4483.308,3891.202,6216.758,6946.894,2155.581,1832.900
85,39225.939,8299.109,4624.238,3661.962,5337.368,6847.209,1943.525,1804.748
86,46392.256,8212.614,4872.124,3751.874,5596.101,6433.429,1955.918,1819.992
87,48903.986,7850.975,5529.463,4211.977,5931.865,6067.423,2204.597,1832.398
88,52115.493,8042.044,7184.974,4834.665,6393.323,7008.462,2203.273,2030.865
89,45776.222,8908.145,7842.804,3644.869,5140.462,7698.007,1650.165,2360.996
90,50098.830,9015.810,6931.625,4220.779,5879.071,7193.838,1919.100,2224.488
91,40748.625,7361.173,5027.339,3579.110,4969.918,6062.570,1561.885,1716.390
92,41387.275,8706.058,5418.720,3590.911,5208.205,6941.079,1670.983,1988.854
93,37057.887,9157.427,5871.429,3094.399,4296.599,7085.990,1471.073,2156.100
94,42018.648,8455.394,5032.148,3187.194,4782.275,6574.094,1621.364,1811.309
95,48362.413,7079.959,4051.274,3647.063,5369.544,5686.144,1889.790,1579.603
96,47504.386,5883.023,3481.815,3596.991,5377.706,4597.145,2087.350,1324.850
97,52749.907,5305.678,3055.116,4338.597,5869.179,4292.122,2218.696,1206.091
98,45097.264,5245.976,3209.472,3664.761,4873.195,4274.592,1785.226,1207.085
99,33314.733,6676.200,4347.581,2615.719,3628.892,4897.106,1336.604,1488.125
100,31079.940,6856.847,4638.859,2679.478,3715.477,5132.726,1488.414,1513.050
101,17122.515,7702.181,5261.901,1643.239,2145.962,5691.542,721.738,1684.660
102,16273.520,9001.326,6249.887,1174.676,2103.522,7012.842,640.848,2054.937
103,31216.862,9600.377,6655.482,2180.902,3490.789,7887.211,1243.083,2195.265
104,42454.304,9505.898,6062.875,2947.791,3924.449,6984.162,1592.902,2070.172
105,44101.315,8787.532,5798.679,3041.672,4024.517,6382.039,1375.877,1996.332
106,51771.267,9142.525,6268.363,4082.114,5688.253,6813.843,1872.657,2032.555
107,47391.527,8875.368,6141.115,3653.676,5676.258,6700.789,1814.366,2110.977
108,42085.375,7093.910,4857.352,3425.092,5491.979,5717.829,1628.294,1812.870
109,38708.441,7205.793,5038.929,3581.067,5523.743,5941.983,1786.921,1761.734
110,37773.491,6685.978,4606.528,3185.402,4974.234,6056.242,1498.257,1646.840
111,53867.669,5503.757,3218.434,4111.664,6513.937,4645.906,2191.253,1242.995
112,43887.603,6638.972,3633.275,3327.980,5071.885,4688.655,1602.260,1325.038
113,45341.404,7074.061,3795.694,3687.904,5386.868,5104.883,1797.230,1408.049
114,50606.137,7993.525,4203.084,4367.644,6686.430,5889.679,2095.216,1576.551
115,58065.979,7612.883,3863.840,4860.166,7783.589,5561.729,2327.145,1499.684
116,56180.390,7186.563,3666.593,4260.350,7386.859,5549.417,2155.100,1270.127
117,45215.622,6757.303,3632.775,3434.837,5780.465,4727.754,1725.737,1321.598
118,45781.863,8326.664,4830.189,3595.462,5629.326,5922.670,1826.540,1800.160
119,38042.709,8037.968,4983.244,3263.992,4834.365,6119.474,1578.510,1868.957
120,36885.971,8507.497,5209.703,3149.650,4719.603,6729.093,1512.957,1970.460
121,38418.725,8057.238,4914.595,3192.673,5236.017,6367.938,1579.307,1782.776
122,56985.599,7154.589,4413.839,4600.330,6910.287,5359.736,2225.035,1587.424
123,56754.919,7418.105,4715.691,4492.763,6262.780,5637.335,2030.625,1717.520
124,49625.319,7495.034,5035.464,3887.844,5732.192,5984.025,1956.901,1981.903
125,31491.501,8540.553,5349.797,2525.427,3964.139,6449.563,1319.252,2013.321
126,36017.945,7905.969,5212.554,3219.455,4906.933,6064.705,1587.326,1658.835
127,40508.610,9252.506,6072.041,3619.092,5093.178,6871.174,1793.189,1825.084
128,32686.821,8701.175,5613.375,2928.896,3894.504,6548.499,1283.159,1786.296
129,45748.218,7948.570,4968.435,4134.329,5525.087,5816.251,1829.211,1724.593
130,40574.885,8061.142,4818.436,3538.412,5167.971,5901.693,1564.613,1638.476
131,47179.280,7902.759,4462.782,4236.413,6049.857,5391.008,1858.320,1591.012
132,42361.745,9185.553,5275.960,3565.406,5181.524,6205.180,1596.358,1747.915
133,53945.752,9583.879,5522.714,4473.628,6321.488,6538.603,1829.046,1881.826
134,45113.839,8224.353,4752.282,3794.225,5002.781,5570.386,1536.001,1703.608
135,43823.073,7970.981,4390.446,3706.856,5123.603,5333.875,1647.176,1641.285
136,45271.438,7925.263,4368.115,3712.161,5668.433,5384.046,1632.529,1562.248
137,42588.797,8060.109,4676.779,3320.417,5406.750,5777.241,1606.151,1586.652
138,60581.418,9903.548,6327.408,4752.274,8294.032,7218.169,2327.426,1933.514
139,52658.938,10334.425,7127.870,4475.005,6875.616,7849.411,2056.077,2111.860
140,40994.911,9923.257,6189.449,3343.659,5130.853,6987.337,1627.626,1971.400
141,34393.392,9974.215,6007.786,2913.621,4325.117,6487.652,1294.822,1853.136
142,28877.750,10146.386,6314.931,2682.274,4295.615,6951.175,1111.836,1891.113
143,43187.601,10845.488,7155.739,3253.749,5399.743,7820.937,1255.106,2177.299
144,29193.301,11639.542,7486.567,2454.720,3494.465,8433.985,1117.730,2337.339
145,49156.982,10877.350,6986.493,4242.463,6226.355,8405.956,1988.742,2187.273
146,57747.676,10004.676,6070.876,4864.948,7157.390,7483.069,2269.791,2007.623
147,39362.183,8769.497,5259.244,3250.511,5289.983,6002.656,1600.421,1635.692
148,35660.955,7939.821,5002.555,2879.332,4638.626,5385.760,1359.171,1516.120
149,46866.384,7004.528,4613.389,3978.106,6118.796,4998.187,1702.206,1413.148
150,45318.322,8108.750,5043.612,3808.107,5410.119,6107.091,1648.441,1592.598
151,45937.922,6371.596,3952.712,3542.043,5018.645,4987.087,1594.713,1238.878
152,49253.969,6276.481,3628.287,4312.182,5942.510,4922.984,1830.474,1197.555
153,33138.333,5387.230,3127.876,3079.018,4657.019,3812.206,1342.906,970.437
154,39291.158,4954.363,3035.505,3617.122,5932.384,3879.829,1689.666,932.270
155,45633.701,5812.921,3462.463,4418.226,7504.425,4744.818,2016.342,1112.330
156,51011.864,5588.286,3367.829,4539.154,7369.977,4015.373,2175.364,1094.045
157,49274.292,7314.254,4755.787,4437.401,6708.179,5793.047,2012.133,1480.975
158,50212.036,8081.993,4606.625,4394.742,6733.355,5210.145,1988.508,1403.740
159,55227.171,8372.860,4808.280,4745.923,6853.098,5596.213,2003.048,1548.072
160,53463.143,8614.933,4874.800,4545.959,7048.422,5762.529,2278.441,1487.571
161,51843.970,9087.249,5346.229,4098.941,6886.289,6372.265,2083.059,1674.336
162,60463.470,9249.716,5434.296,4744.022,7626.385,6925.442,2171.049,1684.048
163,48365.729,8179.128,4853.784,3837.023,5985.898,6360.817,1784.649,1472.682
164,50592.736,6854.237,4275.627,4050.784,6004.019,5492.474,1976.942,1347.740
165,55477.445,7599.197,4746.032,4617.467,5781.633,6152.566,2128.929,1436.508
166,56729.707,9374.881,5752.680,4676.726,6181.899,7483.948,2066.665,1794.212
167,47059.864,10847.789,7089.672,3924.332,5823.825,9050.933,1700.230,2156.547
168,44353.262,9809.934,6758.072,4116.862,6325.170,8476.395,1783.895,2187.669
169,35760.199,9462.472,6338.563,3323.786,5160.478,7622.236,1496.604,1931.634
170,45855.678,9099.082,6178.625,3636.389,5238.823,7141.750,1563.627,1853.362
171,51097.824,10049.536,6520.402,3829.108,5438.269,7537.997,1742.429,2053.431
172,63843.237,10986.280,6817.864,5356.536,7213.008,8245.341,2241.926,2179.824
173,58389.684,10727.472,7243.576,4604.558,7035.347,8635.903,2152.200,2214.986
174,50541.439,10618.923,7201.959,4045.035,6148.128,8954.354,1742.873,2140.453
175,40134.051,10034.003,6368.227,3316.224,5006.597,8260.146,1505.856,1943.422
176,41108.399,10637.056,6953.961,3458.736,5133.215,8611.583,1594.111,2081.707
177,55212.432,10034.399,6608.785,4535.547,6815.743,8052.075,2072.038,2032.442
178,48210.633,9318.800,5689.768,4105.493,6258.896,6944.859,1848.978,1934.936
179,47106.217,7048.047,4041.827,3729.440,5941.963,5225.329,1826.273,1410.549
180,39836.222,6612.431,3659.251,3093.927,4683.315,4375.475,1500.501,1221.444
181,40124.467,6664.212,3511.097,3293.554,5016.603,4100.936,1477.722,1159.191
182,35420.018,7838.288,5042.080,2979.467,5265.097,5604.368,1467.581,1440.433
183,44232.705,8290.579,6162.855,3547.629,5988.390,6764.887,1740.155,1790.104
184,48190.254,8784.249,6482.068,3909.410,6472.126,7583.235,1828.363,1941.803
185,43919.708,7321.849,5215.923,3608.781,5460.877,6155.815,1674.610,1567.951
186,46293.993,7920.101,4560.441,3812.858,5849.935,6358.943,1826.890,1452.918
187,44283.753,6566.222,3484.200,3557.436,5705.800,4963.787,1619.066,1180.187
188,35244.191,7074.946,3858.510,2892.160,4663.632,5076.679,1236.283,1283.264
189,43313.656,7582.714,4302.920,3717.108,6067.552,5514.151,1764.333,1363.218
190,48665.292,6920.363,4034.998,4115.610,6374.736,5372.691,1913.904,1238.960
191,48504.885,9078.884,5316.651,4144.164,6006.279,6780.899,1824.413,1660.175
192,51718.572,12366.981,7130.924,4692.430,6677.238,8526.355,1930.449,2134.985
193,51545.725,10890.200,6219.730,4390.029,7042.061,7890.217,1832.032,1885.230
194,42696.570,12238.193,6796.507,3677.177,6575.045,8470.286,1755.413,1985.067
195,35714.313,11053.031,6440.291,3141.143,6060.780,8212.580,1625.905,1913.422
196,52581.598,9262.684,5484.861,4243.656,8200.788,7186.713,2068.746,1786.047
197,53137.066,7370.124,4272.472,4012.957,7377.108,5520.923,1858.758,1286.371
198,60305.042,7731.679,4553.537,4943.768,8226.677,5625.666,2185.453,1367.747
199,47684.612,7997.847,4694.489,4012.104,6876.795,6146.615,1766.603,1511.937
200,40514.322,7745.373,4739.464,3375.248,5925.013,5838.144,1523.534,1545.223
201,50175.684,8096.770,5265.139,3976.774,6452.538,6453.972,1938.226,1736.597
202,41607.480,9420.068,6332.538,3481.326,5465.791,7766.132,1653.526,1996.654
203,39411.696,10277.350,7205.072,3600.778,6140.414,9393.335,1656.497,2215.119
204,39406.949,9441.770,6445.177,3443.555,6089.313,8995.662,1529.317,2052.116
205,43048.739,10113.533,6525.291,3719.619,6726.922,9151.068,1701.872,2067.085
206,49624.715,11103.546,7080.753,4309.058,8344.723,9753.125,2003.259,2198.729
207,45749.138,10292.307,6281.530,3784.998,7703.031,8739.021,1840.314,1879.338
208,42774.652,9685.914,5363.099,3461.927,6851.341,7656.451,1667.000,1654.313
209,36941.226,10557.321,5988.725,3255.598,6294.616,8906.813,1521.183,1908.608
210,42766.914,11748.852,6965.438,3615.014,7081.672,9050.090,1843.079,2123.533
211,58404.923,11785.033,7131.994,4681.601,9152.897,9300.820,2248.680,2160.868
212,54718.316,10522.995,6445.177,4393.420,8050.585,8313.412,2000.808,2007.038
213,60798.103,11526.642,6888.718,4890.395,8959.022,9343.788,2144.855,1989.614
214,57101.516,12069.338,7572.972,4808.065,8757.535,10664.647,2116.491,2243.866
215,53474.654,11555.203,7640.911,4642.101,9295.643,10502.331,2063.674,2319.673
216,40166.841,13069.929,8202.244,3636.579,6508.516,10878.369,1500.604,2598.788
217,35215.886,10466.536,6652.808,2992.184,5242.984,9081.904,1255.879,2227.904
218,38500.935,8937.019,5455.129,3602.628,6176.208,7634.708,1568.533,1715.086
219,41663.042,7669.020,4463.612,3645.157,7094.108,6038.914,1748.127,1517.865
220,50037.927,8500.149,5174.417,4422.286,8797.513,6686.990,2007.882,1582.660
221,52310.740,8026.386,4755.904,4384.832,8487.029,6445.495,1970.030,1415.398
222,49855.049,7875.465,4331.447,4134.816,7634.813,7011.619,1903.413,1357.268
223,38730.065,10310.529,6106.316,3440.310,6077.584,9965.343,1571.634,2025.828
224,45275.289,10139.039,6284.366,4179.768,6684.294,10117.427,1712.465,2086.935
225,57489.526,9416.432,5849.713,5073.780,8160.682,8840.792,2191.691,1874.285
226,30657.094,8594.793,5730.533,2593.592,4158.093,7549.844,1059.952,1810.623
227,41328.637,9134.562,5977.861,3791.456,5949.994,7288.337,1520.529,1823.009
228,43974.973,8115.521,5240.408,3847.611,6540.333,6333.752,1666.241,1443.768
