 ,Ctrl+ nuclei,Ctrl- nuclei,Ctrl+ membranes,Ctrl- membranes,Channel #2 in nuclei,Channel #2 in membranes,Channel #4 in nuclei,Channel #4 in membranes
1,29607.057,2072.199,2968.363,1982.109,4418.117,3022.676,1056.989,831.878
2,24737.289,2224.305,2934.232,1878.904,3416.830,3187.614,815.055,869.286
3,15322.469,2116.868,2832.365,1544.268,1890.987,3193.297,588.879,848.108
4,11301.469,2156.333,2830.941,1303.048,1815.575,3212.237,553.305,858.862
5,11823.979,1751.063,2817.050,1308.533,1653.234,2256.431,554.387,717.174
6,16685.735,2133.604,2988.049,1472.358,1917.873,2136.523,716.847,705.880
7,24315.244,2407.129,3110.199,1797.914,2683.601,2053.805,936.012,717.864
8,26068.624,2526.591,2937.254,1786.893,3218.412,2075.406,959.802,749.534
9,22797.155,2691.428,2962.045,1598.333,2924.414,2224.893,883.213,833.567
10,22977.070,2439.792,3044.644,1764.718,3004.640,2011.534,919.798,795.063
11,19587.935,3146.841,3189.581,1360.993,2485.032,2316.145,733.341,863.136
12,25811.667,2872.087,3292.619,1923.811,2668.539,2531.602,977.098,962.403
13,23752.598,2818.866,3211.179,1888.212,2383.105,2668.097,1001.392,975.581
14,24888.347,2058.340,3328.341,1941.159,2688.188,2393.722,1031.671,855.701
15,25107.617,1744.587,3710.781,1841.824,2695.547,2473.676,1018.637,861.871
16,22821.102,1748.489,3315.230,1873.447,2501.283,2010.958,956.301,740.098
17,27151.130,1593.329,2897.947,2278.858,2705.736,1708.976,1076.475,662.740
18,29154.714,1565.271,2796.314,2192.592,2796.654,1539.903,1146.997,606.124
19,33600.208,1989.138,2947.756,2019.578,2885.507,1784.448,1058.918,677.824
20,32143.413,2709.584,3135.591,2012.560,2760.955,2244.587,1110.334,782.120
21,20851.116,2498.114,3251.545,1726.605,1783.230,2070.506,759.194,738.160
22,15391.144,3067.277,3321.225,1500.175,1489.237,2455.506,588.299,877.489
23,16657.978,4051.470,3454.953,1262.980,1584.130,3289.403,602.772,1045.535
24,24317.698,3933.631,3370.652,1793.023,2087.284,3233.131,954.728,1046.226
25,27556.253,3258.535,3199.008,2300.221,2694.672,2752.247,1094.850,920.679
26,22146.990,3511.074,3306.629,2121.656,2144.267,2650.246,1000.157,996.552
27,27396.751,3094.198,3382.595,1683.221,2472.487,3005.220,905.552,948.885
28,30131.034,3045.095,3373.923,1760.036,2878.847,3299.912,979.829,941.484
29,29892.240,3346.916,3357.515,1940.767,2683.204,3142.920,987.075,865.284
