 ,Ctrl+ nuclei,Ctrl- nuclei,Ctrl+ membranes,Ctrl- membranes,Channel #2 in nuclei,Channel #2 in membranes,Channel #4 in nuclei,Channel #4 in membranes
1,18980.467,5335.103,4380.993,1488.428,2015.523,3744.189,797.936,1381.658
2,13626.752,5829.169,4739.936,1298.110,1489.522,4367.446,540.152,1589.869
3,12500.264,7588.958,4859.968,734.419,1309.994,5026.299,537.463,1712.674
4,8031.133,8306.790,4801.036,412.642,978.892,5505.166,349.239,1840.325
5,14208.605,8765.608,4765.494,885.946,1517.975,6203.768,589.029,2085.798
6,16310.335,8517.143,4850.759,922.318,1614.584,6201.964,639.487,2080.924
7,18676.154,8365.934,5030.439,847.311,1961.808,5988.237,718.892,2000.846
8,27812.861,8572.460,4951.998,852.199,2743.609,5509.341,982.174,1819.729
9,27052.621,7490.015,4368.125,903.859,2857.049,4508.511,1008.396,1579.687
10,26011.032,5400.430,4090.377,941.105,2702.122,3250.443,967.878,1294.900
11,22643.504,4736.082,3848.573,1096.572,2469.664,3292.276,963.485,1171.771
12,25194.270,6289.238,4129.998,1093.603,2540.584,4422.929,1062.029,1381.057
13,26168.301,6967.472,4103.131,1111.717,2643.041,4890.969,939.711,1581.726
14,26395.952,7270.537,4171.813,1128.700,2998.539,4818.394,1022.413,1596.599
15,24356.107,7046.959,4070.915,1053.911,2857.114,4768.877,1193.938,1589.401
16,25313.335,6709.827,4344.753,1237.155,2949.421,4540.470,1274.120,1516.654
17,31468.374,6974.733,4416.459,1371.715,3500.544,4576.318,1402.282,1524.113
18,25488.264,7462.306,4575.702,1186.088,2863.404,4651.974,1068.483,1559.905
19,30306.634,7606.018,4437.179,1375.358,3242.244,4513.717,993.202,1574.974
20,37016.529,8090.755,4251.637,1708.259,3605.600,4358.303,1222.685,1496.525
21,47081.053,8418.257,4236.711,2110.712,3770.904,4677.202,1279.301,1654.388
22,38543.132,9074.168,4438.328,1986.182,3307.385,5109.858,1130.672,1728.755
23,33695.261,10720.535,4593.568,1694.650,2746.732,5804.826,1156.520,1980.248
24,22864.593,12010.370,5061.495,1309.210,1966.123,6640.750,1053.756,2296.223
25,9737.265,11602.256,5363.607,763.700,990.990,7127.478,561.451,2475.754
26,10829.950,10794.051,5243.788,666.330,948.000,7143.262,417.375,2462.519
27,16920.160,11628.732,5193.718,997.037,1312.124,7223.189,454.019,2475.302
28,18553.498,12333.818,5262.348,1348.534,1846.697,6891.205,684.246,2403.940
29,8806.071,12317.269,5559.534,602.098,783.436,6372.258,396.490,2202.207
30,3298.233,11342.833,5716.565,547.022,363.565,6262.436,277.544,2127.877
31,9400.096,11205.246,5579.549,1056.964,1135.529,6006.472,613.049,2133.521
32,19246.315,12133.804,5562.406,1238.936,2095.453,6021.110,791.808,2139.860
33,17420.617,10799.432,5474.155,785.653,1703.739,5492.265,545.755,1916.850
34,26271.553,9821.683,5158.324,1187.057,2052.895,4824.524,876.926,1768.109
35,28644.533,9289.558,4564.024,1406.342,2325.597,4585.104,1041.214,1609.984
36,32810.697,8802.078,4399.504,1625.277,2628.309,4708.326,1215.531,1527.969
37,34496.642,8542.791,4434.630,1590.984,3180.361,4401.766,1222.797,1470.309
38,30602.016,8058.144,4538.555,1557.982,2919.176,4196.296,1060.099,1525.010
39,35559.628,8005.887,4649.421,2113.182,3428.826,4559.806,1271.252,1644.804
40,30535.489,8806.646,4690.017,1766.826,2656.370,5284.706,1106.613,1850.368
41,24874.993,11350.275,5313.837,2123.356,1968.457,6990.010,1296.805,2272.497
42,18653.872,13065.563,5764.634,1991.238,1797.517,7527.215,861.327,2647.582
43,1602.916,13436.600,6279.579,259.235,263.523,7453.556,116.397,2617.059
44,112.700,14301.604,6548.374,4.038,87.406,7762.236,47.535,2714.480
45,4115.583,14353.854,6070.861,1227.198,433.333,7625.587,358.168,2501.263
46,9760.639,13874.214,5557.735,935.506,895.138,6599.850,382.242,2259.205
47,16215.225,12933.040,5127.690,1412.923,1744.219,5741.390,643.928,2066.075
48,15041.577,12758.332,4981.626,1129.611,1774.281,5721.976,638.253,2020.843
49,21845.363,11958.813,5035.656,1354.635,2386.084,5935.982,945.486,2054.114
50,31715.665,12408.718,5196.078,1641.292,3199.976,6382.170,1158.214,2244.801
51,38227.485,12388.889,5121.138,2118.380,3979.071,6598.938,1435.661,2260.961
