 ,Ctrl+ nuclei,Ctrl- nuclei,Ctrl+ membranes,Ctrl- membranes,Channel #2 in nuclei,Channel #2 in membranes,Channel #4 in nuclei,Channel #4 in membranes
1,27693.718,8835.362,8308.795,2460.781,2843.757,6113.429,1146.712,2168.758
2,37182.379,8274.188,8502.174,3134.740,3430.726,5839.270,1451.989,2167.373
3,25685.346,8592.939,8643.385,2121.840,2800.704,6217.614,1184.134,2191.132
4,27658.701,10007.534,8531.077,2108.722,3146.905,6816.377,1367.414,2404.712
5,17510.123,10694.455,8426.820,1264.325,1933.401,7540.503,802.682,2554.093
6,15425.969,10585.887,8493.320,1306.436,1532.383,7593.225,547.465,2735.186
7,31258.047,10990.630,8395.732,2435.880,3023.957,6932.037,951.488,2696.291
8,41505.990,10480.613,7941.405,3198.273,4811.265,6547.665,1502.553,2579.504
9,34652.696,9998.026,8391.435,2512.816,3886.719,6222.163,1283.722,2509.551
10,36214.965,9315.300,8274.311,2765.587,3848.167,5690.704,1250.381,2370.758
11,37831.513,7957.462,7356.956,3107.781,3610.115,5091.623,1558.908,2097.920
12,26574.005,7799.927,6551.307,2061.165,2707.220,4694.965,1098.298,1946.586
13,30095.322,8292.330,6261.112,2405.656,2951.585,4655.471,1235.046,1765.142
14,33355.738,7963.954,6061.090,2953.084,3537.704,4724.690,1382.566,1700.354
15,29987.572,7149.007,6113.627,2454.875,3297.612,4427.370,1278.060,1531.803
16,35262.428,6986.107,6418.513,2920.100,3700.084,4784.548,1603.519,1621.920
17,42898.596,6527.629,6775.397,3438.346,4165.294,5069.142,1823.703,1765.420
18,50860.162,7190.476,6812.703,4097.840,4598.966,4981.041,2164.389,1883.424
19,36345.621,8032.350,6884.839,2806.207,3637.927,5155.997,1643.286,1856.804
20,40004.463,9427.531,7360.615,2795.517,3639.168,5910.300,1487.950,2084.412
21,41464.823,10989.140,7806.867,3202.421,3657.274,6648.980,1556.251,2410.481
22,27261.549,10835.690,7935.307,2287.111,2753.637,6423.929,1076.822,2423.719
23,22160.927,10091.358,7121.956,2009.708,2398.960,5891.432,853.657,2095.818
24,30042.980,8618.391,6512.752,2627.386,3645.668,4781.061,1214.836,1831.386
25,32724.195,8622.871,6785.207,2967.069,3813.983,5017.199,1509.998,1874.068
26,38457.195,8702.866,7068.103,3136.371,4171.318,5905.771,1671.605,2085.756
27,37407.548,9403.713,7805.593,3149.453,4419.529,6625.057,1693.098,2468.077
28,42545.709,9065.287,7369.130,3872.596,4913.154,6272.870,1981.436,2324.158
29,41506.374,8934.206,7458.079,3748.917,4578.668,5577.513,1779.478,2159.507
30,45249.653,9741.227,7685.942,3849.958,4604.101,5793.840,1847.949,2086.396
31,46930.620,8550.637,6994.759,4111.457,4683.980,5258.657,1809.094,1911.047
32,46572.216,8730.539,7611.952,3994.470,4564.294,5295.395,1736.203,1975.414
33,47555.315,10233.901,7823.760,4160.305,4719.902,5930.429,1744.016,2104.705
34,44977.417,10574.114,7697.070,4090.196,4732.432,6070.202,1708.930,2151.069
35,37311.222,9670.525,7487.373,3461.828,3988.216,5945.468,1538.276,2137.627
36,39379.487,9160.860,7358.029,3709.876,4179.746,5850.197,1502.334,2105.852
37,48684.285,9345.956,7403.189,4563.270,5277.308,5762.600,1816.786,2059.565
38,39329.509,9466.148,7205.765,3380.916,4161.846,5859.902,1473.934,2017.126
39,46520.248,9196.024,6887.941,3642.338,4334.893,5772.387,1674.257,2016.239
40,53812.454,8165.510,6802.686,4249.886,4973.097,5796.166,1860.004,2045.720
41,48401.058,8374.675,6960.128,4032.391,4586.918,6053.282,1724.781,2115.973
42,52283.104,9389.683,6770.148,4035.650,4842.940,5922.139,1852.822,2128.179
43,36562.400,9103.760,6652.067,2923.906,3703.850,5837.834,1320.597,2081.216
44,37174.192,9040.974,6618.639,2899.325,3643.033,5952.311,1507.373,2085.448
45,36159.269,8978.807,7145.015,3102.155,3575.691,6360.217,1532.508,2162.858
46,41936.711,9890.023,7940.338,3474.263,4182.623,6372.912,1648.380,2260.470
