 ,Ctrl+ nuclei,Ctrl- nuclei,Ctrl+ membranes,Ctrl- membranes,Channel #2 in nuclei,Channel #2 in membranes,Channel #4 in nuclei,Channel #4 in membranes
1,39034.716,2865.793,4668.885,1422.419,3745.041,3087.367,1562.103,1144.317
2,33933.889,2746.064,4680.569,1387.398,3113.646,3736.972,1395.971,1335.993
3,31544.770,2978.306,4772.037,1466.161,3285.470,3604.923,1439.329,1386.375
4,36135.049,2232.710,4687.441,1664.355,3687.923,2951.912,1564.214,1120.765
5,39202.929,3016.612,4757.050,1614.269,4181.070,3435.096,1736.565,1315.310
6,38158.974,3589.696,4913.753,1488.357,4005.764,4100.598,1620.676,1529.628
7,34015.123,4241.261,5040.100,1344.205,3496.040,4730.627,1398.320,1621.987
8,23283.781,3376.780,4837.289,877.297,2740.137,4151.438,1000.826,1449.888
9,22099.284,3907.609,4777.598,864.655,2558.542,4495.532,908.139,1636.511
10,29659.456,3756.588,4987.240,1221.436,3183.385,4365.405,1147.107,1589.291
11,37537.416,4060.604,4905.451,1525.647,3617.168,4444.327,1448.511,1661.707
12,34803.943,4449.567,4917.029,1575.513,3717.226,4282.503,1492.131,1617.369
13,36699.659,4213.384,4742.571,1840.769,4471.945,4038.052,1862.173,1578.199
14,41443.015,3593.450,4783.568,1980.356,4956.370,3443.787,2098.494,1342.309
15,43251.455,3278.693,4636.239,1880.769,4957.466,2962.134,1967.193,1241.282
16,39539.812,3360.469,4681.464,1759.612,4389.231,2676.408,1913.205,1098.733
17,33183.083,3723.278,4874.581,1543.909,3893.081,2697.259,1649.126,1124.330
18,30594.434,3719.365,4772.283,1402.588,3685.758,2694.891,1449.108,1126.526
19,32955.731,3841.704,4774.297,1434.502,4044.718,2806.125,1576.416,1155.182
20,30296.540,3634.192,4842.578,1229.303,3519.343,2869.949,1385.771,1215.354
21,30835.412,4692.344,4856.172,1369.671,3559.621,3844.156,1465.706,1560.630
22,32407.742,4987.418,4899.595,1629.475,3527.246,4030.662,1461.082,1592.709
23,41272.168,6007.490,5170.238,1987.176,4589.781,4489.482,1762.369,1788.243
24,38435.855,6257.734,5348.921,1742.797,4475.242,4846.930,1683.884,1732.080
25,33995.423,5252.015,5061.432,1681.687,3613.295,4091.207,1311.011,1556.872
26,37868.004,4735.354,5060.801,1843.958,4067.578,3982.952,1600.964,1617.177
27,42344.834,4852.104,5022.829,1973.185,4444.275,3983.741,1776.868,1580.328
28,46498.892,5706.242,5150.328,2080.313,4246.275,4018.743,1755.492,1559.622
29,58490.882,4710.299,4975.072,2743.424,5246.264,3379.192,2148.009,1320.604
