 ,Ctrl+ nuclei,Ctrl- nuclei,Ctrl+ membranes,Ctrl- membranes,Channel #2 in nuclei,Channel #2 in membranes,Channel #4 in nuclei,Channel #4 in membranes
1,11505.229,3746.857,5097.579,707.003,1633.464,5017.196,551.969,1320.700
2,870.227,3673.853,5140.997,80.656,227.596,5296.370,84.268,1340.276
3,3715.837,4176.054,5095.594,283.683,702.729,5930.591,234.730,1513.424
4,9091.826,4128.860,5074.753,579.574,1583.885,6040.147,526.477,1464.354
5,13857.491,4951.757,4994.398,777.588,2027.152,5882.366,718.000,1468.486
6,22879.915,4595.497,4964.712,1391.936,3376.712,5502.916,1087.524,1389.447
7,24061.949,4588.830,5031.286,1248.249,4200.807,5943.283,1134.828,1477.654
8,25982.373,4751.380,5246.304,1256.818,4380.559,5988.601,1242.050,1420.284
9,21788.275,5236.019,5317.911,1041.663,4006.129,6270.069,1073.502,1568.202
10,16206.112,5200.839,5035.712,826.610,3033.675,6147.310,845.455,1769.702
11,18508.942,4739.316,5117.579,904.204,2918.711,5375.324,855.400,1597.858
12,34950.114,5031.509,5158.874,1383.732,4534.524,6354.277,1303.343,1617.937
13,40987.306,4458.674,5179.915,1529.704,5301.171,5572.865,1390.923,1451.120
14,41062.076,4263.680,5116.915,1467.325,5130.157,5584.510,1373.787,1391.066
15,35307.540,6202.161,5209.694,1261.142,4163.825,7656.557,1175.158,1785.647
16,46200.516,6617.187,5185.775,1859.647,5810.116,8769.753,1489.315,2080.193
17,38224.437,6149.457,5213.674,1569.071,5354.050,8841.290,1502.094,2149.252
18,41706.918,6591.916,5173.227,1529.500,5877.115,9373.779,1562.793,2354.629
19,37754.330,7374.651,5281.498,1333.314,5543.551,8924.293,1455.302,2273.770
20,22302.825,7211.237,5226.019,789.133,3099.784,7048.678,789.506,2077.511
21,25061.987,5625.015,5089.085,827.406,3736.542,4910.029,976.847,1581.450
22,36195.092,4385.389,5099.102,1186.737,5120.350,3943.082,1344.626,1289.338
23,39316.208,4257.082,5146.051,1396.725,5272.507,3874.359,1553.509,1218.678
24,43796.305,4081.565,4993.760,1670.947,5934.621,3800.330,1851.921,1133.195
25,44933.612,4334.789,5021.153,1704.415,6291.391,4278.630,1826.071,1269.072
26,45122.310,5335.136,5145.522,1734.628,6134.325,4956.624,1847.202,1542.168
27,40250.501,6055.554,5319.669,1521.180,5600.419,5768.498,1692.296,1871.793
28,31899.370,7582.849,5283.782,1170.816,4894.087,7064.477,1358.880,2274.808
29,23841.821,8520.192,5243.628,938.368,4095.545,8145.093,1140.202,2575.152
30,26173.759,9525.266,5249.941,898.710,3775.276,8655.960,1283.883,2538.977
31,27591.878,9080.847,5186.774,830.675,3275.524,7884.963,1107.166,2300.512
32,26587.272,7374.911,5233.631,949.901,3204.429,6526.533,1006.469,2026.509
33,30381.511,6573.450,5083.249,1136.150,4110.826,5354.610,1255.063,1593.901
34,30232.585,5775.451,5164.382,1077.420,3731.826,4461.145,1119.858,1363.858
35,34531.288,6116.805,4994.486,1126.909,3981.144,4626.181,1142.009,1424.304
36,44285.376,7156.884,5028.740,1592.913,4721.259,5091.773,1500.932,1647.444
37,41743.030,7549.447,5187.137,1538.795,4401.804,5932.307,1491.377,1768.053
38,41089.721,7329.406,5214.815,1537.018,4877.259,5903.064,1566.448,1723.132
39,45772.404,6069.774,5330.219,1685.124,5302.569,5503.829,1597.314,1678.326
40,33362.450,5936.938,5299.631,1302.453,4314.495,5174.943,1231.037,1467.236
41,32001.402,5542.723,5143.127,1234.504,3963.869,4840.994,1223.992,1415.471
42,34615.503,5787.852,5098.017,1425.779,4459.575,4750.678,1313.843,1433.099
43,43223.516,6347.613,5055.048,1725.004,5405.724,4980.627,1550.829,1474.978
44,51829.150,6296.411,5189.201,1904.252,6044.779,5145.206,1855.760,1561.259
45,45434.346,7034.760,5039.442,1717.968,5195.946,5297.067,1642.786,1627.141
46,48182.477,7068.720,5166.853,1849.385,5627.072,5339.014,1695.687,1653.849
47,38774.982,6560.912,5140.105,1524.992,4465.001,5231.035,1419.769,1564.431
48,40545.406,6679.713,5232.352,1448.748,4685.636,5313.056,1415.090,1596.723
49,45837.422,7275.575,5300.431,1609.012,5131.543,5841.731,1479.017,1720.469
50,43365.645,8271.819,5352.135,1615.171,4921.476,5978.010,1519.397,1811.447
51,31761.255,8916.410,5155.753,1081.266,3455.342,6254.928,1121.761,1880.711
52,33516.813,7606.422,5256.278,1133.950,3082.922,5407.556,979.830,1713.754
53,40143.526,7427.255,5269.167,1541.305,4337.278,5174.788,1380.735,1544.552
54,42853.455,7090.139,5337.373,1791.279,5118.501,4824.316,1741.010,1529.943
55,43792.252,6985.561,5107.847,1661.654,5132.017,4523.048,1768.150,1599.394
56,46243.505,6333.096,5197.361,1834.334,5450.413,4276.076,1844.758,1489.875
57,39488.957,5913.442,5131.959,1563.875,4964.722,4222.434,1651.891,1453.849
58,32717.969,6157.985,5190.910,1329.802,4098.501,4249.303,1339.484,1516.962
59,37849.367,6057.588,5033.684,1497.447,4391.986,4269.990,1444.922,1469.348
60,44317.015,6287.825,5177.728,1567.156,4580.991,4255.161,1464.328,1408.687
61,42784.102,6307.907,5108.909,1498.598,4214.057,4305.799,1498.485,1460.998
62,46473.609,6878.396,5144.890,1666.700,4434.539,5159.321,1582.661,1649.669
63,42002.558,8123.103,5140.812,1440.008,4107.343,5581.499,1474.568,1889.615
64,39046.398,7952.751,5275.384,1259.772,3604.284,5353.886,1311.335,1765.987
65,47774.296,8180.006,5320.523,1585.624,4294.757,5301.451,1649.484,1687.820
66,40634.142,8274.772,5251.485,1504.610,3873.727,4948.770,1596.255,1677.698
67,43093.194,7877.862,5096.152,1708.113,4372.230,4450.064,1757.485,1554.994
68,44571.210,6933.105,5092.711,1671.878,4319.205,3935.559,1724.066,1316.333
69,51714.207,6444.172,4982.664,1909.167,4584.672,3749.959,1724.376,1239.252
70,57434.272,6313.143,5016.136,2127.704,4970.445,4043.559,1875.755,1345.936
71,51373.632,7124.904,5073.956,1780.211,4720.804,4502.721,1821.477,1548.525
72,45207.080,7124.264,5006.521,1712.165,4368.423,4631.861,1607.905,1602.302
73,37561.202,7739.504,5149.888,1450.703,3722.694,4678.830,1267.709,1740.278
74,49058.744,8336.703,4987.119,1869.721,4512.185,5213.253,1748.259,1942.158
75,41087.882,7710.070,5130.728,1488.871,3697.962,4904.645,1442.022,1762.434
76,36676.785,7175.637,5236.944,1205.666,3333.806,4659.347,1234.785,1605.123
77,32058.486,7372.164,5244.336,1099.636,3261.215,4775.547,1120.808,1662.618
78,40082.502,8303.165,5170.985,1467.941,4184.504,5372.993,1476.870,1941.341
79,30491.508,8294.286,5164.575,1064.766,3043.076,5845.484,1110.776,2038.949
80,26945.758,8751.888,5228.962,978.587,2896.368,5914.882,1040.837,2065.531
81,26328.252,7761.182,5269.151,924.075,2620.480,5579.217,974.317,1938.005
82,23226.624,7376.481,5347.016,979.991,2637.587,4892.599,907.017,1891.788
83,30903.659,7323.952,5337.153,1078.588,3305.150,4969.322,1048.767,1853.160
84,47889.686,7311.988,5149.443,1531.064,4562.704,4938.569,1581.260,1869.358
85,48056.608,7224.529,5113.893,1555.999,4733.956,4981.484,1639.781,1939.801
86,43558.154,7545.787,5156.302,1490.294,4203.819,5287.963,1423.051,1956.544
87,36892.527,8161.885,5184.238,1301.980,3414.418,5703.914,1231.380,2102.908
88,39761.809,8418.497,5262.257,1380.791,3448.345,5774.819,1256.992,2155.173
89,33966.862,8213.464,5324.287,1201.224,3109.551,5674.834,1242.001,1991.503
90,27314.084,8024.363,5301.549,1023.121,2968.384,6056.129,1038.914,2052.202
91,28600.665,7391.543,5285.246,1205.940,2910.235,6268.596,1096.425,2010.444
92,13143.646,7682.494,5355.859,515.184,1403.589,5995.021,505.712,2008.783
93,25586.658,8165.176,5274.931,1055.205,2510.592,5880.377,928.618,2006.097
94,27588.021,8510.600,5229.863,1026.455,2813.703,5726.600,1092.099,2028.370
95,26876.059,8653.964,5289.381,1124.189,3288.061,5505.595,1205.212,1982.730
96,30242.676,9049.533,5429.062,1176.432,3660.574,5586.666,1218.450,2112.392
97,39929.611,9211.816,5422.737,1452.429,4396.910,5700.299,1425.900,2107.664
98,42978.249,8241.156,5301.866,1573.540,4360.439,5020.022,1462.425,1795.148
99,38520.226,7976.386,5241.863,1541.503,4128.072,4743.729,1486.975,1722.002
100,41835.397,8355.297,5289.592,1671.738,4481.233,4708.416,1648.106,1693.182
101,35563.161,9010.762,5273.978,1337.524,3905.918,5177.331,1315.742,1938.145
102,36262.783,9573.061,5426.120,1293.086,3906.773,5720.909,1417.884,2191.532
103,26340.272,10252.150,5537.260,963.960,2687.399,6118.343,967.238,2347.969
104,25134.857,10268.063,5519.361,959.956,2289.837,5926.910,850.607,2251.486
105,25709.031,10219.051,5209.051,1021.997,2848.952,5503.364,1022.318,2008.901
106,31882.311,9697.154,5069.186,1111.114,2867.977,5283.059,1049.897,1986.422
107,36466.193,9475.645,4880.968,1260.920,3106.066,5028.533,1064.420,1948.627
108,36201.482,9501.942,4822.104,1395.960,3534.093,4824.561,1148.356,1771.698
109,41111.981,10109.207,4945.910,1565.303,3705.014,5199.447,1312.431,1854.777
110,40166.911,10500.544,4922.471,1475.092,3552.314,5309.900,1289.735,1982.917
111,46953.483,11498.383,5135.731,1618.148,4295.020,5821.945,1574.013,2039.222
112,51504.543,10565.437,5182.668,1889.608,4564.891,5485.067,1713.139,1981.487
113,51413.396,10047.138,5444.148,1983.864,4457.694,5457.782,1647.692,2016.075
114,43909.319,9770.663,5589.099,1610.914,3947.651,5152.547,1444.574,1959.582
115,36777.485,9923.332,5410.706,1422.190,3679.113,5259.576,1291.766,1985.547
116,27224.279,9555.079,5212.890,1048.725,3344.754,5383.091,983.896,2011.512
117,38970.333,10266.322,5280.247,1412.351,3735.874,5487.126,1228.933,2086.176
118,38890.090,10900.421,5260.321,1439.853,3503.391,5922.933,1305.216,2304.243
119,23910.799,10682.500,5240.305,998.642,2614.448,6350.872,916.107,2168.996
120,27609.913,10410.324,5343.190,1033.396,2569.496,6143.480,926.182,2249.454
121,41001.434,9938.233,5243.094,1734.976,3433.326,5811.380,1472.593,2220.939
122,30382.512,9926.732,5549.994,1155.947,2467.637,5612.353,971.428,2129.349
123,25632.812,9879.826,5538.927,964.161,2033.421,5378.670,684.570,2032.891
124,30706.929,9676.553,5445.882,1363.324,2841.775,5231.927,1091.781,1879.526
125,31297.727,8864.859,5409.959,1284.349,2980.052,4789.174,1093.755,1759.838
126,37096.917,8757.332,5298.718,1440.160,3776.532,4722.376,1369.858,1772.829
127,33430.263,8885.955,5210.727,1349.123,3584.750,4893.074,1271.232,1769.180
128,37366.293,9503.877,5169.787,1514.687,3993.594,5203.895,1338.126,1875.361
129,42492.500,10876.042,5127.312,1639.163,4006.872,5350.965,1456.475,1952.732
130,45070.238,10553.952,5051.800,1741.254,3719.971,5228.349,1470.077,1895.781
131,41830.145,10158.041,4957.518,1663.584,3615.714,5219.869,1449.257,1891.038
132,33126.988,10549.611,5298.007,1375.248,3274.008,5645.425,1320.606,2038.255
133,30912.350,10703.773,5221.172,1327.098,2905.427,5783.068,1095.247,2154.332
134,24122.103,10596.409,5213.928,1004.562,2375.858,5853.632,890.178,2235.976
135,23730.171,11308.087,5354.832,949.611,2162.978,6045.048,847.852,2319.629
136,37256.219,11095.505,5359.708,1461.147,2956.072,6070.828,1178.690,2273.750
137,35099.933,10630.879,5041.654,1306.188,2728.753,6040.124,1037.194,2144.584
138,36054.843,11377.976,5231.372,1494.682,3152.636,6356.186,1114.911,2129.694
139,33707.563,11390.004,5192.460,1412.326,3011.131,6200.024,1067.029,2206.640
140,33824.139,11330.934,5159.272,1335.838,2877.091,5896.551,1071.615,2096.882
141,35623.032,10708.898,5169.402,1433.589,3114.416,5323.956,1228.775,1985.431
142,27279.991,10276.726,5129.957,1124.569,2548.310,5186.408,910.150,2015.518
143,26854.024,10155.354,5251.570,934.581,2367.357,5308.248,847.715,2063.880
144,24456.636,10064.979,5215.519,1109.975,2438.553,5302.908,847.998,1974.752
145,29775.064,9680.164,5144.178,1352.323,2755.842,4963.467,1042.474,1793.527
146,37162.857,10330.834,5070.579,1491.370,3378.768,5403.581,1171.658,1970.464
147,37543.923,10715.189,5098.555,1393.131,3216.299,5724.337,1208.640,1977.384
148,32695.352,10111.598,5044.554,1235.553,2805.902,5072.848,1103.018,1739.861
149,30644.336,10479.941,5245.289,1090.255,2826.747,4678.859,941.192,1764.472
150,37765.839,9976.934,5100.457,1335.888,3259.993,4661.065,1038.922,1746.561
151,34481.747,9929.000,5163.550,1097.115,2806.828,4653.931,979.517,1733.788
152,40030.765,10118.447,5382.867,1291.955,3019.206,4902.272,1160.121,1842.256
153,44947.114,9634.076,5437.269,1417.398,3572.976,4786.554,1345.643,1824.256
154,35555.356,9351.744,5390.948,1230.129,3127.085,4986.090,1125.196,1723.409
155,47836.839,9501.064,5213.760,1761.159,4132.755,5006.609,1526.582,1790.886
156,45860.996,9970.163,5067.967,1788.063,3930.226,5264.293,1590.010,1919.855
157,39048.300,10472.162,5048.227,1587.119,3479.583,5674.922,1338.721,2131.196
158,37365.431,10869.202,5047.066,1532.117,3258.550,5882.157,1304.208,2042.769
159,27491.169,10629.800,5029.417,1088.001,2246.023,5587.145,859.864,1875.660
160,37621.998,9959.908,4989.446,1614.927,3258.686,5307.239,1000.183,1782.732
161,39668.430,9305.103,5200.163,1571.963,3648.011,4926.010,1206.201,1738.016
162,38761.658,9212.880,5319.770,1448.846,3482.583,4925.172,1164.688,1769.124
163,46503.774,9087.189,5376.924,1694.543,4074.918,4999.388,1361.815,1788.218
164,51629.015,9434.844,5362.260,1751.634,4179.481,5210.351,1580.767,1867.401
165,33405.321,9521.214,5119.035,1437.703,3002.982,5472.422,1090.138,2010.859
166,33055.975,9591.875,5093.832,1396.837,3335.567,5546.437,1139.435,2020.935
167,35088.007,10113.380,5046.389,1413.034,2819.067,5575.147,1014.722,1938.503
168,39115.055,9524.275,4998.987,1432.486,3042.039,4814.245,1092.378,1759.913
169,41753.999,9272.799,4858.732,1467.629,3212.244,4698.140,1134.397,1642.900
170,43136.414,8851.494,4911.192,1519.143,3219.714,4638.364,1211.827,1628.825
171,30146.361,8940.884,4964.230,1135.152,2371.506,4797.984,834.424,1674.485
172,24607.151,8873.666,5206.281,1010.928,2045.051,4631.999,670.270,1716.047
173,36406.139,9026.120,5126.859,1503.014,3123.704,4822.261,1031.351,1864.827
174,34959.974,9124.010,5166.874,1557.256,3414.557,5015.970,1375.059,1865.594
175,44639.100,8607.624,5173.350,1967.664,3902.083,4971.108,1507.809,1793.929
176,55547.034,7678.225,5071.409,2047.600,4317.359,4463.209,1674.079,1663.100
177,48945.423,7816.568,5100.753,2053.020,3957.008,4249.416,1499.320,1469.178
178,47051.387,7496.899,5015.513,1867.688,3840.680,4111.532,1439.569,1412.179
179,43108.653,7588.551,5089.447,1603.421,3812.497,4120.393,1386.922,1462.478
180,42802.684,7795.742,4989.219,1551.640,3705.935,4487.597,1305.435,1434.113
181,50540.889,8143.727,4992.150,1773.131,4170.095,4737.667,1350.100,1518.655
182,50766.586,8945.193,4946.384,1825.341,4291.692,5051.509,1391.450,1701.370
183,45493.665,9714.776,5297.038,1700.935,3869.375,5368.164,1349.381,1892.502
184,30310.225,10651.005,5211.523,1163.782,2293.796,5987.755,796.292,2018.206
185,22115.957,10323.128,5225.933,902.819,1881.967,5902.119,575.230,1989.401
186,31151.361,9707.339,5169.393,1039.217,2589.736,5615.430,816.634,1929.312
187,32408.626,9645.821,5085.613,1078.964,2732.456,5827.253,929.335,1955.846
188,31186.313,10043.918,5149.612,1194.896,3198.064,5600.552,1086.647,1821.732
189,28512.061,10564.703,5104.802,1105.075,2711.728,5977.428,814.077,1901.618
