Distance_(µm),Gray_Value
138.106,436.116
138.453,436.482
138.800,436.875
139.147,437.240
139.494,437.644
139.841,438.040
140.188,438.442
140.535,438.832
140.882,439.245
141.229,439.677
141.576,440.102
141.923,440.525
142.270,440.976
142.617,441.400
142.964,441.837
143.311,442.285
143.658,442.718
144.005,443.180
144.352,443.629
144.699,444.084
145.046,444.543
145.393,444.996
145.740,445.477
146.087,445.942
146.434,446.389
146.781,446.866
147.128,447.326
147.475,447.766
147.822,448.248
148.169,448.688
148.516,449.149
148.863,449.599
149.210,450.061
149.557,450.489
149.904,450.919
150.251,451.349
150.598,451.793
150.945,452.227
151.292,452.609
151.639,453.036
151.986,453.448
152.333,453.844
152.680,454.227
153.027,454.600
153.374,454.963
153.721,455.321
154.068,455.681
154.415,456.029
154.762,456.364
155.109,456.663
155.456,456.965
155.803,457.272
156.150,457.516
156.497,457.768
156.844,457.979
157.191,458.186
157.538,458.362
157.885,458.522
158.232,458.639
158.579,458.746
158.926,458.898
159.273,458.954
159.620,459.002
159.967,459.059
160.314,459.064
160.661,459.091
161.008,459.064
161.355,459.039
161.702,459.004
162.049,458.952
162.396,458.897
162.743,458.836
163.090,458.762
163.437,458.707
163.784,458.621
164.131,458.574
164.478,458.491
164.825,458.429
165.172,458.390
165.519,458.350
165.866,458.327
166.213,458.321
166.560,458.280
166.907,458.309
167.254,458.309
167.601,458.319
167.948,458.377
168.295,458.431
168.642,458.490
168.989,458.551
169.336,458.624
169.683,458.728
170.030,458.802
170.377,458.912
170.724,459.004
171.071,459.118
171.418,459.233
171.765,459.325
172.112,459.441
172.459,459.568
172.806,459.657
173.153,459.766
173.500,459.866
173.847,459.953
174.194,460.027
174.541,460.105
174.888,460.180
175.235,460.273
175.582,460.317
175.929,460.330
176.276,460.378
176.623,460.416
176.970,460.421
177.317,460.401
177.664,460.361
178.011,460.319
178.358,460.283
178.705,460.240
179.052,460.173
179.399,460.074
179.746,459.958
180.093,459.859
180.440,459.724
180.787,459.620
181.134,459.473
181.481,459.312
181.828,459.157
182.175,458.952
182.522,458.798
182.869,458.592
183.216,458.433
183.563,458.230
183.910,458.019
184.257,457.820
184.604,457.614
184.951,457.398
185.298,457.190
185.645,456.977
185.992,456.776
186.339,456.558
186.686,456.377
187.033,456.153
187.380,455.943
187.727,455.747
188.074,455.558
188.421,455.334
188.768,455.145
189.115,454.961
189.462,454.749
189.809,454.562
190.156,454.348
190.503,454.188
190.850,453.966
191.197,453.759
191.544,453.544
191.891,453.339
192.238,453.130
192.585,452.932
192.932,452.719
193.279,452.477
193.626,452.278
193.973,452.046
194.320,451.812
194.667,451.561
195.014,451.314
195.361,451.064
195.708,450.832
196.055,450.565
196.402,450.301
196.749,450.028
197.096,449.757
197.443,449.500
197.790,449.244
198.137,448.954
198.484,448.679
198.831,448.400
199.178,448.103
199.525,447.826
199.872,447.552
200.219,447.271
200.566,446.993
200.913,446.709
201.260,446.435
201.607,446.150
201.954,445.873
202.301,445.585
202.648,445.311
202.995,445.052
203.342,444.758
203.689,444.486
204.036,444.207
204.383,443.919
204.730,443.635
205.077,443.357
205.424,443.080
205.771,442.796
206.118,442.507
206.465,442.228
206.812,441.918
207.159,441.632
207.506,441.334
207.853,441.041
208.200,440.723
208.547,440.385
208.894,440.041
209.241,439.705
209.588,439.365
209.935,439.026
210.282,438.651
210.629,438.278
210.976,437.890
211.323,437.474
211.670,437.048
212.017,436.620
212.364,436.164
212.711,435.704
213.058,435.237
213.405,434.702
213.752,434.197
214.099,433.685
214.446,433.118
214.793,432.547
215.140,431.966
215.487,431.357
215.834,430.739
216.181,430.093
216.528,429.450
216.875,428.768
217.222,428.097
217.569,427.409
217.916,426.683
218.263,425.960
218.610,425.220
218.957,424.494
219.304,423.725
219.651,422.982
219.998,422.216
220.345,421.460
220.692,420.688
221.039,419.929
221.386,419.186
221.733,418.420
222.080,417.633
222.427,416.887
222.774,416.141
223.121,415.414
223.468,414.686
223.815,413.966
224.162,413.266
224.509,412.552
224.856,411.881
225.203,411.245
225.550,410.569
225.897,409.923
226.244,409.302
226.591,408.686
226.938,408.100
227.285,407.519
227.632,406.930
227.979,406.363
228.326,405.843
228.673,405.304
229.020,404.789
229.367,404.315
229.714,403.818
