Distance_(µm),Gray_Value
123.532,1242.906
123.879,1243.172
124.226,1243.500
124.573,1243.864
124.920,1244.310
125.267,1244.797
125.614,1245.375
125.961,1245.996
126.308,1246.655
126.655,1247.433
127.002,1248.249
127.349,1249.128
127.696,1250.095
128.043,1251.104
128.390,1252.154
128.737,1253.265
129.084,1254.457
129.431,1255.679
129.778,1256.933
130.125,1258.226
130.472,1259.581
130.819,1260.968
131.166,1262.365
131.513,1263.804
131.860,1265.275
132.207,1266.782
132.554,1268.269
132.901,1269.790
133.248,1271.351
133.595,1272.906
133.942,1274.429
134.289,1276.027
134.636,1277.589
134.983,1279.181
135.330,1280.761
135.677,1282.376
136.024,1283.965
136.371,1285.565
136.718,1287.186
137.065,1288.802
137.412,1290.415
137.759,1292.035
138.106,1293.681
138.453,1295.320
138.800,1296.995
139.147,1298.651
139.494,1300.345
139.841,1302.053
140.188,1303.757
140.535,1305.525
140.882,1307.301
141.229,1309.127
141.576,1310.973
141.923,1312.850
142.270,1314.785
142.617,1316.766
142.964,1318.822
143.311,1320.901
143.658,1323.027
144.005,1325.213
144.352,1327.451
144.699,1329.753
145.046,1332.106
145.393,1334.526
145.740,1336.985
146.087,1339.476
146.434,1342.026
146.781,1344.608
147.128,1347.210
147.475,1349.837
147.822,1352.483
148.169,1355.126
148.516,1357.760
148.863,1360.370
149.210,1362.997
149.557,1365.568
149.904,1368.099
150.251,1370.600
150.598,1373.050
150.945,1375.414
151.292,1377.755
151.639,1380.000
151.986,1382.207
152.333,1384.291
152.680,1386.359
153.027,1388.348
153.374,1390.259
153.721,1392.091
154.068,1393.879
154.415,1395.624
154.762,1397.282
155.109,1398.892
155.456,1400.480
155.803,1402.030
156.150,1403.567
156.497,1405.054
156.844,1406.560
157.191,1408.046
157.538,1409.544
157.885,1411.038
158.232,1412.570
158.579,1414.108
158.926,1415.696
159.273,1417.303
159.620,1418.958
159.967,1420.644
160.314,1422.412
160.661,1424.193
161.008,1426.055
161.355,1427.973
161.702,1429.890
162.049,1431.964
162.396,1434.019
162.743,1436.160
163.090,1438.386
163.437,1440.569
163.784,1442.894
164.131,1445.161
164.478,1447.559
164.825,1449.965
165.172,1452.373
165.519,1454.830
165.866,1457.308
166.213,1459.733
166.560,1462.204
166.907,1464.625
167.254,1467.058
167.601,1469.460
167.948,1471.810
168.295,1474.121
168.642,1476.382
168.989,1478.587
169.336,1480.724
169.683,1482.793
170.030,1484.743
170.377,1486.666
170.724,1488.492
171.071,1490.190
171.418,1491.852
171.765,1493.358
172.112,1494.824
172.459,1496.156
172.806,1497.443
173.153,1498.614
173.500,1499.684
173.847,1500.691
174.194,1501.590
174.541,1502.461
174.888,1503.244
175.235,1503.993
175.582,1504.652
175.929,1505.309
176.276,1505.879
176.623,1506.412
176.970,1506.972
177.317,1507.489
177.664,1507.984
178.011,1508.522
178.358,1509.026
178.705,1509.537
179.052,1510.106
179.399,1510.646
179.746,1511.233
180.093,1511.838
180.440,1512.490
180.787,1513.140
181.134,1513.845
181.481,1514.572
181.828,1515.303
182.175,1516.106
182.522,1516.896
182.869,1517.694
183.216,1518.567
183.563,1519.425
183.910,1520.276
184.257,1521.158
184.604,1522.028
184.951,1522.887
185.298,1523.773
185.645,1524.638
185.992,1525.498
186.339,1526.326
186.686,1527.186
187.033,1528.009
187.380,1528.843
187.727,1529.673
188.074,1530.480
188.421,1531.317
188.768,1532.156
189.115,1533.043
189.462,1533.918
189.809,1534.842
190.156,1535.811
190.503,1536.812
190.850,1537.856
191.197,1538.992
191.544,1540.189
191.891,1541.478
192.238,1542.849
192.585,1544.289
192.932,1545.878
193.279,1547.520
193.626,1549.256
193.973,1551.123
194.320,1553.109
194.667,1555.157
195.014,1557.331
195.361,1559.589
195.708,1561.939
196.055,1564.371
196.402,1566.870
196.749,1569.437
197.096,1572.047
197.443,1574.729
197.790,1577.418
198.137,1580.155
198.484,1582.907
198.831,1585.647
199.178,1588.406
199.525,1591.126
199.872,1593.847
200.219,1596.541
200.566,1599.222
200.913,1601.801
201.260,1604.409
201.607,1606.929
201.954,1609.460
202.301,1611.946
202.648,1614.371
202.995,1616.774
203.342,1619.126
203.689,1621.461
204.036,1623.792
204.383,1626.097
204.730,1628.356
205.077,1630.635
205.424,1632.897
205.771,1635.165
206.118,1637.433
206.465,1639.724
206.812,1642.001
207.159,1644.314
207.506,1646.601
207.853,1648.942
208.200,1651.272
208.547,1653.653
208.894,1656.034
209.241,1658.421
209.588,1660.845
209.935,1663.212
210.282,1665.664
210.629,1668.074
210.976,1670.515
211.323,1672.923
211.670,1675.357
212.017,1677.780
212.364,1680.148
212.711,1682.557
213.058,1684.939
213.405,1687.285
213.752,1689.603
214.099,1691.935
214.446,1694.215
214.793,1696.485
215.140,1698.726
215.487,1700.945
215.834,1703.123
216.181,1705.319
216.528,1707.489
216.875,1709.667
217.222,1711.814
217.569,1713.947
217.916,1716.133
218.263,1718.263
218.610,1720.464
218.957,1722.651
219.304,1724.866
219.651,1727.123
219.998,1729.436
220.345,1731.784
220.692,1734.154
221.039,1736.585
221.386,1739.099
221.733,1741.669
222.080,1744.302
222.427,1747.015
222.774,1749.756
223.121,1752.605
223.468,1755.516
223.815,1758.505
224.162,1761.575
224.509,1764.696
224.856,1767.889
225.203,1771.140
225.550,1774.409
225.897,1777.797
226.244,1781.212
226.591,1784.663
226.938,1788.162
227.285,1791.693
227.632,1795.287
227.979,1798.877
228.326,1802.522
228.673,1806.153
229.020,1809.829
229.367,1813.519
229.714,1817.219
230.061,1820.931
230.408,1824.668
230.755,1828.394
231.102,1832.132
231.449,1835.891
231.796,1839.658
232.143,1843.426
232.490,1847.210
232.837,1850.993
233.184,1854.772
233.531,1858.549
