Distance_(µm),Gray_Value
122.491,28318.635
122.838,28373.688
123.185,28429.488
123.532,28483.127
123.879,28538.768
124.226,28591.898
124.573,28645.344
124.920,28696.518
125.267,28745.988
125.614,28796.174
125.961,28844.727
126.308,28888.670
126.655,28934.266
127.002,28976.023
127.349,29017.277
127.696,29056.330
128.043,29093.590
128.390,29129.215
128.737,29163.305
129.084,29196.344
129.431,29227.566
129.778,29257.715
130.125,29286.609
130.472,29314.471
130.819,29341.727
131.166,29368.146
131.513,29394.121
131.860,29419.652
132.207,29444.902
132.554,29470.129
132.901,29495.344
133.248,29520.533
133.595,29545.988
133.942,29572.148
134.289,29598.150
134.636,29625.098
134.983,29652.473
135.330,29680.465
135.677,29709.141
136.024,29738.516
136.371,29768.586
136.718,29799.314
137.065,29830.848
137.412,29863.227
137.759,29896.039
138.106,29929.527
138.453,29963.623
138.800,29998.252
139.147,30033.117
139.494,30068.537
139.841,30103.924
140.188,30139.377
140.535,30175.037
140.882,30210.279
141.229,30245.201
141.576,30279.621
141.923,30313.172
142.270,30346.203
142.617,30378.045
142.964,30408.600
143.311,30438.193
143.658,30465.598
144.005,30491.773
144.352,30515.961
144.699,30538.090
145.046,30558.096
145.393,30576.045
145.740,30591.445
146.087,30604.605
146.434,30615.129
146.781,30623.158
147.128,30628.637
147.475,30631.480
147.822,30631.789
148.169,30629.285
148.516,30624.471
148.863,30617.535
149.210,30607.338
149.557,30595.674
149.904,30580.711
150.251,30563.910
150.598,30545.789
150.945,30523.482
151.292,30502.967
151.639,30476.258
151.986,30451.951
152.333,30423.109
152.680,30394.951
153.027,30364.215
153.374,30332.824
153.721,30299.951
154.068,30267.197
154.415,30233.516
154.762,30198.809
155.109,30163.479
155.456,30128.453
155.803,30093.584
156.150,30058.066
156.497,30023.807
156.844,29989.008
157.191,29955.252
157.538,29921.736
157.885,29890.471
158.232,29858.662
158.579,29828.609
158.926,29799.820
159.273,29772.592
159.620,29746.422
159.967,29722.105
160.314,29698.613
160.661,29677.955
161.008,29658.025
161.355,29639.947
161.702,29624.537
162.049,29609.254
162.396,29596.811
162.743,29585.697
163.090,29575.861
163.437,29568.006
163.784,29561.285
164.131,29556.047
164.478,29552.076
164.825,29549.277
165.172,29547.504
165.519,29546.793
165.866,29547.023
166.213,29547.721
166.560,29549.383
166.907,29551.230
167.254,29554.047
167.601,29556.900
167.948,29559.984
168.295,29563.275
168.642,29566.643
168.989,29569.875
169.336,29573.406
169.683,29577.092
170.030,29579.846
170.377,29583.014
170.724,29586.234
171.071,29588.281
171.418,29591.949
171.765,29592.400
172.112,29594.971
172.459,29595.564
172.806,29596.832
173.153,29597.289
173.500,29596.305
173.847,29596.449
174.194,29592.887
174.541,29592.051
174.888,29587.281
175.235,29585.361
175.582,29576.893
175.929,29571.535
176.276,29562.691
176.623,29551.457
176.970,29541.236
177.317,29527.279
177.664,29510.629
178.011,29494.988
178.358,29474.121
178.705,29451.107
179.052,29427.742
179.399,29400.312
179.746,29371.500
180.093,29339.961
180.440,29305.816
180.787,29269.402
181.134,29231.004
181.481,29190.627
