,bin_center,tail,Phase,intensity_norm,dnorm,normalized intensity,Distance_(microns),Gray_Value,Gray_Value_smooth
0,0.0245,1,1,0.6860311705909643,0.024848803706680977,0.5099938988197878,17.910813333333333,1069.9601466666666,1069.8112902283133
1,0.0245,2,2,0.6485166333958373,0.02487553163748396,0.5268632296773166,17.03711267605634,1106.9240704225351,1105.1979892687234
2,0.0245,3,2,0.5890570603181242,0.024999929929553973,0.3869709490904632,19.65821686746988,812.9140120481927,811.7467508638374
3,0.0245,4,1,0.5086782688863677,0.02483651647301068,0.32908820474162287,18.34766233766234,690.8995974025974,690.3264484698475
4,0.0245,5,1,0.8155638595430534,0.02484462815311502,0.4835404912237503,17.473972602739725,1014.4768356164383,1014.32012812472
5,0.0245,6,2,0.6105532495740426,0.024719217908063515,0.6103537471811014,17.025940298507464,1281.0077014925373,1280.3355712265723
6,0.0245,7,1,0.6206472306961703,0.024741412392383873,0.5426908727329519,16.381838235294115,1138.735294117647,1138.3995457536287
7,0.0245,8,2,0.1966711325247274,0.02498487765383002,0.22877846600919854,19.876642857142855,480.3557619047619,479.90728215405596
8,0.0245,9,1,0.5559237664460467,0.024774696795185916,0.4721250746720654,18.566089743589743,990.831564102564,990.3740739897332
9,0.0245,10,3,0.6109003685975762,0.0248898379225482,0.42551576582188816,20.0169875,893.49195,892.6019928863125
10,0.0245,11,3,0.6195686955444366,0.02481471754626674,0.3888355426777092,16.381838235294115,815.952411764706,815.6580981876765
11,0.0245,12,1,0.6664448663578858,0.024840218979050515,0.5814829215897974,17.03711267605634,1221.4635774647888,1219.7734051942614
12,0.0245,13,1,0.7077062129371013,0.024969099664440816,0.7762258444379704,19.439792682926832,1630.0868902439024,1628.2845227530531
13,0.0245,14,2,0.5859873439301092,0.024832125159791517,0.4753382973767298,17.910813333333333,997.98072,997.1144329144635
14,0.0245,15,2,0.8658530413386732,0.02471474631999498,0.8472559818716449,18.784518987341773,1775.4230253164556,1777.2840365685413
15,0.07500000000000001,1,1,0.8899019075580101,0.07488242927324328,0.602500969844427,50.45614864864865,1264.8021756756757,1263.862845035407
16,0.07500000000000001,2,2,0.8360865029476243,0.07498219781832823,0.6048872632420877,47.835057142857146,1267.6218285714288,1268.8685590734033
17,0.07500000000000001,3,2,0.7465019941620099,0.07530483171113755,0.4490552823799957,55.698341463414636,941.8614878048779,941.9807023937342
18,0.07500000000000001,4,1,0.7813555614424085,0.07516334751290912,0.4270417347282392,51.98512987012987,896.078883116883,895.8030091500943
19,0.07500000000000001,5,1,0.8891221409572859,0.07487918645598729,0.5069295190784646,49.14559722222222,1063.9090833333332,1063.383158338106
20,0.07500000000000001,6,2,0.7743724492924304,0.07490648533620273,0.7211279946096546,47.85671641791045,1512.9122238805971,1512.7060776970566
21,0.07500000000000001,7,1,0.7725777197869557,0.0749630273420815,0.6094432890776592,46.08764705882353,1279.9782205882352,1278.4257084603778
22,0.07500000000000001,8,2,0.38097942224992126,0.07525581929861098,0.3133244299118706,56.35361445783133,657.1507710843374,657.2588679977817
23,0.07500000000000001,9,1,0.8180261616570034,0.07496779584194216,0.6462440896802062,52.640397435897434,1355.0825,1355.62253780511
24,0.07500000000000001,10,3,0.7190061357856222,0.07498435482346519,0.47606824500651507,56.59975949367089,998.5618607594937,998.645639890521
25,0.07500000000000001,11,3,0.7534831923146474,0.07481475859335031,0.43992506888105315,45.86922388059701,921.9907462686567,922.8283056572877
26,0.07500000000000001,12,1,0.8526658892315697,0.07487575503838147,0.6668091189882097,47.835057142857146,1399.1203285714284,1398.7616823879994
27,0.07500000000000001,13,1,0.7757873467422328,0.07521573263069452,0.8283473704547737,55.04306172839507,1738.285851851852,1737.6195503401348
28,0.07500000000000001,14,2,0.7510549133483821,0.07516773827841784,0.5386906144568446,50.674573333333335,1129.8120133333332,1130.0082268035153
