,frame,x_x,y_x,object_RSPO,object_TopFLASH,x_y,y_y,background_RSPO,background_TopFLASH,RSPO_corrected,TopFLASH_corrected,channel_1_name,channel_2_name,filename,position,condition,time
27,28,1178,692,237.79210910621023,1942.4605826588447,2020,2056,149.9173782827158,140.70909135912478,87.87473082349445,1801.7514912997203,RSPO,TopFLASH,Position 10_RSPO_TOPFLASH_max_background_corrected.csv,10,IWR,7.0
28,29,1063,568,248.8817851043291,2031.3169228484444,2025,2056,149.84376624340982,141.47026063711294,99.0380188609193,1889.8466622113317,RSPO,TopFLASH,Position 10_RSPO_TOPFLASH_max_background_corrected.csv,10,IWR,7.25
29,30,1123,564,243.7597831736838,1986.6059750996264,1926,401,138.5661493527388,125.57958961411846,105.19363382094502,1861.026385485508,RSPO,TopFLASH,Position 10_RSPO_TOPFLASH_max_background_corrected.csv,10,IWR,7.5
30,31,1123,594,237.3971931387837,1845.9917081260364,1939,436,139.06428058711418,126.14863493477884,98.33291255166952,1719.8430731912576,RSPO,TopFLASH,Position 10_RSPO_TOPFLASH_max_background_corrected.csv,10,IWR,7.75
31,32,1110,487,240.68995816935225,1951.4899136159995,1948,474,139.56600084156332,126.90299745055816,101.12395732778891,1824.5869161654412,RSPO,TopFLASH,Position 10_RSPO_TOPFLASH_max_background_corrected.csv,10,IWR,8.0
32,33,1101,534,237.59998514888247,1789.3964010791813,1948,483,139.56045642434594,126.92656122373208,98.03952872453652,1662.4698398554492,RSPO,TopFLASH,Position 10_RSPO_TOPFLASH_max_background_corrected.csv,10,IWR,8.25
33,34,1097,534,233.7256998589144,1665.7487190911115,1978,547,140.07291898715377,127.66114700131185,93.65278087176064,1538.0875720897998,RSPO,TopFLASH,Position 10_RSPO_TOPFLASH_max_background_corrected.csv,10,IWR,8.5
34,35,1140,534,224.64146927056265,1638.081285116705,1978,547,139.72961065320166,127.59463874656568,84.91185861736096,1510.4866463701394,RSPO,TopFLASH,Position 10_RSPO_TOPFLASH_max_background_corrected.csv,10,IWR,8.75
35,36,1084,465,234.1899210415584,1669.3447439419815,1973,547,140.1912081384124,127.70735872874434,93.99871290314596,1541.6373852132374,RSPO,TopFLASH,Position 10_RSPO_TOPFLASH_max_background_corrected.csv,10,IWR,9.0
36,37,1084,512,225.2956857503527,1504.7343630108169,1973,547,140.0794287270117,127.74844682062326,85.216257023341,1376.9859161901934,RSPO,TopFLASH,Position 10_RSPO_TOPFLASH_max_background_corrected.csv,10,IWR,9.25
37,38,1097,512,219.95797133734317,1418.935942179649,1973,547,139.6971114576372,127.48862651914555,80.26085987970595,1291.4473156605034,RSPO,TopFLASH,Position 10_RSPO_TOPFLASH_max_background_corrected.csv,10,IWR,9.5
38,39,1140,457,218.20415336254047,1569.0387861686593,1978,547,139.91616544144946,127.4930323506844,78.28798792109106,1441.5457538179749,RSPO,TopFLASH,Position 10_RSPO_TOPFLASH_max_background_corrected.csv,10,IWR,9.75
39,40,1114,465,216.4782307368629,1422.925274126878,1978,538,139.9437142644984,127.3762283111804,76.53451647236454,1295.5490458156976,RSPO,TopFLASH,Position 10_RSPO_TOPFLASH_max_background_corrected.csv,10,IWR,10.0
40,41,1131,470,209.38546075592188,1373.912031880399,1978,538,139.88648795821885,127.39555951585356,69.49897279770303,1246.5164723645453,RSPO,TopFLASH,Position 10_RSPO_TOPFLASH_max_background_corrected.csv,10,IWR,10.25
41,42,1114,444,210.6303061805401,1324.820548996312,1978,538,139.8421326204797,127.30249251256156,70.78817356006039,1197.5180564837506,RSPO,TopFLASH,Position 10_RSPO_TOPFLASH_max_background_corrected.csv,10,IWR,10.5
42,43,1114,427,209.62538055988716,1361.0319051508627,1978,538,139.95153585307295,127.72206133511548,69.67384470681418,1233.3098438157472,RSPO,TopFLASH,Position 10_RSPO_TOPFLASH_max_background_corrected.csv,10,IWR,10.75
43,44,1153,367,209.3327145367689,1478.576866909235,1978,538,139.41266305289474,127.2382119254474,69.92005148387415,1351.3386549837876,RSPO,TopFLASH,Position 10_RSPO_TOPFLASH_max_background_corrected.csv,10,IWR,11.0
44,45,1110,359,209.7925793915992,1342.6806267171603,1973,534,139.04027128041386,127.03029627979504,70.75230811118536,1215.6503304373657,RSPO,TopFLASH,Position 10_RSPO_TOPFLASH_max_background_corrected.csv,10,IWR,11.25
45,46,1106,397,203.49021063835053,1166.4185044924632,1969,525,138.41023737036213,126.98787158733694,65.07997326798841,1039.4306329051262,RSPO,TopFLASH,Position 10_RSPO_TOPFLASH_max_background_corrected.csv,10,IWR,11.5
46,47,1110,359,202.63312789287397,1122.4016484740478,1973,525,138.58562906858742,127.63629613128388,64.04749882428652,994.765352342764,RSPO,TopFLASH,Position 10_RSPO_TOPFLASH_max_background_corrected.csv,10,IWR,11.75
47,48,1101,346,200.91817034231823,1036.6065691443282,1978,525,138.62426672607114,126.97901042053417,62.29390361624712,909.627558723794,RSPO,TopFLASH,Position 10_RSPO_TOPFLASH_max_background_corrected.csv,10,IWR,12.0
48,49,1106,337,198.13346204301877,1026.5161258384694,1982,517,138.61592534838246,127.0458652013564,59.51753669463628,899.470260637113,RSPO,TopFLASH,Position 10_RSPO_TOPFLASH_max_background_corrected.csv,10,IWR,12.25
49,50,1106,354,195.4428355733769,983.2896957996088,1986,508,138.0797752530878,126.80243063290511,57.36306032028909,856.4872651667038,RSPO,TopFLASH,Position 10_RSPO_TOPFLASH_max_background_corrected.csv,10,IWR,12.5
50,51,1106,350,193.0907403282097,949.2964778099551,1986,508,137.78188658696567,126.69060171777926,55.30885374124404,822.6058760921759,RSPO,TopFLASH,Position 10_RSPO_TOPFLASH_max_background_corrected.csv,10,IWR,12.75
51,52,1106,346,191.19561396995124,911.7548823048936,1990,508,137.82005395906043,126.44753842726664,53.37556001089081,785.3073438776269,RSPO,TopFLASH,Position 10_RSPO_TOPFLASH_max_background_corrected.csv,10,IWR,13.0
52,53,1106,354,189.750278458454,899.6640182173709,1990,508,137.25719660404445,126.3765748372565,52.49308185440955,773.2874433801144,RSPO,TopFLASH,Position 10_RSPO_TOPFLASH_max_background_corrected.csv,10,IWR,13.25
53,54,1106,354,187.82663795450608,905.6313952624936,1990,517,137.5886240439593,126.59998514888244,50.23801391054678,779.0314101136111,RSPO,TopFLASH,Position 10_RSPO_TOPFLASH_max_background_corrected.csv,10,IWR,13.5
54,55,1110,341,187.39281205910743,881.8520086136482,1982,521,137.73074923888024,126.56008514640726,49.66206282022722,755.291923467241,RSPO,TopFLASH,Position 10_RSPO_TOPFLASH_max_background_corrected.csv,10,IWR,13.75
55,56,1110,307,186.45382540036135,843.7533971931388,1986,508,137.48600282171233,126.52053167000815,48.96782257864905,717.2328655231306,RSPO,TopFLASH,Position 10_RSPO_TOPFLASH_max_background_corrected.csv,10,IWR,14.0
56,57,1110,290,184.83287542387563,815.5405806786961,1986,508,137.53684314744686,126.71795252592756,47.296032276428775,688.8226281527685,RSPO,TopFLASH,Position 10_RSPO_TOPFLASH_max_background_corrected.csv,10,IWR,14.25
57,58,1084,243,184.9029231949704,744.7693373926388,2007,444,136.81668770574987,125.77426301329174,48.08623548922054,618.9950743793471,RSPO,TopFLASH,Position 10_RSPO_TOPFLASH_max_background_corrected.csv,10,IWR,14.5
58,59,1097,226,183.5906784485533,752.2083364273161,1978,487,137.0559392094255,126.31226949827976,46.53473923912776,625.8960669290364,RSPO,TopFLASH,Position 10_RSPO_TOPFLASH_max_background_corrected.csv,10,IWR,14.75
59,60,1097,222,180.28071087349323,706.4949877478281,1973,500,136.96049602732606,126.34513997178288,43.320214846167175,580.1498477760452,RSPO,TopFLASH,Position 10_RSPO_TOPFLASH_max_background_corrected.csv,10,IWR,15.0
60,61,1097,222,177.2019999504963,658.3777381747976,1973,500,136.68651766045394,126.8976262963788,40.51548229004234,531.4801118784188,RSPO,TopFLASH,Position 10_RSPO_TOPFLASH_max_background_corrected.csv,10,IWR,15.25
61,62,1097,222,175.0605925595901,634.3772183856835,1969,500,136.51874953590257,126.33207098834188,38.541843023687534,508.0451473973416,RSPO,TopFLASH,Position 10_RSPO_TOPFLASH_max_background_corrected.csv,10,IWR,15.5
62,63,1123,213,173.13564020692556,689.525878072325,1973,512,136.96259993564516,126.09930447266156,36.1730402712804,563.4265735996635,RSPO,TopFLASH,Position 10_RSPO_TOPFLASH_max_background_corrected.csv,10,IWR,15.75
63,64,1131,196,172.12479889111657,656.9480458404495,1939,483,136.64463750897255,126.0107423083587,35.48016138214402,530.9373035320908,RSPO,TopFLASH,Position 10_RSPO_TOPFLASH_max_background_corrected.csv,10,IWR,16.0
64,65,1127,243,170.55931783866737,681.3415757035717,1960,440,135.93017499566844,125.3701641048489,34.62914284299893,555.9714115987229,RSPO,TopFLASH,Position 10_RSPO_TOPFLASH_max_background_corrected.csv,10,IWR,16.25
65,66,1123,218,170.0662607361204,636.0516818890621,1978,440,135.99992574441228,125.33863023192497,34.06633499170812,510.7130516571372,RSPO,TopFLASH,Position 10_RSPO_TOPFLASH_max_background_corrected.csv,10,IWR,16.5
66,67,1123,218,168.62503403381103,613.2337318383209,1978,440,135.90742803395955,125.24583549912133,32.717605999851486,487.9878963391996,RSPO,TopFLASH,Position 10_RSPO_TOPFLASH_max_background_corrected.csv,10,IWR,16.75
67,68,1123,213,168.74743199425757,608.858815375857,1978,440,135.61070270537857,125.08185440954432,33.136729288879,483.7769609663127,RSPO,TopFLASH,Position 10_RSPO_TOPFLASH_max_background_corrected.csv,10,IWR,17.0
68,69,1127,209,166.50152223954854,590.2692507611198,1978,440,135.88945818172817,125.05923120714834,30.61206405782036,465.21001955397145,RSPO,TopFLASH,Position 10_RSPO_TOPFLASH_max_background_corrected.csv,10,IWR,17.25
69,70,1153,196,168.84151382391525,621.3473428875523,1978,440,135.7457488676023,125.16603549417094,33.09576495631296,496.1813073933813,RSPO,TopFLASH,Position 10_RSPO_TOPFLASH_max_background_corrected.csv,10,IWR,17.5
70,71,1170,179,168.5828568599787,635.8220836117918,1978,440,136.47048340387613,125.2193510061632,32.112373456102574,510.60273260562855,RSPO,TopFLASH,Position 10_RSPO_TOPFLASH_max_background_corrected.csv,10,IWR,17.75
71,72,1170,179,169.30041335610505,630.9567584960769,1978,440,136.13247196851563,125.2566025593426,33.16794138758942,505.7001559367343,RSPO,TopFLASH,Position 10_RSPO_TOPFLASH_max_background_corrected.csv,10,IWR,18.0
72,73,1170,179,169.72441276206035,622.919185168684,1978,440,136.99519813865993,125.31514071433875,32.72921462340042,497.6040444543452,RSPO,TopFLASH,Position 10_RSPO_TOPFLASH_max_background_corrected.csv,10,IWR,18.25
73,74,1170,179,170.4296675824856,618.3274423900399,1978,440,137.10673003143486,124.88938392614044,33.32293755105073,493.4380584638994,RSPO,TopFLASH,Position 10_RSPO_TOPFLASH_max_background_corrected.csv,10,IWR,18.5
74,75,1165,179,170.91688324546422,586.1211851191803,1978,440,137.62340041088092,125.1872230885374,33.2934828345833,460.9339620306429,RSPO,TopFLASH,Position 10_RSPO_TOPFLASH_max_background_corrected.csv,10,IWR,18.75
75,76,1140,179,167.73416499591593,536.9977228286428,1978,440,138.47323086062227,125.0735625355808,29.260934135293667,411.9241602930621,RSPO,TopFLASH,Position 10_RSPO_TOPFLASH_max_background_corrected.csv,10,IWR,19.0
76,1,947,1256,329.6711467537932,3914.8498799534655,1952,2043,149.08871067547832,137.51478923789014,180.58243607831488,3777.335090715576,RSPO,TopFLASH,Position 11_RSPO_TOPFLASH_max_background_corrected.csv,11,IWR,0.25
77,2,947,1256,324.9182198460434,3737.015519417836,1978,2043,149.51545753817976,138.19425261750948,175.40276230786367,3598.8212668003266,RSPO,TopFLASH,Position 11_RSPO_TOPFLASH_max_background_corrected.csv,11,IWR,0.5
78,3,930,1252,317.0914333803619,3723.7701789559674,1969,2021,149.44234053612536,137.83683572188806,167.64909284423652,3585.933343234078,RSPO,TopFLASH,Position 11_RSPO_TOPFLASH_max_background_corrected.csv,11,IWR,0.75
79,4,913,1252,308.878394099156,3597.7984703348925,1965,2030,149.13658077770353,137.74168956213956,159.74181332145244,3460.056780772753,RSPO,TopFLASH,Position 11_RSPO_TOPFLASH_max_background_corrected.csv,11,IWR,1.0
80,5,913,1252,304.2654637261454,3511.8127274077374,1986,2103,149.3213039281206,138.49607682978143,154.94415979802483,3373.316650577956,RSPO,TopFLASH,Position 11_RSPO_TOPFLASH_max_background_corrected.csv,11,IWR,1.25
81,6,896,1261,295.7066409247296,3534.828568599787,1990,2030,149.22697457983713,138.25474616964925,146.47966634489245,3396.5738224301376,RSPO,TopFLASH,Position 11_RSPO_TOPFLASH_max_background_corrected.csv,11,IWR,1.5
82,7,883,1269,291.55310512116034,3444.242493997673,1892,2013,146.6941164822653,135.04994925868172,144.85898863889506,3309.1925447389917,RSPO,TopFLASH,Position 11_RSPO_TOPFLASH_max_background_corrected.csv,11,IWR,1.75
83,8,875,1269,291.6029058686666,3521.205366203807,1888,2021,146.42899928219595,135.16601074230834,145.17390658647062,3386.0393554614984,RSPO,TopFLASH,Position 11_RSPO_TOPFLASH_max_background_corrected.csv,11,IWR,2.0
84,9,875,1269,290.5555803074181,3450.263161802926,1888,2026,146.3528625529071,134.73701146011237,144.20271775451104,3315.5261503428137,RSPO,TopFLASH,Position 11_RSPO_TOPFLASH_max_background_corrected.csv,11,IWR,2.25
85,10,870,1269,290.9243335561001,3388.709685403827,1888,2026,146.62035593178388,134.9717333729363,144.30397762431625,3253.7379520308905,RSPO,TopFLASH,Position 11_RSPO_TOPFLASH_max_background_corrected.csv,11,IWR,2.5
86,11,870,1269,293.48620083661297,3351.6801069280464,1888,2026,146.58107472587312,134.78158956461473,146.90512611073984,3216.8985173634314,RSPO,TopFLASH,Position 11_RSPO_TOPFLASH_max_background_corrected.csv,11,IWR,2.75
87,12,870,1269,295.1736590678449,3243.6698349050766,1888,2026,146.81894012524444,134.89180960867304,148.35471894260044,3108.7780252964035,RSPO,TopFLASH,Position 11_RSPO_TOPFLASH_max_background_corrected.csv,11,IWR,3.0
88,13,892,1273,297.97024826118167,3142.3359570307666,1888,2026,146.8565134526373,134.7473824905324,151.11373480854436,3007.5885745402343,RSPO,TopFLASH,Position 11_RSPO_TOPFLASH_max_background_corrected.csv,11,IWR,3.25
89,14,836,1295,295.9441350461622,3362.168188906215,1888,2026,146.81126704784535,135.0084156332764,149.13286799831687,3227.1597732729388,RSPO,TopFLASH,Position 11_RSPO_TOPFLASH_max_background_corrected.csv,11,IWR,3.5
90,15,841,1290,298.34197173337293,3266.597782233113,1888,2026,146.47686938442118,134.79302492512562,151.86510234895175,3131.804757307987,RSPO,TopFLASH,Position 11_RSPO_TOPFLASH_max_background_corrected.csv,11,IWR,3.75
91,16,841,1290,298.6086978045098,3132.853246206777,1888,2026,146.53164525630552,135.22229647780995,152.07705254820428,2997.630949728967,RSPO,TopFLASH,Position 11_RSPO_TOPFLASH_max_background_corrected.csv,11,IWR,4.0
92,17,845,1286,299.1434370436376,3142.188757704017,1888,2021,147.14427860696517,134.8930719536645,151.9991584366724,3007.2956857503523,RSPO,TopFLASH,Position 11_RSPO_TOPFLASH_max_background_corrected.csv,11,IWR,4.25
93,18,845,1286,298.27526546372616,3075.3864755822874,1888,1987,146.2630132917502,134.17385708274549,152.01225217197594,2941.212618499542,RSPO,TopFLASH,Position 11_RSPO_TOPFLASH_max_background_corrected.csv,11,IWR,4.5
94,19,845,1286,298.2493007598822,3005.0821266800326,1888,1983,146.13856092670974,134.18454988737903,152.11073983317246,2870.8975767926536,RSPO,TopFLASH,Position 11_RSPO_TOPFLASH_max_background_corrected.csv,11,IWR,4.75
95,20,815,1312,298.53872428900274,3274.7411697730254,1875,1974,145.51820499492587,133.34791218039155,153.02051929407688,3141.3932575926337,RSPO,TopFLASH,Position 11_RSPO_TOPFLASH_max_background_corrected.csv,11,IWR,5.0
96,21,815,1312,298.38538650033416,3163.7262196480283,1875,1974,145.35640206925572,133.28897799559417,153.02898443107844,3030.4372416524343,RSPO,TopFLASH,Position 11_RSPO_TOPFLASH_max_background_corrected.csv,11,IWR,5.25
97,22,823,1312,299.55753570456176,3117.634811019529,1875,1974,145.33971931387836,133.40944531075962,154.2178163906834,2984.225365708769,RSPO,TopFLASH,Position 11_RSPO_TOPFLASH_max_background_corrected.csv,11,IWR,5.5
98,23,823,1316,297.4567461201456,3025.67235959506,1875,1974,145.33561050469046,133.42192024949878,152.1211356154551,2892.2504393455606,RSPO,TopFLASH,Position 11_RSPO_TOPFLASH_max_background_corrected.csv,11,IWR,5.75
99,24,823,1316,292.61515804064254,3007.570951214079,1875,1974,145.1409371055172,133.3429123041509,147.47422093512537,2874.228038909928,RSPO,TopFLASH,Position 11_RSPO_TOPFLASH_max_background_corrected.csv,11,IWR,6.0
100,25,823,1316,291.56518403009824,2922.090195787233,1875,1974,144.60555431796243,132.94200638598053,146.9596297121358,2789.148189401252,RSPO,TopFLASH,Position 11_RSPO_TOPFLASH_max_background_corrected.csv,11,IWR,6.25
101,26,823,1316,289.221355907032,2794.4751367540407,1875,1974,144.18373307591395,132.76703546941908,145.03762283111803,2661.708101284621,RSPO,TopFLASH,Position 11_RSPO_TOPFLASH_max_background_corrected.csv,11,IWR,6.5
102,27,823,1316,288.2698695576842,2677.473428875523,1875,1974,144.19784163758322,132.87166159253485,144.072027920101,2544.601767282988,RSPO,TopFLASH,Position 11_RSPO_TOPFLASH_max_background_corrected.csv,11,IWR,6.75
103,28,823,1316,286.05868666617164,2554.017821341056,1952,2021,145.97571842281133,136.2818494591718,140.0829682433603,2417.735971881884,RSPO,TopFLASH,Position 11_RSPO_TOPFLASH_max_background_corrected.csv,11,IWR,7.0
104,29,823,1333,286.7120863344967,2618.291923467241,1978,1987,146.07173089775006,136.51921982129156,140.64035543674663,2481.772703645949,RSPO,TopFLASH,Position 11_RSPO_TOPFLASH_max_background_corrected.csv,11,IWR,7.25
105,30,764,1333,282.877453528378,2741.140318308953,1973,1979,145.5915200118809,136.0203707829014,137.2859335164971,2605.1199475260514,RSPO,TopFLASH,Position 11_RSPO_TOPFLASH_max_background_corrected.csv,11,IWR,7.5
106,31,772,1286,277.9018588648796,2394.157347590406,1956,1970,145.40211875943666,135.40679686146382,132.4997401054429,2258.7505507289425,RSPO,TopFLASH,Position 11_RSPO_TOPFLASH_max_background_corrected.csv,11,IWR,7.75
107,32,746,1325,275.76206034504094,2587.0588846810724,1913,1957,144.2083859310413,133.65822628152767,131.55367441399963,2453.4006583995447,RSPO,TopFLASH,Position 11_RSPO_TOPFLASH_max_background_corrected.csv,11,IWR,8.0
108,33,755,1350,276.0633400163362,2450.2709833915,1879,1944,144.4118214895671,133.39815846142423,131.6515185267691,2316.872824930076,RSPO,TopFLASH,Position 11_RSPO_TOPFLASH_max_background_corrected.csv,11,IWR,8.25
109,34,742,1350,275.1364817702532,2488.1428677507984,1871,1944,142.8773545209277,131.95636246627558,132.25912724932553,2356.186505284523,RSPO,TopFLASH,Position 11_RSPO_TOPFLASH_max_background_corrected.csv,11,IWR,8.5
110,35,738,1355,273.72428900274747,2412.454394693201,1866,1944,142.9735155070419,131.74433801143536,130.75077349570557,2280.7100566817653,RSPO,TopFLASH,Position 11_RSPO_TOPFLASH_max_background_corrected.csv,11,IWR,8.75
111,36,699,1320,266.3819459914358,2347.0952204153364,1960,2000,145.19628227024083,136.02472711071508,121.185663721195,2211.0704933046213,RSPO,TopFLASH,Position 11_RSPO_TOPFLASH_max_background_corrected.csv,11,IWR,9.0
112,37,768,1346,272.19447538427266,2126.595232791268,1935,1915,144.28749288383952,133.54882304893442,127.90698250043314,1993.0464097423328,RSPO,TopFLASH,Position 11_RSPO_TOPFLASH_max_background_corrected.csv,11,IWR,9.25
113,38,734,1350,270.31590802207864,2168.2442266280536,1913,1949,143.94465483527637,133.28425038984184,126.37125318680228,2034.959976238212,RSPO,TopFLASH,Position 11_RSPO_TOPFLASH_max_background_corrected.csv,11,IWR,9.5
114,39,708,1350,268.62812801663324,2089.0540580678694,1913,1876,143.03707829014132,132.03004876116927,125.59104972649192,1957.0240093067,RSPO,TopFLASH,Position 11_RSPO_TOPFLASH_max_background_corrected.csv,11,IWR,9.75
115,40,717,1350,269.1506398356476,1977.442068265637,1909,1876,142.9921536595629,131.9429717086211,126.15848617608472,1845.499096557016,RSPO,TopFLASH,Position 11_RSPO_TOPFLASH_max_background_corrected.csv,11,IWR,10.0
116,41,717,1350,264.74401623722184,1800.721368282963,1943,1949,144.28481968268113,134.60337615405558,120.45919655454072,1666.1179921289076,RSPO,TopFLASH,Position 11_RSPO_TOPFLASH_max_background_corrected.csv,11,IWR,10.25
117,42,717,1333,261.8232221974704,1745.4174649142349,1990,1966,144.89336897601544,136.18229746788447,116.92985322145496,1609.2351674463505,RSPO,TopFLASH,Position 11_RSPO_TOPFLASH_max_background_corrected.csv,11,IWR,10.5
118,43,746,1359,262.23113289275017,1698.4792455632287,1948,1962,144.41041063340018,134.98230241825698,117.82072225935,1563.4969431449715,RSPO,TopFLASH,Position 11_RSPO_TOPFLASH_max_background_corrected.csv,11,IWR,10.75
