Distance_(microns),Gray_Value
0.000,5615.309
0.951,5618.469
1.901,5496.712
2.852,5291.298
3.802,4817.817
4.753,4585.881
5.703,4554.062
6.654,4464.083
7.604,4391.434
8.555,4663.499
9.505,4922.571
10.456,5175.546
11.406,5550.775
12.357,5650.242
13.307,5698.725
14.258,5434.343
15.209,5192.586
16.159,4934.419
17.110,4921.938
18.060,5158.925
19.011,5332.958
19.961,5215.808
20.912,5078.005
21.862,4991.566
22.813,4725.611
23.763,4771.775
24.714,4774.325
25.664,4735.095
26.615,4820.807
27.565,4964.610
28.516,5376.165
29.467,5973.735
30.417,6475.192
31.368,7008.390
32.318,6652.468
33.269,6019.162
34.219,5575.171
35.170,5176.689
36.120,4807.848
37.071,4513.042
38.021,4584.437
38.972,4746.572
39.922,4876.637
40.873,5088.340
41.823,5318.828
42.774,5500.341
43.724,5550.511
44.675,5367.975
45.626,4910.996
46.576,4655.871
47.527,4441.399
48.477,4508.257
49.428,4707.698
50.378,4968.868
51.329,5057.578
52.279,5255.116
53.230,5373.869
54.180,5398.385
55.131,5308.955
56.081,5257.645
57.032,5205.279
57.982,4885.970
58.933,4709.603
59.884,4366.454
60.834,4044.271
61.785,3861.671
62.735,3918.744
63.686,3979.757
64.636,4083.602
65.587,4126.029
66.537,4271.820
67.488,4394.952
68.438,4468.925
69.389,4362.333
70.339,4135.420
71.290,4078.955
72.240,4149.512
73.191,4323.034
74.142,4446.522
75.092,4569.139
76.043,4637.190
76.993,4642.028
77.944,4757.336
78.894,4836.213
79.845,4879.444
80.795,5103.175
81.746,5208.946
82.696,5199.556
83.647,4934.364
84.597,4507.349
85.548,4380.581
86.498,4184.380
87.449,3966.012
88.400,4146.631
89.350,4178.388
90.301,4056.202
91.251,4023.732
92.202,4327.137
93.152,4512.287
94.103,4695.745
95.053,4568.918
96.004,4459.026
96.954,4334.627
97.905,4223.929
98.855,4000.989
99.806,4021.716
100.756,4265.542
101.707,4230.581
102.658,4091.105
103.608,4179.243
104.559,4224.193
105.509,4198.188
106.460,4109.281
107.410,3855.838
108.361,3773.970
109.311,3759.749
110.262,3777.975
111.212,3669.271
112.163,3802.999
113.113,4133.869
114.064,4132.740
115.014,4104.593
115.965,4199.679
116.915,4181.710
117.866,3995.453
118.817,3711.539
119.767,3991.904
120.718,4044.426
121.668,4021.708
122.619,4306.779
123.569,4284.034
124.520,4478.552
125.470,4609.059
126.421,4680.109
127.371,4262.231
128.322,3908.155
129.272,3642.510
130.223,3313.731
131.173,3179.206
132.124,3110.776
133.075,3001.641
134.025,3146.433
134.976,3414.243
135.926,3410.173
136.877,3489.918
137.827,3484.315
138.778,3335.159
139.728,3365.660
140.679,3218.671
141.629,3090.949
142.580,2937.156
143.530,2901.599
144.481,2846.872
145.431,2776.796
146.382,2821.677
147.333,3107.102
148.283,3164.108
149.234,3243.550
150.184,3317.773
151.135,3424.475
152.085,3625.047
153.036,3666.254
153.986,3491.236
154.937,3387.083
155.887,3176.267
156.838,3154.429
157.788,3144.490
158.739,3055.001
159.689,3088.317
160.640,3138.933
161.590,2982.969
162.541,2958.487
163.492,3137.243
164.442,3337.905
165.393,3567.613
166.343,3430.360
167.294,3185.671
168.244,3022.984
169.195,2989.461
170.145,2751.876
171.096,2760.067
172.046,2740.398
172.997,2706.629
173.947,2854.926
174.898,3110.590
175.848,3064.112
176.799,3039.352
177.750,2998.972
178.700,2832.147
179.651,2653.274
180.601,2673.667
181.552,2981.601
182.502,3164.483
183.453,3100.545
184.403,3235.261
185.354,2931.771
186.304,2881.576
187.255,2971.233
188.205,2808.692
189.156,2794.313
