Distance_(microns),Gray_Value
0.000,5381.315
0.951,5506.588
1.901,5679.947
2.852,5775.777
3.802,5489.979
4.753,5289.971
5.703,5193.907
6.654,5326.388
7.604,5521.114
8.555,5611.498
9.505,5799.481
10.456,6106.753
11.406,6305.087
12.357,6263.720
13.307,6007.029
14.258,5699.232
15.209,5517.105
16.159,5275.868
17.110,5391.170
18.060,5519.625
19.011,5685.949
19.961,5797.914
20.912,5895.662
21.862,5903.377
22.813,5938.491
23.763,5850.839
24.714,5522.945
25.664,5356.276
26.615,5248.610
27.565,5253.875
28.516,5286.159
29.467,5353.853
30.417,5406.829
31.368,5541.938
32.318,5552.911
33.269,5490.948
34.219,5389.161
35.170,5331.926
36.120,5252.983
37.071,5087.502
38.021,5041.271
38.972,5154.954
39.922,4992.887
40.873,4988.671
41.823,4834.854
42.774,4686.010
43.724,4490.195
44.675,4380.262
45.626,4350.949
46.576,4385.359
47.527,4337.543
48.477,4399.991
49.428,4636.838
50.378,4750.882
51.329,5082.709
52.279,5064.207
53.230,4901.948
54.180,4723.159
55.131,4788.875
56.081,4695.260
57.032,4625.978
57.982,4572.106
58.933,4605.211
59.884,4785.597
60.834,4879.220
61.785,4795.337
62.735,4620.227
63.686,4376.563
64.636,4210.894
65.587,4140.955
66.537,4118.562
67.488,4264.455
68.438,4345.544
69.389,4458.900
70.339,4329.590
71.290,4400.311
72.240,4423.633
73.191,4525.676
74.142,4506.823
75.092,4559.766
76.043,4616.706
76.993,4451.167
77.944,4308.092
78.894,4058.301
79.845,3969.667
80.795,3942.306
81.746,3974.416
82.696,4141.922
83.647,4251.011
84.597,4224.469
85.548,4319.332
86.498,4312.556
87.449,4245.938
88.400,4186.785
89.350,4220.179
90.301,4049.849
91.251,4110.657
92.202,4142.822
93.152,4188.804
94.103,4263.990
95.053,4185.434
96.004,4075.273
96.954,3950.523
97.905,3952.465
98.855,3787.079
99.806,3575.933
100.756,3384.784
101.707,3391.728
102.658,3373.594
103.608,3580.762
104.559,3860.911
105.509,3833.458
106.460,3773.708
107.410,3597.113
108.361,3719.245
109.311,3727.546
110.262,3688.603
111.212,3584.578
112.163,3470.555
113.113,3312.541
114.064,3307.783
115.014,3224.101
115.965,3263.602
116.915,3427.010
117.866,3654.478
118.817,3599.017
119.767,3476.309
120.718,3476.155
121.668,3441.469
122.619,3341.821
123.569,3337.926
124.520,3429.218
125.470,3421.150
126.421,3435.552
127.371,3351.481
128.322,3372.963
129.272,3251.639
130.223,3180.861
131.173,3218.208
132.124,3405.430
133.075,3629.645
134.025,3768.938
134.976,3716.731
135.926,3632.166
136.877,3618.145
137.827,3487.645
138.778,3365.355
139.728,3316.384
140.679,3391.878
141.629,3379.748
142.580,3398.491
143.530,3329.554
144.481,3299.727
145.431,3295.636
146.382,3360.713
147.333,3326.457
148.283,3355.848
149.234,3351.416
150.184,3347.505
151.135,3224.925
152.085,3099.878
153.036,3035.500
153.986,3009.089
154.937,2970.717
155.887,2926.950
156.838,3020.000
157.788,3043.907
158.739,3097.416
159.689,3098.074
160.640,3233.366
161.590,3173.853
162.541,2993.369
163.492,2855.158
164.442,2839.750
165.393,2804.783
166.343,2724.993
167.294,2738.009
168.244,2727.221
169.195,2694.313
170.145,2666.127
171.096,2591.291
172.046,2567.457
172.997,2632.418
173.947,2752.942
174.898,2892.319
175.848,2947.218
176.799,2970.046
177.750,2858.698
178.700,2807.829
179.651,2712.377
180.601,2651.084
181.552,2675.664
182.502,2690.565
183.453,2709.625
184.403,2794.260
185.354,2732.189
186.304,2577.922
187.255,2541.952
188.205,2472.482
189.156,2410.432
190.106,2538.657
191.057,2532.200
192.008,2588.769
192.958,2718.156
193.909,2814.891
194.859,2714.083
195.810,2708.650
196.760,2659.976
197.711,2703.150
198.661,2823.392
199.612,2889.739
200.562,2824.680
201.513,2749.293
202.463,2610.995
203.414,2510.654
204.364,2376.893
205.315,2308.082
206.266,2296.143
207.216,2398.768
208.167,2495.371
209.117,2642.695
210.068,2821.165
211.018,2894.192
211.969,2813.934
212.919,2753.520
213.870,2674.595
214.820,2637.947
215.771,2661.254
216.721,2671.480
217.672,2673.749
218.622,2691.361
219.573,2611.415
220.524,2623.543
