Distance_(microns),Gray_Value
0.000,1808.168
0.951,2014.431
1.901,2208.578
2.852,2275.578
3.802,2336.325
4.753,2367.090
5.703,2373.440
6.654,2324.609
7.604,2224.299
8.555,2105.369
9.505,1991.503
10.456,1916.130
11.406,1940.107
12.357,2001.073
13.307,2082.156
14.258,2205.115
15.209,2113.670
16.159,1856.339
17.110,1764.169
18.060,1792.353
19.011,1775.578
19.961,1737.205
20.912,1731.825
21.862,1699.075
22.813,1649.591
23.763,1734.735
24.714,1844.987
25.664,1908.507
26.615,1913.682
27.565,1939.035
28.516,1952.818
29.467,1923.418
30.417,1893.191
31.368,1939.813
32.318,2000.054
33.269,2024.287
34.219,1994.134
35.170,1961.078
36.120,1936.914
37.071,1961.610
38.021,1960.270
38.972,1981.572
39.922,2022.197
40.873,2038.584
41.823,2144.679
42.774,2251.351
43.724,2344.183
44.675,2345.354
45.626,2336.444
46.576,2274.049
47.527,2189.062
48.477,2169.959
49.428,2183.220
50.378,2187.011
51.329,2244.985
52.279,2330.284
53.230,2501.647
54.180,2576.412
55.131,2446.056
56.081,2356.469
57.032,2359.904
57.982,2345.357
58.933,2254.371
59.884,2187.996
60.834,2103.103
61.785,2091.849
62.735,2086.926
63.686,2163.798
64.636,2257.196
65.587,2415.307
66.537,2635.773
67.488,2621.403
68.438,2513.681
69.389,2449.071
70.339,2393.499
71.290,2355.478
72.240,2277.991
73.191,2292.783
74.142,2312.301
75.092,2275.000
76.043,2133.507
76.993,2042.955
77.944,1946.553
78.894,1888.503
79.845,1844.016
80.795,1789.963
81.746,1789.024
82.696,1660.512
83.647,1634.987
84.597,1589.023
85.548,1624.103
86.498,1658.733
87.449,1772.171
88.400,1897.062
89.350,2040.654
90.301,2115.327
91.251,2152.221
92.202,2156.223
93.152,2132.559
94.103,2041.742
95.053,2047.741
96.004,2168.655
96.954,2308.169
97.905,2366.358
98.855,2459.783
99.806,2568.528
100.756,2615.666
101.707,2721.292
102.658,2743.208
103.608,2706.595
104.559,2575.451
105.509,2524.430
106.460,2512.948
107.410,2490.150
108.361,2471.432
109.311,2428.466
110.262,2400.984
111.212,2379.347
112.163,2401.101
113.113,2474.682
114.064,2450.733
115.014,2432.167
115.965,2343.438
116.915,2309.919
117.866,2380.885
118.817,2527.286
119.767,2549.120
120.718,2465.005
121.668,2325.585
122.619,2313.756
123.569,2335.663
124.520,2372.264
125.470,2335.838
126.421,2243.062
127.371,2143.470
128.322,2169.583
129.272,2179.086
130.223,2154.517
131.173,2143.823
132.124,2228.105
133.075,2251.967
134.025,2350.517
134.976,2552.586
135.926,2678.193
136.877,2627.986
137.827,2457.785
138.778,2404.000
139.728,2341.567
140.679,2260.906
141.629,2211.849
142.580,2199.819
143.530,2093.072
144.481,2020.742
145.431,1974.343
146.382,1945.179
147.333,1966.286
148.283,1991.946
149.234,2034.301
150.184,2151.333
151.135,2138.688
152.085,2062.838
153.036,1963.484
153.986,1898.790
154.937,1869.252
155.887,1917.942
156.838,1968.417
157.788,2005.193
158.739,1982.703
159.689,1925.534
160.640,1920.197
161.590,1963.316
162.541,1993.073
163.492,2019.619
164.442,2038.527
165.393,2014.896
166.343,1882.838
167.294,1746.943
168.244,1716.775
169.195,1729.402
170.145,1774.346
171.096,1878.743
172.046,1994.318
172.997,2090.179
173.947,2148.280
174.898,2261.811
175.848,2443.384
176.799,2670.205
177.750,2483.994
178.700,2258.508
179.651,2074.013
180.601,1981.154
181.552,1905.783
182.502,1868.287
183.453,1771.536
184.403,1724.914
185.354,1718.221
186.304,1707.344
187.255,1682.894
188.205,1760.324
189.156,1848.572
190.106,1928.997
191.057,2026.447
192.008,2087.543
192.958,2122.310
193.909,2105.900
194.859,2055.512
195.810,2069.392
196.760,2076.463
197.711,2052.936
198.661,2099.517
199.612,2290.767
200.562,2847.839
201.513,3129.465
202.463,2682.085
203.414,2136.444
204.364,1916.681
205.315,1897.822
206.266,1978.569
207.216,1996.318
208.167,1907.389
209.117,1833.496
210.068,1783.649
211.018,1666.169
211.969,1636.345
212.919,1754.769
213.870,1888.787
214.820,1994.976
215.771,2096.880
216.721,2118.867
217.672,2018.444
218.622,1912.062
219.573,1797.706
220.524,1786.732
221.474,1761.077
222.425,1803.955
223.375,1849.135
224.326,2124.393
225.276,2587.261
226.227,2616.591
227.177,2207.449
228.128,1955.343
229.078,1898.205
230.029,1923.920
230.979,1953.210
231.930,1929.796
232.880,1862.620
233.831,1799.194
234.781,1790.109
235.732,1853.855
236.683,1843.928
237.633,1891.466
238.584,1961.698
239.534,1990.095
240.485,1900.869
241.435,1751.955
242.386,1717.278
243.336,1768.970
244.287,1859.334
245.237,1905.657
246.188,1965.580
247.138,1999.515
248.089,2016.489
249.039,2015.571
249.990,1998.216
250.941,1955.567
251.891,1872.314
252.842,1846.699
253.792,1878.492
254.743,1863.258
255.693,1846.527
256.644,1838.447
257.594,1875.337
258.545,1954.804
259.495,2039.724
260.446,2233.338
261.396,2425.143
262.347,2563.038
263.297,2598.485
264.248,2552.872
265.199,2401.451
266.149,2045.160
267.100,1900.301
268.050,1867.333
269.001,1844.859
269.951,1844.858
270.902,1818.115
271.852,1802.170
272.803,1852.685
273.753,1960.463
274.704,2026.569
275.654,2036.131
276.605,2023.780
277.555,1975.637
278.506,1955.467
279.457,1973.548
280.407,2015.845
281.358,2026.229
282.308,2073.865
283.259,2289.178
284.209,2209.600
285.160,1950.466
286.110,1839.640
287.061,1797.807
288.011,1818.297
288.962,1862.302
289.912,1968.666
290.863,2083.481
291.813,2098.984
292.764,2046.486
293.715,1994.806
294.665,2053.119
295.616,2093.081
296.566,2138.113
297.517,2171.798
298.467,2195.484
299.418,2219.210
300.368,2269.266
301.319,2302.331
302.269,2309.321
303.220,2294.262
304.170,2227.584
305.121,2176.127
306.071,2111.450
307.022,2041.086
307.973,2062.855
308.923,2138.553
309.874,2146.814
310.824,2134.104
311.775,2048.573
312.725,2000.650
313.676,1936.578
314.626,1932.061
315.577,1914.595
316.527,1918.245
317.478,1954.695
318.428,1932.138
319.379,1860.984
320.329,1819.663
321.280,1868.224
322.230,1990.251
323.181,2139.302
324.132,2330.797
325.082,2355.562
326.033,2151.041
326.983,2029.037
327.934,2045.797
328.884,2042.444
329.835,2026.030
330.785,1937.986
331.736,1899.599
332.686,1848.955
333.637,1822.117
334.587,1804.828
335.538,1825.527
336.488,1861.905
337.439,1938.526
338.390,1981.133
339.340,1983.336
340.291,1953.367
341.241,1968.414
342.192,2007.121
343.142,2065.121
344.093,2093.313
345.043,2013.126
345.994,1910.732
346.944,1886.879
347.895,1928.279
348.845,1966.819
349.796,1947.384
350.746,1987.925
351.697,2006.509
352.648,2029.397
353.598,2102.792
354.549,2289.322
355.499,2400.733
356.450,2276.819
357.400,2221.748
358.351,2145.556
359.301,2056.341
360.252,2004.405
361.202,1967.954
362.153,1938.647
363.103,1935.092
364.054,1866.460
365.004,1875.017
365.955,2022.539
366.906,2239.479
367.856,2480.957
368.807,2368.108
369.757,2416.738
370.708,2466.928
371.658,2283.880
372.609,2211.172
373.559,2108.790
374.510,2078.469
375.460,2197.709
376.411,2333.990
377.361,2227.680
378.312,2082.558
379.262,2044.742
380.213,1986.852
381.163,1957.365
382.114,1880.993
383.065,1831.665
384.015,1837.497
384.966,1854.062
385.916,1853.853
386.867,1829.412
387.817,1787.736
388.768,1713.968
389.718,1674.621
390.669,1689.118
391.619,1723.615
392.570,1766.938
393.520,1747.938
394.471,1720.793
395.421,1711.889
396.372,1684.026
397.323,1658.835
398.273,1648.028
399.224,1600.581
400.174,1571.723
401.125,1596.276
402.075,1638.763
403.026,1682.614
403.976,1696.292
404.927,1706.546
405.877,1765.541
406.828,1911.180
407.778,2058.199
408.729,2109.157
409.679,2018.868
410.630,1944.372
411.581,1934.321
412.531,1968.032
413.482,1917.186
414.432,1864.870
415.383,1865.461
416.333,1867.141
417.284,1908.110
418.234,1989.804
419.185,2135.673
420.135,2135.074
421.086,2159.661
422.036,2130.702
422.987,2096.317
423.937,2010.613
424.888,1932.949
425.839,1892.042
426.789,2019.896
427.740,2028.976
428.690,1959.891
429.641,1879.719
430.591,1820.077
431.542,1820.891
432.492,1785.620
433.443,1749.597
434.393,1732.299
435.344,1787.064
436.294,1890.386
437.245,2200.583
438.195,2505.416
439.146,2681.217
440.096,2526.943
441.047,2421.504
441.998,2432.881
442.948,2505.365
443.899,2426.540
444.849,2235.630
445.800,2146.095
446.750,2087.992
447.701,2038.075
448.651,2005.700
449.602,1944.857
450.552,1993.752
451.503,2335.735
452.453,2907.621
453.404,2785.520
454.354,2494.421
455.305,2309.384
456.256,2358.321
457.206,2500.015
458.157,3048.527
459.107,3604.001
460.058,3782.797
461.008,3081.848
461.959,2560.125
462.909,2326.664
463.860,2360.619
464.810,2481.061
465.761,2519.159
466.711,2648.860
467.662,2671.941
468.612,2327.927
469.563,2096.750
470.514,2037.596
471.464,2241.709
472.415,2736.547
473.365,3016.624
474.316,2511.167
475.266,2336.561
476.217,2352.928
477.167,2508.523
478.118,2615.908
479.068,2616.593
480.019,2479.622
480.969,2357.203
481.920,2314.824
482.870,2296.400
483.821,2401.037
484.772,2502.186
485.722,2508.457
486.673,2371.908
487.623,2283.448
488.574,2287.520
489.524,2358.534
490.475,2358.495
491.425,2349.755
492.376,2290.231
493.326,2305.601
494.277,2310.793
495.227,2370.095
496.178,2426.255
497.128,2493.383
498.079,2635.498
499.030,2873.445
499.980,3323.524
500.931,4122.087
501.881,3744.878
502.832,2725.270
503.782,2340.579
504.733,2320.329
505.683,2359.049
506.634,2374.042
507.584,2431.402
508.535,2503.167
509.485,2687.654
510.436,2693.526
511.386,2766.650
512.337,2668.584
513.287,2604.333
514.238,2642.755
515.189,2542.476
516.139,2431.259
517.090,2432.747
518.040,2475.175
518.991,2501.329
519.941,2505.451
520.892,2519.945
521.842,2474.042
522.793,2370.622
523.743,2231.123
524.694,2089.092
525.644,1998.072
526.595,2006.693
527.545,2109.259
528.496,2235.395
529.447,2454.307
530.397,2663.116
531.348,2756.815
532.298,2698.386
533.249,2660.139
534.199,2707.984
535.150,3027.876
536.100,2950.558
537.051,3119.426
538.001,3137.692
538.952,2849.951
539.902,2709.268
540.853,2775.595
541.803,2884.612
542.754,3303.414
543.705,3715.827
544.655,3833.560
545.606,3115.940
546.556,2725.270
547.507,2642.181
548.457,2701.691
549.408,2896.414
550.358,3190.280
551.309,3278.596
552.259,3183.993
553.210,2846.442
554.160,2522.557
555.111,2523.575
556.061,2667.411
557.012,2878.689
557.963,2998.723
558.913,3062.619
559.864,3081.667
560.814,3047.238
561.765,3010.915
562.715,3037.060
563.666,2985.205
564.616,3006.121
565.567,3068.623
566.517,3231.635
567.468,3195.718
568.418,3012.219
569.369,2965.238
570.319,2931.199
571.270,2907.289
572.221,2948.094
573.171,3046.631
574.122,3043.830
575.072,2923.138
576.023,2807.872
576.973,2750.242
577.924,2697.381
