Distance_(microns),Gray_Value
0.000,13507.113
1.168,13232.682
2.337,13242.816
3.505,13731.264
4.673,14041.377
5.842,13861.854
7.010,13437.539
8.178,12894.957
9.347,12194.007
10.515,12341.882
11.683,13406.834
12.852,14373.311
14.020,14641.102
15.188,14828.891
16.357,15187.304
17.525,15332.226
18.693,14910.912
19.862,14293.630
21.030,13917.464
22.198,13194.375
23.367,12633.872
24.535,12621.342
25.703,13348.958
26.872,13905.674
28.040,14066.926
29.208,13853.089
30.377,13583.301
31.545,13507.451
32.713,13794.433
33.882,14414.553
35.050,15064.791
36.219,14358.459
37.387,13730.146
38.555,13568.275
39.724,13748.081
40.892,13779.676
42.060,13699.556
43.229,13695.165
44.397,13513.168
45.565,13195.820
46.734,12675.718
47.902,12198.652
49.070,11937.307
50.239,12143.545
51.407,12257.658
52.575,12298.413
53.744,12438.933
54.912,12658.353
56.080,12676.851
57.249,12247.540
58.417,12149.701
59.585,12091.898
60.754,11808.973
61.922,11779.723
63.090,12069.648
64.259,12175.021
65.427,12297.626
66.595,12315.660
67.764,12054.270
68.932,11811.376
70.100,11856.828
71.269,12082.829
72.437,12108.222
73.605,11840.287
74.774,11598.523
75.942,11289.448
77.110,11237.133
78.279,11525.592
79.447,11582.229
80.615,11293.419
81.784,11104.893
82.952,10890.078
84.120,11022.511
85.289,11060.000
86.457,10937.151
87.625,10893.765
88.794,11238.773
89.962,11546.271
91.130,11708.913
92.299,11799.282
93.467,11188.869
94.635,10473.750
95.804,10272.702
96.972,10528.932
98.140,10435.645
99.309,10469.214
100.477,10342.626
101.645,10437.456
102.814,10318.467
103.982,10508.884
105.151,10800.581
106.319,10860.653
107.487,11041.874
108.656,10887.306
109.824,10931.861
110.992,10867.431
112.161,10506.740
113.329,10419.363
114.497,10393.630
115.666,10167.600
116.834,10107.701
118.002,10072.923
119.171,10007.902
120.339,10173.915
121.507,10425.908
122.676,10409.701
123.844,10629.513
125.012,10683.561
126.181,10696.579
127.349,10874.020
128.517,10812.048
129.686,10775.822
130.854,10560.813
132.022,10197.808
133.191,10216.655
134.359,10546.132
135.527,10848.098
136.696,10761.454
137.864,10407.263
139.032,10406.169
140.201,10276.288
141.369,10068.334
142.537,10233.979
143.706,10262.258
144.874,10352.124
146.042,10459.639
147.211,10535.959
148.379,10410.595
149.547,10202.333
150.716,9871.995
151.884,9881.552
153.052,10011.500
154.221,9824.267
155.389,9630.415
156.557,9828.058
157.726,9889.077
158.894,10239.647
160.062,10239.196
161.231,10182.605
162.399,9951.060
163.567,9829.694
164.736,9664.525
165.904,9646.284
167.072,9591.712
168.241,9350.854
169.409,9273.110
170.577,9182.448
171.746,9137.021
172.914,8847.088
174.083,8741.108
175.251,8635.278
176.419,8687.313
177.588,8975.360
178.756,9224.903
179.924,9337.127
181.093,9291.356
182.261,9331.106
183.429,9317.637
184.598,9518.797
185.766,9928.972
186.934,10918.754
188.103,11926.102
189.271,11794.206
190.439,9859.714
191.608,9082.356
192.776,9526.152
193.944,10944.214
195.113,11816.463
196.281,11913.528
197.449,12090.566
198.618,11289.211
199.786,9714.352
200.954,9220.049
202.123,9228.401
203.291,9121.677
204.459,9222.582
205.628,9235.737
206.796,9555.152
207.964,9538.252
209.133,9643.886
210.301,9568.950
211.469,9342.577
212.638,9084.171
213.806,8920.080
214.974,9021.669
216.143,9204.621
217.311,9633.242
218.479,9624.755
219.648,9423.914
220.816,9451.847
221.984,9287.846
223.153,9188.981
224.321,9317.661
225.489,8948.487
226.658,9115.524
227.826,9174.132
228.994,9378.367
230.163,9427.267
231.331,9251.227
232.499,9158.297
233.668,8836.647
234.836,8707.658
236.004,8918.806
237.173,9091.646
238.341,9018.155
239.509,8937.712
240.678,9133.954
241.846,9060.678
243.014,8934.384
244.183,8961.542
245.351,9015.700
246.520,9175.643
247.688,9173.729
248.856,9184.911
250.025,9062.479
251.193,8894.981
252.361,8862.226
253.530,8908.901
254.698,8847.228
255.866,8574.798
257.035,8503.678
258.203,8326.554
259.371,8177.867
260.540,7960.140
261.708,8158.707
262.876,8265.490
264.045,8401.327
265.213,8616.290
266.381,8771.783
267.550,8982.522
268.718,9059.503
269.886,8962.968
271.055,8789.936
272.223,8888.642
273.391,8839.645
274.560,8917.215
275.728,8849.188
276.896,8782.588
278.065,8884.911
279.233,8964.591
280.401,9062.021
281.570,9122.579
282.738,9087.354
283.906,9029.331
285.075,8977.950
286.243,8880.246
287.411,9137.073
288.580,9232.318
289.748,9298.205
290.916,9415.453
292.085,9446.854
293.253,9176.103
294.421,9225.738
295.590,9125.555
296.758,9143.166
297.926,9187.780
299.095,9209.126
300.263,9398.542
301.431,9366.598
302.600,9347.454
303.768,9154.705
304.936,9331.902
306.105,9326.863
307.273,9689.291
308.441,9929.689
309.610,9655.990
310.778,9598.287
311.947,9833.795
313.115,9971.487
314.283,9738.148
315.452,9835.776
316.620,9711.732
317.788,9476.254
318.957,9201.241
320.125,8896.702
321.293,8583.830
322.462,8635.902
323.630,9010.408
324.798,9172.409
325.967,9324.415
327.135,9346.880
328.303,9487.031
329.472,9636.865
330.640,9218.732
331.808,8941.727
332.977,8990.120
334.145,8748.212
335.313,8780.667
336.482,8904.196
337.650,8947.475
338.818,8741.905
339.987,8729.942
341.155,9030.394
342.323,8954.462
343.492,8880.953
344.660,8674.709
345.828,8599.093
346.997,8594.641
348.165,8503.421
349.333,8434.560
350.502,8302.161
351.670,8283.157
352.838,8115.125
354.007,8237.337
355.175,8422.119
356.343,8457.153
357.512,8629.204
358.680,8469.479
359.848,8255.670
361.017,8434.739
362.185,8405.384
363.353,8358.252
364.522,8323.593
365.690,8349.872
366.858,8527.360
368.027,8355.363
369.195,8587.959
370.363,8627.306
371.532,8769.242
372.700,8699.166
373.868,8449.218
375.037,8334.000
376.205,8552.863
377.373,8808.642
378.542,9122.436
379.710,9333.880
380.879,9450.578
382.047,9297.615
383.215,8862.196
384.384,8702.982
385.552,8731.714
386.720,9099.818
387.889,9494.151
389.057,9621.919
390.225,9216.138
391.394,9035.065
392.562,9023.945
393.730,8784.361
394.899,8644.921
396.067,8848.408
397.235,8693.521
398.404,8619.874
399.572,8819.844
400.740,8787.169
401.909,8821.270
403.077,8904.653
404.245,8892.398
405.414,9013.214
406.582,8761.978
407.750,8598.606
408.919,8962.733
410.087,8849.165
411.255,8682.150
412.424,8537.012
413.592,8605.563
414.760,8425.145
415.929,8349.498
417.097,8082.108
418.265,7985.806
419.434,8035.443
420.602,8022.360
421.770,8058.577
422.939,7965.717
424.107,7988.583
425.275,8002.005
426.444,8153.507
427.612,8422.670
428.780,8499.213
429.949,8313.364
431.117,8368.670
432.285,8504.567
433.454,8407.614
434.622,8266.430
435.790,8219.858
436.959,8316.973
438.127,8506.415
439.295,8753.662
440.464,8862.514
441.632,9007.574
442.800,8905.882
443.969,8855.990
445.137,8896.956
