Distance_(microns),Gray_Value
0.000,7418.347
1.168,7390.604
2.337,7269.994
3.505,6976.838
4.673,6807.851
5.842,6779.529
7.010,6617.392
8.178,6645.581
9.347,6714.975
10.515,6940.767
11.683,6994.929
12.852,7023.786
14.020,7169.105
15.188,7141.754
16.357,7018.181
17.525,7135.757
18.693,7055.096
19.862,7136.147
21.030,7133.849
22.198,7365.459
23.367,7375.041
24.535,7439.396
25.703,7407.639
26.872,7294.003
28.040,7525.862
29.208,7485.392
30.377,7470.074
31.545,7279.726
32.713,7145.065
33.882,6782.710
35.050,6792.066
36.219,6776.280
37.387,6816.552
38.555,6861.331
39.724,6889.165
40.892,6647.575
42.060,6810.071
43.229,6994.237
44.397,7072.063
45.565,7092.350
46.734,7216.500
47.902,7119.963
49.070,7023.881
50.239,7173.787
51.407,7393.329
52.575,7505.886
53.744,7482.472
54.912,7274.191
56.080,7228.512
57.249,7028.541
58.417,6846.330
59.585,6736.850
60.754,6650.302
61.922,6494.661
63.090,6497.138
64.259,6667.767
65.427,6708.524
66.595,6858.646
67.764,6785.247
68.932,6731.229
70.100,6560.177
71.269,6367.401
72.437,6653.948
73.605,6514.191
74.774,6592.255
75.942,6674.437
77.110,6374.471
78.279,6164.808
79.447,6165.905
80.615,6411.221
81.784,6578.807
82.952,6638.217
84.120,6623.663
85.289,6492.299
86.457,6481.674
87.625,6266.701
88.794,6541.939
89.962,6530.667
91.130,6421.751
92.299,6681.222
93.467,6727.315
94.635,6705.896
95.804,6530.825
96.972,6481.504
98.140,6455.061
99.309,6232.836
100.477,6400.135
101.645,6470.176
102.814,6239.013
103.982,6180.106
105.151,6345.672
106.319,6463.194
107.487,6613.208
108.656,6551.534
109.824,6524.211
110.992,6610.455
112.161,6504.124
113.329,6304.686
114.497,6332.147
115.666,6266.932
116.834,6162.831
118.002,6225.369
119.171,6231.744
120.339,6092.269
121.507,6371.693
122.676,6625.362
123.844,6466.335
125.012,6480.626
126.181,6172.965
127.349,6071.964
128.517,5994.327
129.686,6014.090
130.854,6054.162
132.022,6009.223
133.191,6364.956
134.359,6246.395
135.527,6122.144
136.696,6196.788
137.864,6047.253
139.032,6163.620
140.201,6104.803
141.369,5800.908
142.537,5754.248
143.706,6142.691
144.874,6271.872
146.042,6309.168
147.211,6550.364
148.379,6560.548
149.547,6297.567
150.716,6265.658
151.884,6078.173
153.052,6193.375
154.221,6553.097
155.389,6466.596
156.557,6221.130
157.726,6449.021
158.894,6578.389
160.062,6305.338
161.231,6409.276
162.399,6303.044
163.567,6234.451
164.736,6325.184
165.904,6581.023
167.072,6456.012
168.241,6504.942
169.409,6166.313
170.577,6080.206
171.746,6406.925
172.914,6681.897
174.083,6470.654
175.251,6391.796
176.419,6541.318
177.588,6399.651
178.756,6294.120
179.924,6088.194
181.093,6259.390
182.261,6502.899
183.429,6839.728
184.598,7333.747
185.766,6751.473
186.934,6728.512
188.103,6631.543
189.271,6555.311
190.439,6580.000
191.608,6777.216
192.776,6581.374
193.944,6441.759
195.113,6364.495
196.281,6285.141
197.449,6266.487
198.618,6132.114
199.786,6108.073
200.954,6158.199
202.123,6300.479
203.291,6321.892
204.459,6270.830
205.628,6114.644
206.796,6250.528
207.964,6443.551
209.133,6368.650
210.301,6405.594
211.469,6428.938
212.638,6422.408
213.806,6247.774
214.974,6073.432
216.143,5894.789
217.311,5761.903
218.479,5627.064
219.648,5513.388
220.816,5494.605
221.984,5672.615
223.153,5610.172
224.321,5775.272
225.489,5641.593
226.658,5925.675
227.826,6012.819
228.994,6011.919
230.163,5965.177
231.331,5850.469
232.499,5645.737
233.668,5607.096
234.836,5713.011
236.004,5803.553
237.173,5924.180
238.341,5949.840
239.509,6018.286
240.678,6023.144
241.846,6173.044
243.014,6440.965
244.183,6388.800
245.351,6110.893
246.520,6067.044
247.688,6040.117
248.856,6110.639
250.025,5966.989
251.193,5895.651
252.361,5783.823
253.530,6181.125
254.698,6141.736
255.866,6063.853
257.035,6380.550
258.203,6255.474
259.371,6048.509
260.540,6202.176
261.708,6461.236
262.876,6333.796
264.045,6157.584
265.213,6009.324
266.381,5892.346
267.550,5985.085
268.718,5881.407
269.886,5815.589
271.055,5913.703
272.223,5820.369
273.391,6043.396
274.560,5944.000
275.728,5741.832
276.896,5638.415
278.065,5542.428
279.233,5601.256
280.401,5671.493
281.570,5573.435
282.738,5355.569
283.906,5345.060
285.075,5573.409
286.243,5477.190
287.411,5414.938
288.580,5351.905
289.748,5274.108
290.916,5373.083
292.085,5376.256
293.253,5253.542
294.421,5422.498
295.590,5269.782
296.758,5252.229
297.926,5477.500
299.095,5575.803
300.263,5470.829
301.431,5434.239
302.600,5700.919
303.768,5691.023
304.936,5822.765
306.105,5907.120
307.273,5929.502
308.441,5673.260
309.610,5613.627
310.778,5534.248
311.947,5674.042
313.115,5732.110
314.283,5755.809
315.452,5979.671
316.620,6023.626
317.788,5959.311
318.957,5838.979
320.125,5823.247
321.293,5639.375
322.462,5633.754
323.630,5707.992
324.798,5932.199
325.967,5926.629
327.135,6306.495
328.303,6324.397
329.472,6255.251
330.640,6187.997
331.808,5959.927
332.977,5954.585
334.145,5822.427
335.313,5589.283
336.482,5719.200
337.650,5790.537
338.818,5710.905
339.987,5563.989
341.155,5873.085
342.323,6067.215
343.492,5898.184
344.660,5649.898
345.828,5682.909
346.997,5707.807
348.165,5734.493
349.333,5955.874
350.502,6010.276
351.670,5940.627
352.838,5789.287
354.007,5707.820
355.175,5860.517
356.343,5993.503
357.512,5861.043
358.680,5733.225
359.848,6152.999
361.017,6143.928
362.185,6058.792
363.353,5780.894
364.522,5652.686
365.690,5421.623
366.858,5368.775
368.027,5297.190
369.195,5223.552
370.363,5169.221
371.532,5316.837
372.700,5261.635
373.868,5295.379
375.037,5465.816
376.205,5473.784
