Distance_(microns),Gray_Value
0.000,4052.009
0.951,3974.634
1.901,3956.052
2.852,4078.143
3.802,4103.269
4.753,4168.944
5.703,4311.348
6.654,4320.222
7.604,4262.041
8.555,4093.246
9.505,4006.564
10.456,3945.961
11.406,3769.074
12.357,3754.225
13.307,3748.013
14.258,3797.079
15.209,3977.322
16.159,3879.219
17.110,3599.164
18.060,3625.760
19.011,3728.502
19.961,3846.001
20.912,3975.644
21.862,4037.034
22.813,3917.812
23.763,3824.491
24.714,3788.767
25.664,3790.353
26.615,3885.580
27.565,4077.672
28.516,4088.272
29.467,4197.579
30.417,4283.363
31.368,4448.384
32.318,4641.899
33.269,4744.579
34.219,4785.881
35.170,4806.510
36.120,4731.383
37.071,4861.985
38.021,5137.984
38.972,5388.496
39.922,5377.089
40.873,5325.232
41.823,5006.784
42.774,4828.383
43.724,4779.514
44.675,4706.954
45.626,4528.053
46.576,4320.641
47.527,4337.195
48.477,4565.762
49.428,4820.164
50.378,5117.023
51.329,5386.772
52.279,5446.428
53.230,5362.968
54.180,5222.713
55.131,5137.934
56.081,5006.071
57.032,4801.831
57.982,4612.281
58.933,4416.937
59.884,4279.188
60.834,4369.895
61.785,4669.413
62.735,4819.582
63.686,4829.583
64.636,4887.705
65.587,5021.829
66.537,5153.411
67.488,5278.574
68.438,5457.424
69.389,5599.679
70.339,5763.029
71.290,5677.644
72.240,5553.508
73.191,5388.493
74.142,5360.577
75.092,5153.009
76.043,5041.586
76.993,4949.686
77.944,4967.846
78.894,5236.345
79.845,5411.292
80.795,5511.433
81.746,5641.082
82.696,5749.860
83.647,5658.948
84.597,5668.413
85.548,5589.551
86.498,5338.829
87.449,4971.305
88.400,4695.779
89.350,4561.980
90.301,4421.535
91.251,4285.231
92.202,4380.692
93.152,4603.959
94.103,4909.784
95.053,5328.061
96.004,5526.557
96.954,5589.477
97.905,5552.702
98.855,5530.456
99.806,5627.584
100.756,5720.534
101.707,5781.700
102.658,5707.398
103.608,5424.719
104.559,5288.654
105.509,5100.031
106.460,5147.524
107.410,5120.984
108.361,5006.507
109.311,5004.711
110.262,5114.984
111.212,5115.446
112.163,5200.198
113.113,5305.615
114.064,5276.615
115.014,5044.620
115.965,4835.267
116.915,4946.503
117.866,5027.195
118.817,5216.309
119.767,5247.196
120.718,5268.426
121.668,5321.760
122.619,5510.427
123.569,5615.007
124.520,5275.018
125.470,5083.624
126.421,5053.406
127.371,4975.429
128.322,4864.257
129.272,4806.734
130.223,5128.416
131.173,5501.554
132.124,5619.135
133.075,5494.002
134.025,5190.499
134.976,4762.854
135.926,4663.898
136.877,4701.679
137.827,4613.329
138.778,4297.164
139.728,4230.359
140.679,4453.172
141.629,4613.222
142.580,4668.488
143.530,4825.016
144.481,4835.094
145.431,4694.381
146.382,4444.969
147.333,4266.990
148.283,4312.031
149.234,4347.485
150.184,4292.803
151.135,4150.305
152.085,4002.868
153.036,4179.765
153.986,4508.055
154.937,4717.823
155.887,4941.322
156.838,5150.054
157.788,5136.620
158.739,5091.047
159.689,4755.853
160.640,4587.039
161.590,4670.104
162.541,4741.713
163.492,4750.416
164.442,4850.496
165.393,5057.250
166.343,5104.302
167.294,4992.431
168.244,5067.121
169.195,5177.603
170.145,5135.564
171.096,5264.197
172.046,5421.757
172.997,5266.471
173.947,5166.629
174.898,5056.101
175.848,5278.671
176.799,5317.025
177.750,5391.351
178.700,5275.049
179.651,5028.352
180.601,4874.153
181.552,4885.382
182.502,5015.418
183.453,5051.254
184.403,5097.727
185.354,5218.562
186.304,5124.479
187.255,5125.320
188.205,5116.097
189.156,5016.010
190.106,4951.896
191.057,4989.168
192.008,5186.920
192.958,5297.609
193.909,5359.200
194.859,5285.358
195.810,5196.073
196.760,5223.553
197.711,5219.660
198.661,5128.479
199.612,5002.177
200.562,5120.859
201.513,4931.600
202.463,4891.397
203.414,5173.258
204.364,5625.393
205.315,5890.895
206.266,5810.836
207.216,5693.541
208.167,5593.038
209.117,5280.865
210.068,5302.688
211.018,5554.914
211.969,5645.285
212.919,5364.718
213.870,4979.139
214.820,4658.376
215.771,4572.452
216.721,4587.942
217.672,4577.135
218.622,4573.208
219.573,4656.423
220.524,4832.852
221.474,4676.597
222.425,4646.387
223.375,4681.984
224.326,4651.124
225.276,4564.800
226.227,4558.129
227.177,4478.206
228.128,4345.510
229.078,4158.387
230.029,4092.560
230.979,4365.755
231.930,4662.828
232.880,4738.803
233.831,4947.123
234.781,4931.048
235.732,4651.754
236.683,4427.125
237.633,4371.454
238.584,4453.602
239.534,4600.292
240.485,4704.765
241.435,4515.839
242.386,4382.669
243.336,4305.295
244.287,4426.744
