Distance_(microns),Gray_Value
0.000,1335.352
0.951,1540.159
1.901,1713.525
2.852,1757.827
3.802,1772.911
4.753,1710.010
5.703,1658.594
6.654,1607.454
7.604,1592.764
8.555,1617.017
9.505,1612.648
10.456,1585.751
11.406,1576.773
12.357,1615.444
13.307,1644.901
14.258,1667.175
15.209,1635.413
16.159,1617.562
17.110,1554.309
18.060,1540.100
19.011,1539.627
19.961,1539.944
20.912,1571.155
21.862,1595.589
22.813,1640.547
23.763,1677.541
24.714,1755.125
25.664,1796.622
26.615,1821.944
27.565,1877.276
28.516,1908.529
29.467,1995.206
30.417,2091.408
31.368,2162.687
32.318,2209.922
33.269,2286.336
34.219,2283.619
35.170,2323.856
36.120,2329.866
37.071,2331.174
38.021,2280.617
38.972,2213.947
39.922,2151.992
40.873,2131.600
41.823,2136.181
42.774,2157.748
43.724,2211.882
44.675,2330.379
45.626,2387.486
46.576,2397.703
47.527,2340.504
48.477,2292.898
49.428,2304.826
50.378,2353.096
51.329,2417.339
52.279,2422.662
53.230,2497.490
54.180,2554.893
55.131,2579.240
56.081,2564.809
57.032,2607.708
57.982,2657.001
58.933,2626.666
59.884,2603.854
60.834,2613.393
61.785,2696.842
62.735,2817.291
63.686,2969.572
64.636,3030.840
65.587,3009.356
66.537,2948.924
67.488,2905.285
68.438,2813.119
69.389,2806.289
70.339,2754.330
71.290,2746.317
72.240,2731.260
73.191,2700.030
74.142,2646.305
75.092,2539.329
76.043,2499.074
76.993,2411.816
77.944,2327.071
78.894,2216.099
79.845,2057.396
80.795,1958.869
81.746,1892.861
82.696,1839.398
83.647,1830.119
84.597,1831.826
85.548,1965.701
86.498,2183.355
87.449,2415.514
88.400,2536.391
89.350,2572.772
90.301,2531.061
91.251,2442.890
92.202,2361.158
93.152,2291.248
94.103,2275.543
95.053,2281.330
96.004,2330.146
96.954,2489.199
97.905,2711.424
98.855,2853.908
99.806,3026.981
100.756,3072.864
101.707,3086.988
102.658,3027.509
103.608,2988.252
104.559,2887.341
105.509,2763.979
106.460,2716.315
107.410,2772.765
108.361,2891.766
109.311,3049.818
110.262,3153.159
111.212,3188.887
112.163,3089.549
113.113,2916.496
114.064,2751.959
115.014,2606.702
115.965,2521.696
116.915,2480.180
117.866,2437.302
118.817,2561.286
119.767,2741.337
120.718,2862.620
121.668,2896.441
122.619,2987.382
123.569,3070.272
124.520,3056.995
125.470,2990.577
126.421,2965.665
127.371,2978.651
128.322,2971.941
129.272,2893.265
130.223,2843.595
131.173,2745.281
132.124,2651.332
133.075,2595.333
134.025,2588.245
134.976,2681.518
135.926,2869.276
136.877,3059.740
137.827,3218.990
138.778,3267.720
139.728,3311.014
140.679,3366.126
141.629,3463.143
142.580,3642.115
143.530,3784.534
144.481,3739.965
145.431,3529.451
146.382,3279.859
147.333,3040.972
148.283,2862.106
149.234,2757.438
150.184,2877.680
151.135,2968.249
152.085,3009.747
153.036,3050.345
153.986,3166.353
154.937,3226.272
155.887,3261.643
156.838,3229.337
157.788,3157.098
158.739,3078.695
159.689,3055.501
160.640,3016.802
161.590,3022.724
162.541,3017.949
163.492,3078.130
164.442,3229.568
165.393,3397.174
166.343,3490.032
167.294,3498.433
168.244,3539.221
169.195,3425.027
170.145,3351.407
171.096,3339.844
172.046,3296.538
172.997,3273.510
173.947,3098.133
174.898,3095.492
175.848,3112.802
176.799,3175.156
177.750,3205.427
178.700,3231.003
179.651,3229.708
180.601,3118.632
181.552,3003.370
182.502,2905.767
183.453,2918.295
184.403,2813.258
185.354,2677.647
186.304,2608.751
187.255,2661.162
188.205,2769.472
189.156,2931.336
190.106,3101.654
191.057,3298.161
192.008,3421.262
192.958,3465.469
193.909,3468.342
194.859,3530.614
195.810,3639.340
196.760,3763.474
197.711,3869.521
198.661,3844.303
199.612,3581.171
200.562,3254.606
201.513,2981.094
202.463,2681.035
203.414,2533.965
204.364,2626.552
205.315,2828.705
206.266,3067.269
207.216,3292.525
208.167,3449.389
209.117,3594.527
210.068,3477.338
211.018,3127.454
211.969,2756.038
212.919,2652.568
213.870,2708.488
214.820,2837.818
215.771,3024.257
216.721,3177.756
217.672,3218.201
218.622,3195.532
219.573,3080.288
220.524,2868.607
221.474,2580.894
222.425,2360.835
223.375,2320.488
224.326,2412.203
225.276,2545.346
226.227,2704.607
227.177,3054.625
228.128,3382.409
229.078,3605.602
230.029,3864.558
230.979,3929.637
231.930,3928.242
232.880,3759.497
233.831,3676.023
234.781,3680.760
235.732,3706.590
236.683,3632.013
237.633,3428.868
238.584,3174.037
239.534,3030.278
240.485,3061.369
241.435,3172.376
242.386,3327.381
243.336,3536.399
244.287,3704.340
245.237,3752.734
246.188,3789.394
247.138,3744.834
248.089,3733.888
249.039,3731.526
249.990,3605.752
250.941,3403.609
251.891,3188.202
252.842,2985.710
253.792,2900.854
254.743,2896.717
255.693,2988.202
256.644,3369.606
257.594,3589.883
258.545,3752.105
259.495,3919.774
260.446,4215.633
261.396,4394.227
262.347,4375.231
263.297,4187.966
264.248,4020.512
265.199,3783.384
266.149,3639.779
267.100,3711.058
268.050,3861.705
269.001,3955.972
269.951,3842.979
270.902,3620.319
271.852,3496.018
272.803,3417.850
273.753,3646.855
274.704,3885.058
275.654,4130.316
276.605,4246.816
277.555,4312.913
278.506,4342.125
279.457,4380.539
280.407,4270.025
281.358,3945.678
282.308,3574.402
283.259,3321.265
284.209,3259.370
285.160,3604.241
286.110,4020.418
287.061,4275.220
288.011,4339.463
288.962,4367.389
289.912,4236.198
290.863,4202.694
291.813,4177.762
292.764,4035.855
293.715,3891.582
294.665,3689.342
295.616,3512.492
296.566,3488.354
297.517,3647.353
298.467,4058.838
299.418,4484.014
300.368,4822.558
301.319,4956.960
302.269,5105.583
303.220,5092.028
304.170,5154.631
305.121,5319.938
306.071,5357.077
307.022,5131.136
307.973,4699.618
308.923,4183.256
309.874,3821.193
310.824,3801.863
311.775,3911.771
312.725,4160.593
313.676,4268.358
314.626,4309.669
315.577,4341.871
316.527,4283.487
317.478,4227.035
318.428,4175.162
319.379,4161.557
320.329,4179.471
321.280,4233.629
322.230,4228.482
323.181,4304.949
324.132,4348.814
325.082,4302.411
326.033,4220.880
326.983,4261.128
327.934,4290.856
328.884,4257.847
329.835,4192.375
330.785,4083.783
331.736,4022.834
332.686,3887.594
333.637,3779.712
