Distance_(microns),Gray_Value
0.000,917.658
0.951,953.439
1.901,941.800
2.852,893.364
3.802,893.677
4.753,897.531
5.703,937.121
6.654,968.026
7.604,983.013
8.555,1038.040
9.505,1061.807
10.456,1046.981
11.406,1049.373
12.357,990.002
13.307,941.859
14.258,867.209
15.209,869.465
16.159,906.735
17.110,903.429
18.060,899.648
19.011,889.730
19.961,879.672
20.912,944.753
21.862,980.716
22.813,968.141
23.763,963.147
24.714,951.788
25.664,961.798
26.615,1014.542
27.565,1029.397
28.516,1027.235
29.467,1023.444
30.417,1002.936
31.368,979.652
32.318,983.682
33.269,989.064
34.219,982.836
35.170,990.341
36.120,999.076
37.071,1004.927
38.021,1041.444
38.972,1017.147
39.922,963.156
40.873,932.500
41.823,884.869
42.774,865.437
43.724,864.219
44.675,850.748
45.626,865.403
46.576,910.446
47.527,915.598
48.477,910.229
49.428,942.563
50.378,958.895
51.329,968.405
52.279,959.361
53.230,959.902
54.180,924.741
55.131,949.115
56.081,894.679
57.032,980.505
57.982,1005.354
58.933,959.099
59.884,948.405
60.834,932.355
61.785,960.112
62.735,924.550
63.686,929.247
64.636,893.616
65.587,922.837
66.537,923.958
67.488,983.077
68.438,1028.987
69.389,1067.302
70.339,1078.391
71.290,1099.407
72.240,1076.787
73.191,1106.806
74.142,1125.239
75.092,1089.994
76.043,1093.465
76.993,1074.396
77.944,1036.423
78.894,958.043
79.845,947.052
80.795,954.158
81.746,962.827
82.696,970.566
83.647,982.442
84.597,1034.772
85.548,1026.965
86.498,1012.126
87.449,943.234
88.400,1002.483
89.350,1049.715
90.301,1198.851
91.251,1173.091
92.202,1142.510
93.152,1111.675
94.103,1136.666
95.053,1153.093
96.004,1102.856
96.954,1075.157
97.905,993.377
98.855,928.195
99.806,856.048
100.756,855.675
101.707,896.489
102.658,942.303
103.608,985.699
104.559,970.131
105.509,970.007
106.460,949.461
107.410,964.544
108.361,1008.297
109.311,1029.069
110.262,990.806
111.212,945.950
112.163,893.660
113.113,874.335
114.064,917.269
115.014,976.903
115.965,1110.634
116.915,1003.439
117.866,1019.298
118.817,987.533
119.767,976.286
120.718,992.930
121.668,1020.176
122.619,1025.041
123.569,1080.378
124.520,1113.855
125.470,1091.152
126.421,1044.416
127.371,968.575
128.322,931.480
129.272,955.179
130.223,946.566
131.173,1032.743
132.124,1193.191
133.075,1130.746
134.025,1171.892
134.976,1190.046
135.926,1101.299
136.877,1035.934
137.827,1045.017
138.778,1016.100
139.728,1000.969
140.679,1025.619
141.629,1055.345
142.580,1053.931
143.530,1053.958
144.481,1108.917
145.431,1120.335
146.382,1118.077
147.333,1204.248
148.283,1083.110
149.234,918.186
150.184,943.690
151.135,994.317
152.085,976.492
153.036,1009.644
153.986,973.008
154.937,936.900
155.887,913.264
156.838,892.637
157.788,955.245
158.739,997.529
159.689,1040.685
160.640,1038.485
161.590,1017.540
162.541,999.386
163.492,977.281
164.442,910.935
165.393,870.624
166.343,915.520
167.294,877.105
168.244,819.458
169.195,784.318
170.145,753.911
171.096,782.795
172.046,812.686
172.997,811.086
173.947,852.631
174.898,866.000
175.848,888.970
176.799,875.547
177.750,885.224
178.700,852.030
179.651,836.231
180.601,861.067
181.552,907.702
182.502,914.601
183.453,917.244
184.403,961.935
185.354,953.592
186.304,936.551
187.255,858.459
188.205,837.581
189.156,840.886
190.106,915.130
191.057,922.514
192.008,912.040
192.958,974.893
193.909,942.156
194.859,937.035
195.810,935.841
196.760,1009.694
197.711,1078.382
198.661,1141.745
199.612,1123.186
200.562,1056.998
201.513,1016.590
202.463,922.100
203.414,836.776
204.364,771.451
205.315,769.327
206.266,821.982
207.216,856.471
208.167,896.774
209.117,932.279
210.068,927.129
211.018,900.438
211.969,885.407
212.919,873.617
213.870,880.858
214.820,828.885
215.771,781.792
216.721,789.094
217.672,791.851
218.622,826.416
219.573,846.479
220.524,853.264
221.474,867.356
222.425,881.878
223.375,791.626
224.326,780.815
225.276,730.824
226.227,740.427
227.177,778.766
228.128,856.605
229.078,799.432
230.029,797.820
230.979,781.145
231.930,731.012
232.880,693.543
233.831,699.410
234.781,728.847
235.732,822.454
236.683,852.551
237.633,879.465
