Distance_(microns),Gray_Value
0.000,3437.212
0.951,3360.829
1.901,3282.282
2.852,3453.811
3.802,3520.137
4.753,3544.927
5.703,3383.512
6.654,3316.921
7.604,3295.503
8.555,3443.674
9.505,3402.747
10.456,3295.942
11.406,3341.582
12.357,3277.411
13.307,3351.293
14.258,3392.282
15.209,3449.835
16.159,3520.797
17.110,3452.011
18.060,3492.643
19.011,3530.110
19.961,3483.724
20.912,3255.210
21.862,3046.744
22.813,2885.487
23.763,2727.286
24.714,2823.599
25.664,2632.436
26.615,2554.377
27.565,2744.065
28.516,2875.249
29.467,3008.242
30.417,3097.086
31.368,3232.609
32.318,3342.972
33.269,3232.786
34.219,3112.383
35.170,2913.866
36.120,2947.754
37.071,3070.529
38.021,3215.876
38.972,3352.688
39.922,3319.473
40.873,3251.456
41.823,3122.378
42.774,2964.040
43.724,2947.547
44.675,2873.215
45.626,2934.819
46.576,3057.053
47.527,2756.121
48.477,2640.097
49.428,2585.994
50.378,2796.702
51.329,2915.819
52.279,2997.582
53.230,2965.751
54.180,3130.634
55.131,3257.432
56.081,3228.188
57.032,3152.264
57.982,3086.216
58.933,2908.788
59.884,2794.447
60.834,2844.310
61.785,2759.729
62.735,2888.752
63.686,2991.331
64.636,3273.500
65.587,3463.509
66.537,3609.456
67.488,3626.146
68.438,3627.052
69.389,3701.869
70.339,3774.936
71.290,3622.584
72.240,3410.439
73.191,3411.876
74.142,3390.826
75.092,3535.247
76.043,3705.672
76.993,3525.037
77.944,3418.436
78.894,3139.729
79.845,3014.253
80.795,2846.737
81.746,2793.928
82.696,2859.824
83.647,2951.566
84.597,3220.436
85.548,3438.768
86.498,3656.598
87.449,3989.605
88.400,3983.115
89.350,4080.227
90.301,4031.702
91.251,3984.321
92.202,3790.038
93.152,3500.516
94.103,3250.455
95.053,3142.489
96.004,3102.951
96.954,3203.702
97.905,3664.051
98.855,3859.781
99.806,3967.755
100.756,3766.488
101.707,3486.355
102.658,3403.548
103.608,3594.660
104.559,3677.265
105.509,3613.191
106.460,3619.840
107.410,3637.851
108.361,3646.930
109.311,3525.226
110.262,3382.960
111.212,3362.686
112.163,3375.113
113.113,3492.673
114.064,3450.477
115.014,3481.280
115.965,3475.302
116.915,3421.924
117.866,3357.250
118.817,3379.708
119.767,3455.385
120.718,3543.188
121.668,3637.625
122.619,3763.222
123.569,3708.770
124.520,3651.058
125.470,3563.905
126.421,3376.955
127.371,3446.289
128.322,3577.187
129.272,3801.750
130.223,3982.000
131.173,4295.088
132.124,4219.924
133.075,4128.145
134.025,4077.690
134.976,3795.540
135.926,3636.442
136.877,3574.437
137.827,3718.215
138.778,3731.212
139.728,3866.699
140.679,3849.116
141.629,3860.758
142.580,3979.083
143.530,4095.758
144.481,3971.535
145.431,3878.922
146.382,3782.921
147.333,3900.609
148.283,4046.750
149.234,4042.954
150.184,4162.238
151.135,4200.770
152.085,3983.088
153.036,3817.307
153.986,3831.478
154.937,3756.957
155.887,3616.516
156.838,3445.829
157.788,3385.545
158.739,3350.987
159.689,3504.053
160.640,3632.823
161.590,3663.423
162.541,3703.198
163.492,3687.033
164.442,3619.440
165.393,3448.682
166.343,3423.513
167.294,3534.512
168.244,3793.729
169.195,3961.350
170.145,4026.742
171.096,3964.638
172.046,3985.008
172.997,3932.040
173.947,3912.080
174.898,3831.669
175.848,3659.226
176.799,3388.795
177.750,3187.737
178.700,3059.806
179.651,2861.657
180.601,2792.140
181.552,2953.538
182.502,3059.178
183.453,3239.062
184.403,3498.345
185.354,3758.665
186.304,3768.705
187.255,3767.887
188.205,3678.911
189.156,3583.639
190.106,3408.931
191.057,3283.770
192.008,3311.814
192.958,3320.738
193.909,3388.483
194.859,3504.910
195.810,3507.352
196.760,3497.179
197.711,3655.709
198.661,3790.306
199.612,3909.944
200.562,3960.793
201.513,4038.316
202.463,4028.745
203.414,4069.832
204.364,3818.072
205.315,3648.027
206.266,3371.366
207.216,3321.254
208.167,3208.896
209.117,3198.136
210.068,3413.066
211.018,3735.831
211.969,4183.394
212.919,4330.260
213.870,4321.792
214.820,4244.815
215.771,4242.404
216.721,4329.598
217.672,4317.968
218.622,4260.112
219.573,4166.137
220.524,4092.805
221.474,4145.463
222.425,4190.998
223.375,4456.735
224.326,4804.197
225.276,4630.621
226.227,4479.438
227.177,4289.647
228.128,4333.198
229.078,4259.956
230.029,4179.010
230.979,3842.238
231.930,3610.633
232.880,3474.076
233.831,3605.394
234.781,3751.956
235.732,3862.572
236.683,3930.798
237.633,4010.818
238.584,3789.029
239.534,3520.310
240.485,3349.450
241.435,3417.849
242.386,3522.772
243.336,3636.247
244.287,3666.490
245.237,3609.175
246.188,3733.782
247.138,3912.716
248.089,3792.656
249.039,3683.385
249.990,3557.202
250.941,3407.954
251.891,3307.774
252.842,3260.758
253.792,3457.823
254.743,3488.337
255.693,3471.133
256.644,3561.363
257.594,3516.638
258.545,3418.304
259.495,3401.952
260.446,3330.970
261.396,3322.197
262.347,3425.332
263.297,3573.798
264.248,3627.382
265.199,3609.011
266.149,3599.913
267.100,3744.443
268.050,3838.503
269.001,3867.882
269.951,3798.906
270.902,3680.314
271.852,3696.652
272.803,3789.530
273.753,3921.608
274.704,4088.227
275.654,3826.536
276.605,3474.519
277.555,3022.659
278.506,2631.181
279.457,2445.147
280.407,2305.247
281.358,2463.474
282.308,2645.986
283.259,2919.925
284.209,3213.659
285.160,3394.797
286.110,3488.975
287.061,3360.724
288.011,3182.015
288.962,2977.755
289.912,2852.316
290.863,2752.769
291.813,2692.790
292.764,2655.431
293.715,2627.084
294.665,2579.302
295.616,2533.147
296.566,2377.884
297.517,2411.887
298.467,2655.638
299.418,2954.329
300.368,3156.678
301.319,3137.826
302.269,3076.980
303.220,2925.019
304.170,2769.610
305.121,2707.305
306.071,2640.396
307.022,2782.203
307.973,2882.485
308.923,2940.236
309.874,2874.542
310.824,2645.100
311.775,2480.704
312.725,2349.655
313.676,2271.461
314.626,2394.965
315.577,2572.275
316.527,2775.515
