Distance_(microns),Gray_Value
0.000,2746.180
0.951,2802.050
1.901,2805.223
2.852,2961.472
3.802,3057.054
4.753,3125.571
5.703,3150.530
6.654,3151.754
7.604,3200.937
8.555,3069.761
9.505,3117.953
10.456,3091.522
11.406,3121.606
12.357,3122.611
13.307,3159.626
14.258,3187.915
15.209,3232.821
16.159,3257.141
17.110,3221.172
18.060,3265.347
19.011,3249.207
19.961,3215.700
20.912,3163.207
21.862,3304.863
22.813,3085.710
23.763,3125.645
24.714,3088.199
25.664,3123.143
26.615,3136.688
27.565,3143.445
28.516,3188.022
29.467,3192.118
30.417,3204.949
31.368,3206.306
32.318,3028.246
33.269,2971.606
34.219,2847.664
35.170,2898.841
36.120,3043.883
37.071,2957.954
38.021,3063.903
38.972,3117.281
39.922,3250.438
40.873,3314.780
41.823,3230.207
42.774,3129.069
43.724,3183.591
44.675,3193.867
45.626,3276.385
46.576,3205.926
47.527,3172.058
48.477,3082.607
49.428,3064.636
50.378,3045.046
51.329,3030.021
52.279,3165.451
53.230,3086.687
54.180,3274.689
55.131,3385.167
56.081,3519.667
57.032,3461.568
57.982,3322.483
58.933,3235.180
59.884,3125.155
60.834,3275.554
61.785,3429.068
62.735,3419.548
63.686,3314.628
64.636,3369.992
65.587,3370.002
66.537,3274.954
67.488,3246.068
68.438,3268.555
69.389,3313.139
70.339,3348.237
71.290,3336.422
72.240,3224.277
73.191,3132.685
74.142,2903.758
75.092,2913.550
76.043,3115.506
76.993,3304.208
77.944,3503.516
78.894,3642.774
79.845,3676.893
80.795,3535.709
81.746,3426.094
82.696,3389.026
83.647,3517.401
84.597,3509.834
85.548,3541.597
86.498,3455.995
87.449,3266.940
88.400,3107.832
89.350,2963.156
90.301,2953.611
91.251,3088.784
92.202,3213.284
93.152,3436.168
94.103,3419.492
95.053,3459.351
96.004,3583.594
96.954,3673.507
97.905,3668.711
98.855,3609.490
99.806,3588.139
100.756,3562.203
101.707,3565.376
102.658,3458.193
103.608,3505.181
104.559,3439.355
105.509,3491.961
106.460,3478.537
107.410,3514.780
108.361,3685.865
109.311,3899.346
110.262,3903.899
111.212,3689.919
112.163,3582.752
113.113,3565.942
114.064,3494.985
115.014,3587.930
115.965,3594.125
116.915,3644.515
117.866,3645.011
118.817,3600.475
119.767,3516.416
120.718,3510.945
121.668,3477.508
122.619,3502.280
123.569,3589.460
124.520,3623.313
125.470,3750.195
126.421,3878.380
127.371,4032.210
128.322,3904.050
129.272,3841.025
130.223,3862.628
131.173,3868.607
132.124,3754.068
133.075,3703.543
134.025,3511.356
134.976,3395.076
135.926,3262.601
136.877,3445.642
137.827,3568.190
138.778,3786.598
139.728,3940.745
140.679,3990.943
141.629,3903.419
142.580,3820.681
143.530,3768.240
144.481,3679.510
145.431,3672.411
146.382,3826.326
147.333,3748.350
148.283,3711.486
149.234,3656.925
150.184,3719.591
151.135,3731.400
152.085,3741.332
153.036,3573.216
153.986,3660.289
154.937,3994.787
155.887,3687.098
156.838,3959.170
157.788,4105.628
158.739,4191.034
159.689,4342.780
160.640,4323.124
161.590,4354.464
162.541,4131.448
163.492,3849.543
164.442,3690.880
165.393,3624.022
166.343,3516.525
167.294,3466.827
168.244,3207.479
169.195,3482.942
170.145,3201.854
171.096,3532.234
172.046,3832.117
172.997,4133.208
173.947,4372.799
174.898,4384.465
175.848,4227.890
176.799,4140.190
177.750,4032.158
178.700,4011.578
179.651,4080.697
180.601,4187.268
181.552,4189.918
182.502,4072.982
183.453,3848.625
184.403,3873.936
185.354,3927.575
186.304,3915.522
187.255,3945.406
188.205,3938.657
189.156,3970.922
190.106,4011.806
191.057,3991.511
192.008,3821.012
192.958,3885.757
193.909,4018.737
194.859,3989.476
195.810,3990.380
196.760,3890.011
197.711,3772.124
198.661,3717.260
199.612,3863.993
200.562,3965.226
201.513,4169.617
202.463,4302.301
203.414,4359.694
204.364,4392.259
205.315,4164.384
206.266,3983.720
207.216,3609.287
208.167,3374.343
209.117,3461.121
210.068,3678.867
211.018,3821.651
211.969,3793.330
212.919,3747.027
213.870,3648.237
214.820,3737.481
215.771,3654.948
216.721,3719.852
217.672,3675.482
218.622,3740.991
219.573,3745.554
220.524,3827.182
221.474,3904.075
222.425,4180.251
223.375,4332.352
224.326,4367.217
225.276,4846.338
226.227,3936.961
227.177,3720.628
228.128,3637.583
229.078,3752.302
230.029,3749.417
230.979,3786.475
231.930,3634.188
232.880,3579.040
233.831,3588.438
234.781,3690.138
235.732,3830.500
236.683,4113.068
237.633,4161.438
238.584,4144.811
239.534,4100.269
240.485,3995.564
241.435,3941.701
242.386,3995.354
243.336,3905.909
244.287,3785.105
245.237,3781.015
246.188,3641.410
247.138,3768.200
248.089,3845.628
249.039,3937.238
249.990,3885.656
250.941,3800.990
251.891,3643.949
252.842,3628.127
253.792,3737.499
254.743,3798.090
255.693,3980.186
256.644,3946.595
257.594,3800.398
258.545,3730.838
259.495,3691.602
260.446,3702.283
261.396,3812.702
262.347,3812.571
263.297,3619.064
264.248,3430.081
265.199,3313.237
266.149,3250.831
267.100,3359.260
268.050,3477.460
269.001,3439.610
269.951,3508.898
270.902,3560.554
271.852,3714.204
272.803,3827.826
273.753,3891.513
274.704,3766.067
275.654,3538.099
276.605,3337.820
277.555,3215.436
278.506,3157.670
279.457,3212.246
280.407,3317.217
281.358,3341.169
282.308,3394.515
283.259,3370.202
284.209,3410.272
285.160,3544.089
286.110,3740.871
287.061,3858.651
288.011,4090.450
288.962,4255.730
289.912,4232.510
290.863,4155.478
291.813,3915.850
292.764,3909.548
293.715,3716.095
294.665,3670.314
295.616,3573.679
296.566,3648.086
297.517,3855.744
298.467,4063.539
299.418,3928.400
300.368,3884.373
301.319,3817.094
302.269,4071.594
303.220,4200.689
304.170,4173.886
305.121,3941.199
306.071,3823.109
307.022,3483.316
307.973,3236.482
308.923,3214.843
309.874,3419.495
310.824,3681.777
311.775,3791.473
312.725,3717.751
313.676,3672.508
314.626,3735.031
315.577,3866.792
316.527,3960.301
317.478,4040.843
318.428,4040.336
319.379,3978.436
320.329,3814.221
321.280,3708.284
322.230,3700.967
323.181,3737.080
324.132,3761.618
325.082,3772.542
326.033,3793.013
326.983,3745.310
327.934,3650.041
328.884,3592.578
329.835,3595.936
330.785,3585.395
331.736,3447.777
332.686,3397.063
333.637,3370.550
334.587,3344.426
335.538,3272.962
336.488,3505.788
337.439,3571.548
338.390,3616.647
339.340,3739.649
340.291,3772.142
341.241,3749.773
342.192,3886.185
343.142,3779.509
344.093,3674.525
345.043,3435.547
345.994,3264.400
346.944,3066.452
347.895,3057.221
348.845,3162.484
349.796,3242.209
350.746,3404.811
351.697,3528.963
352.648,3550.440
353.598,3382.029
354.549,3361.411
355.499,3341.691
356.450,3376.465
357.400,3505.868
358.351,3588.321
359.301,3632.386
360.252,3607.222
361.202,3588.956
362.153,3616.252
363.103,3487.933
364.054,3423.291
365.004,3270.877
365.955,3241.379
366.906,3308.145
367.856,3319.857
368.807,3328.389
369.757,3288.623
370.708,3302.625
371.658,3204.729
372.609,3082.608
373.559,2980.913
374.510,2814.124
375.460,2724.256
376.411,2800.821
377.361,2854.666
378.312,2938.614
379.262,2993.954
380.213,3012.489
381.163,2980.376
382.114,2897.784
383.065,2841.336
384.015,2911.713
384.966,2852.828
385.916,2932.291
386.867,2961.482
387.817,3020.203
388.768,3122.585
389.718,3255.794
390.669,3148.782
391.619,2980.805
392.570,2849.765
393.520,2841.329
394.471,2879.057
395.421,3100.826
396.372,3023.453
397.323,2920.847
398.273,2839.278
399.224,2768.359
400.174,2703.292
401.125,2651.075
402.075,2662.213
403.026,2776.700
403.976,2656.348
404.927,2686.434
405.877,2687.859
406.828,2692.707
407.778,2686.510
408.729,2563.076
409.679,2516.784
410.630,2519.396
411.581,2490.531
412.531,2509.573
413.482,2646.698
414.432,2212.211
415.383,2203.710
416.333,2275.433
417.284,2352.855
418.234,2477.626
419.185,2359.409
420.135,2345.921
421.086,2292.610
422.036,2171.281
422.987,2124.351
423.937,2092.537
424.888,2044.759
425.839,2086.362
426.789,2139.663
427.740,2110.414
428.690,2198.552
429.641,2487.468
430.591,2465.293
431.542,2449.481
432.492,2408.532
433.443,2215.254
434.393,2134.809
435.344,2020.354
436.294,2020.049
437.245,2089.396
438.195,2142.224
439.146,2245.885
440.096,2278.878
441.047,2322.891
441.998,2372.458
442.948,2379.061
443.899,2407.196
444.849,2434.612
445.800,2469.792
446.750,2552.651
447.701,2529.993
448.651,2496.112
449.602,2389.718
450.552,2263.608
451.503,2215.937
452.453,2237.589
453.404,2430.248
454.354,2557.374
455.305,2841.863
456.256,2823.776
457.206,2869.240
458.157,2798.774
459.107,2623.232
460.058,2454.471
461.008,2425.227
461.959,2392.501
462.909,2392.422
463.860,2447.787
464.810,2616.625
465.761,2414.800
466.711,2466.284
467.662,2484.951
468.612,2475.980
469.563,2444.731
470.514,2467.817
471.464,2554.994
472.415,2650.519
473.365,2743.026
474.316,2729.451
475.266,2808.011
476.217,2819.471
477.167,2992.494
478.118,3109.875
479.068,3166.606
480.019,2999.543
480.969,2755.542
481.920,2514.050
482.870,2322.674
483.821,2350.113
484.772,2369.093
485.722,2514.554
486.673,2492.763
487.623,2626.138
488.574,2800.417
489.524,2851.060
490.475,2796.489
491.425,2738.231
492.376,2617.066
493.326,2581.710
494.277,2668.894
495.227,2724.675
496.178,2787.697
497.128,2885.207
498.079,2858.657
499.030,2892.333
499.980,3005.096
500.931,3015.907
501.881,3164.782
502.832,3257.914
503.782,3210.592
504.733,3188.969
505.683,3047.313
506.634,2858.120
507.584,2781.319
508.535,2693.256
509.485,2561.446
510.436,2499.457
511.386,2453.962
512.337,2470.070
513.287,2778.611
514.238,2687.192
515.189,2627.489
516.139,2598.211
517.090,2589.070
518.040,2482.639
518.991,2506.835
519.941,2512.342
520.892,2376.589
521.842,2236.406
522.793,2085.705
523.743,1996.023
524.694,1719.486
525.644,1627.707
526.595,1592.933
527.545,1613.535
528.496,1635.561
529.447,1620.758
530.397,1578.124
531.348,1560.464
532.298,1531.311
533.249,1476.381
534.199,1402.265
535.150,1322.299
536.100,1294.357
537.051,1237.161
538.001,1249.391
538.952,1243.642
539.902,1187.342
540.853,1171.967
541.803,1134.584
542.754,1113.045
543.705,1085.202
544.655,1106.966
545.606,1110.969
